number of atoms: 19
number of fields: 9
Multipoles
---
0 0 0 | -0.5170316103394281 -0.01797620128747038 0.014666579036140841 -0.05041834161565851 0.2086410295579981 0.037419694207817114 -0.10462951957311452 -0.03648577340956039 -0.02289289905750246 
1 1 1 | 0.5980764737596704 0.0032913516648197458 -0.004707780135333166 -0.05634757887366155 0.33618011897372696 0.04758564534452555 -0.10421486978632924 -0.07014846620481932 -0.03700581569084613 
2 2 2 | -0.4104636043151473 0.06522130454201326 0.01633285747543025 0.05135271860112073 0.014311909815655431 0.010564162864228297 -0.10540751076723838 -0.02406646620914856 0.04173910950321114 
3 3 3 | -0.14440057020928077 -0.06545166747049386 0.0642105058441202 -0.018541887564075352 -0.03342802800355911 0.06910868082728563 -0.04317204160960439 -0.020308383775598383 -0.0813967674781033 
4 4 4 | -0.20777213919881987 0.01435631370767444 -0.08576957494679939 -0.049340306994800374 0.10767979420578695 0.15028657942926296 -0.04928625058965067 -0.10667528075795271 -0.0662669745372332 
5 5 5 | -0.15640473986498993 -0.04328449553670554 0.02553081712472349 -0.0838009628082718 0.08504925531788407 0.11762535296975131 -0.15255141187143406 0.017502180110012096 0.05043956674483188 
6 6 6 | -0.07612218604737109 0.01908698870777592 0.04155231576549249 0.046221148216982706 0.08869380099773169 -0.0047834414977115354 -0.0694579643710995 0.00809715994565894 -0.04664718331596128 
7 7 7 | -0.3048026795883807 -0.02341053360731069 -0.017630255476256917 0.028869842632808472 0.008019814028546316 -0.11773084794586725 0.07913193821447007 0.006717622683160201 0.01966510572730536 
8 8 8 | -0.308168295697552 0.041320414740286214 0.005029610191377005 -0.005169727390751034 -0.11071489277844697 0.003221371111292385 0.060987170524628556 0.01648317922484893 -0.056460448151634555 
9 9 9 | 0.16433031870963022 -0.034702701193432654 -0.006813669274126791 0.030926266494398218 -0.005437457369251708 -0.008812278984244346 0.01681018431238777 -0.0017964522644297513 0.0016207196729733546 
10 10 10 | 0.161225240329277 0.011431131281951824 -0.029726803767676845 -0.03577874259995514 0.009960062716451 -0.0036782329177520614 0.006003779376214325 -0.0023439679460208083 -0.01440606598765077 
11 11 11 | 0.11658353824233636 -0.009056356609268682 -0.04194041421365089 0.033663384959077315 0.0030208857172868047 0.009508871827245663 0.006609737029587624 -0.007480692936104574 0.01994840499726174 
12 12 12 | 0.11939717427208407 0.042242253501156075 0.011852618826125386 -0.03189011647839846 -0.011503630986530684 0.008875740710096974 0.019272863016764757 -0.0013948785593565145 0.004338493415457629 
13 13 13 | 0.14362748692819738 0.024915562271368395 1.2851786764313839e-05 0.047671472773839645 -0.008812825169095517 -0.010413778099092394 -0.00026031135109466327 0.013202326994710441 0.008838077926473273 
14 14 14 | 0.14220728787700687 -0.0013100305716212065 0.041863119179232695 0.03089140423316063 -0.003681523796266764 -0.008663789062123322 0.01780271991130041 -0.009078893575246364 -0.011966850139983014 
15 15 15 | 0.16210824129783075 0.02697653290970219 0.03419912812794342 0.026545111511981 -0.0005976010472485125 -0.00481094760954351 -0.0067907864814419705 -0.005464093427384722 -0.009880812655719266 
16 16 16 | 0.17917467301028445 -0.000385482331136846 -0.012040011089459802 -0.052341084497427734 0.007038266870619783 0.0010870104734017224 -0.0008584933416364922 0.007846771896421127 -0.004002067440388897 
17 17 17 | 0.17535249132278796 -0.03235530118338952 -0.018474063666784436 -0.03850568440081604 -0.0012829468298173432 -0.004104517267448387 -0.009353888036279989 0.003284233309067157 -0.0012092509473432364 
18 18 18 | 0.16158927880827245 -0.01028640291889004 0.024645493759577836 0.04333733588373041 0.010010308561280183 0.0009941232785122016 0.006056758533832649 0.0030313394941387244 -0.008223355941635995 
