number of atoms: 22
number of fields: 9
Multipoles
---
0 0 0 | -0.12756537935134915 -0.0031511571720309033 0.05998504422260275 -0.066735942904777 0.05963210088714764 -0.07380701281059854 -0.07109439638379599 -0.0030805038976418043 0.03378413707403455 
1 1 1 | -0.44303323456721344 0.0420708456333872 0.027156856490747595 0.06014275189906857 0.016052019501990516 0.012570404175180192 -0.08109614009309868 0.07718461085447867 0.011179517708541448 
2 2 2 | -0.44239427510543194 -0.043510788311466785 -0.06300873657865969 -0.012871663438924576 0.03917116893003059 -0.07436511677176827 0.02135732651286878 -0.07396394533007616 0.03205645225818211 
3 3 3 | 0.10089293105861852 -0.03862573859673763 0.007079280394530736 0.03598421642504158 -0.0005570614889261392 0.00934459951908778 0.01769765937382088 0.010895230243876959 0.005218716411983566 
4 4 4 | 0.09793102886800376 0.041763339487935744 -0.03118329495319901 -0.005724003810580804 0.00013530494081354227 0.021463480962382674 0.006257847721214935 -0.009284173381987434 0.0094623006897024 
5 5 5 | 0.13532471052459383 0.036295103540008575 0.012254744100811628 -0.026517187396557385 0.004932668925968924 -0.0007386424426037683 0.017735729996794528 0.006381557338184616 0.008003640518174218 
6 6 6 | 0.13459535405546807 0.024245543710122677 -0.01156333727659394 -0.03885220647588069 -0.0029673329214560933 0.0012618244585756977 0.011959040837879836 0.01354390785513523 0.007827434054330236 
7 7 7 | 0.1355977103493663 -0.03946369262330227 0.02498910667381998 -0.004737249450627634 0.0037509998996797488 0.01887989826623665 -0.0005941090167931293 -0.004598216533474372 0.0045743470857944005 
8 8 8 | 0.1361536111516065 -0.032429113411400805 0.03399653903277096 0.008596183546127243 -0.007742213994581815 0.011594724497385857 0.002247960849145867 -0.009147902216562573 0.008155379004353083 
9 9 9 | 0.13649378463274342 -0.00563294182270221 -0.04803148817491833 0.009388626766772972 0.001131934225732085 -0.008668168522509949 0.0030081602055573235 -0.012717672116973004 -0.005158600085251948 
10 10 10 | 0.1363423433351152 0.018781141446289847 -0.0067276715165699085 0.04435106606712341 -0.001989129107180805 0.0013721613799491362 -0.010153627812593997 0.01138310835740577 -0.006511262992110912 
11 11 11 | -0.12993865070232058 -0.008385094624843235 -0.07339073566279909 0.04853758279141531 -0.05643919318708938 -0.0003901497643037147 -0.012029740885673391 -0.048616123220493655 0.09801360892529407 
12 12 12 | -0.4379849604246351 -0.06881828029698228 0.03298265852374897 -0.024067579144957045 -0.0011872329947165184 0.07802017230630826 -0.05683355758517151 -0.01257125228549124 0.057785026770158905 
13 13 13 | -0.434180184191689 0.07729154908242289 0.019356553740305975 -0.00025872088450787676 -0.045054691121392036 -0.0897320078173463 0.05349092105811943 -0.029327663423230454 0.03440826687066323 
14 14 14 | 0.09665508898510866 -0.001526036657898741 0.04195843786970197 0.03148941619750473 0.02226114675053093 -0.0006341070489888873 0.0011351468631939738 -0.013960612037252042 -0.007331881656407188 
15 15 15 | 0.10624072254529693 0.0009452544485364154 -0.008057962068554664 -0.05249701024171898 0.016170978603312493 -0.0016132067800520308 0.010083560530162924 0.009745773082062838 -0.0007835979041780379 
16 16 16 | 0.13437530609596315 -0.015777527356335638 -0.04058789873833703 -0.017445648994103197 0.012006608104651088 -0.00458268021741569 0.006117059703284349 -0.013716341143823328 -0.0057247595578790575 
17 17 17 | 0.13412558083985504 -0.0004053079673971242 0.0032302524949313844 0.04621814962047331 0.01339235259567296 0.005868502349011768 0.006116130755697591 0.010758041226999368 0.004187887398918938 
18 18 18 | 0.1299824018120742 -0.024047004480356845 0.033059621146582396 -0.025261392618240633 -0.0033619901317368636 0.013198483414048943 -0.010155674065575868 0.00014967317015385126 0.0009438325947497331 
19 19 19 | 0.13007249591018888 0.00987479499473397 -0.040685366419680846 -0.020859406494759435 0.014686805170953202 0.0007305111811299939 -0.0062611560712312305 -0.011708142861028614 -0.005040247128963099 
20 20 20 | 0.13400883116698614 0.035082363142987606 0.025719090071298224 -0.023153889958688532 -0.011401796777491932 -0.009171429317989007 0.007830424895842446 0.0013976701949342525 -0.0040268037558432515 
21 21 21 | 0.1341393935545382 -0.01171807311454746 0.00839233566568841 0.045374265422335795 0.011631075394538087 -0.00831161091726219 0.00210772694189202 0.013007726775402398 0.0005483809785411474 
