number of atoms: 17
number of fields: 9
Multipoles
---
0 0 0 | -0.4052260392794462 -0.015378533070606852 0.014477368559524625 0.11219576328103721 0.05843699489735185 0.016370639720179533 0.04834348131161885 0.13313825194310575 -0.0342093378630687 
1 1 1 | -0.37726181151488714 0.015167609746928332 -0.02257306703088409 -0.10133214332251167 0.05703680569972037 0.010471081064444259 0.03593280968154756 0.1028187675878201 -0.03281786980542463 
2 2 2 | 0.15198604113218084 -0.04765886100873369 -0.02097594591979945 -0.00902110574452035 -0.009803214879875335 -0.0008679489885078339 -0.01387233715527546 -6.0762839524635626e-05 0.0037729590017413286 
3 3 3 | 0.12104148907290824 0.007951446169215214 0.04882598948692524 -0.006486340234621483 0.0027097667655758776 -0.00645059660701318 0.0010271143792011629 -0.004073730428999234 0.016471747050665942 
4 4 4 | 0.12542685481767302 0.03966911754871532 -0.02867171218965336 0.012777117327692102 -0.007986572435582507 0.0072069194419022604 0.0069092069523391895 -0.009007737052621295 -0.002817299950483907 
5 5 5 | 0.12994506416621254 -0.04567044269746699 0.019565977376706515 -0.010390792341240965 -0.011772011709540054 0.006542783406567195 0.006628142688273416 -0.009309989983450308 -0.002564195346651827 
6 6 6 | 0.1238451019197363 0.03984538302178101 0.03249044055692654 -0.001551604877298085 -0.0013779169715767928 -0.007650121900968023 -0.014598089512949323 -0.006341967124156165 -0.0083602810316904 
7 7 7 | 0.12709603264456137 0.006168839841087191 -0.049419998731633684 0.01166653209357627 0.0011027301684197336 -0.0017156085155127909 -0.002800504937249227 -0.005291613024838875 0.01738239022925906 
8 8 8 | 0.12541655310426325 -0.1421694635006693 -0.0034779069557764543 -0.06964024865493088 0.13258019715656688 0.03396091830174284 -0.015452854995699854 0.08602500265298442 -0.042632879304128846 
9 9 9 | -0.550670259055674 -0.011845560500741521 0.008681101528397827 0.031416977027466444 0.026039609971808972 0.050558770469617764 -0.0057106030254759806 0.049032692752199625 -0.05328987762047577 
10 10 10 | -0.6218362609944403 0.06453127078859852 -0.10214592943590321 0.05359098054816894 0.02771445350288221 -0.07937642500469178 0.0015020682791613551 0.00445345146681918 -0.18565906492841103 
11 11 11 | 0.09316867395657458 -0.006318643018581712 -0.050960533321232605 0.036188883823767976 0.024829055529937645 -0.013206687411853183 0.0007313096149821888 0.0033708039590117774 0.011948962155912589 
12 12 12 | 0.0761333371826256 0.03783026725584378 0.05743018024011296 0.006462494285839103 0.006796444863637942 -0.012273507944259618 -0.006754130908145918 0.003847907737109602 0.004226188929487325 
13 13 13 | 0.155912378131581 0.029554421908542447 -0.02640108355018348 0.020343510551987628 -0.010003792820543117 0.00972238337140867 -0.004737486118796117 -0.007745801630805165 0.003397826613227388 
14 14 14 | 0.41962936914443416 -0.0013651027389869606 0.013982736682271221 -0.016367257064449824 0.020104574785413568 -0.0036667424198482627 -0.003908227875504245 0.00026345013521381934 -0.007225070755457279 
15 15 15 | 0.14282625490180756 0.014386126204530543 0.0356381700755412 -0.021950839110958992 0.00028453196610408056 -0.004267130929417056 0.00020221243009398783 0.0011029681144000963 0.01783822430522363 
16 16 16 | 0.16093143785525688 -0.03752908684439819 -0.02287342195829815 -0.011039103515086243 -0.004798266777707016 -0.004190124722459371 -0.016654113264820334 -0.004260692911600389 -0.006147874616056668 
