number of atoms: 19
number of fields: 9
Multipoles
---
0 0 0 | -0.14554212870575256 0.062480248035205715 0.02180460232114206 -0.05824989217217498 -0.04890938334776126 0.008764660453914854 0.04345899655866586 0.05181917074549062 0.09443127171485054 
1 1 1 | -0.43886891233515524 -0.07076273068560582 0.03255229552161697 -0.014156235485684296 -0.10587759645253769 0.02581704947462237 0.012082153086886208 -0.0008611685086960023 0.0024307146731569955 
2 2 2 | -0.4379374346937297 0.01519874403201333 -0.03740827371098998 0.06858181470307366 0.056270752223738424 -0.0031635181271781176 0.012677857921833402 0.050339830609824054 0.07856381107358218 
3 3 3 | 0.10242330946036937 -0.02020444555803906 -0.04557978117656223 -0.014859695415069252 0.0019246731815383846 -0.023126160011436275 0.01240856474409521 -0.01022981374624886 -0.005385525780633814 
4 4 4 | 0.11253674520367751 -0.008700234128483843 0.039180612090512434 0.037826146857112906 0.009194410823759023 -0.007276601069725811 0.010311238636702242 0.0007369500829175859 -0.00905261435204099 
5 5 5 | 0.13203297754211296 -0.002902213164283157 -0.022150514951991215 -0.04174844240961926 0.011485129877477282 0.004272677929317143 0.014009395190644086 0.00543508454070474 -0.009725958483592605 
6 6 6 | 0.13336618729856586 0.027740010954976625 0.035299006942620045 0.012024505303405545 -0.003998807205724331 -0.01257663790460953 0.007049798741962969 -0.012984147396419898 -0.004076006704805114 
7 7 7 | 0.1331521271938968 0.01821050376766626 -0.038649436184683604 -0.021168176637782032 0.0005806492715057661 0.002509821911750767 0.011537522665487404 0.008752038374059416 -0.016368477962789642 
8 8 8 | 0.1361718350768787 -0.007902495313735968 -0.024884195589414914 0.041518310730302585 0.011969583531595792 0.0027048438605043914 -0.007290019449504774 0.0034507541039756192 0.008770673910024765 
9 9 9 | 0.13524725588813935 0.018768942411861392 0.04286429914483992 -0.0003295077001113604 0.005083488488369298 -0.018644746325182628 0.0023470280764717444 -0.004241199644589506 0.0001317918596487431 
10 10 10 | 0.13441366304566316 -0.047471122087349764 0.008615746392673205 0.000595517600886572 -0.012320239658861892 0.006335106362956113 -0.00707515608801834 -0.00413094567267489 -0.005501243847649773 
11 11 11 | -0.38107536125547004 0.028418354912965727 0.06138286912655078 0.08139894644261805 0.060750666366394354 -0.03193934338670541 -0.044830980941476556 0.025254929798885273 -0.10642868882440114 
12 12 12 | -0.378651999837909 -0.013243997230402014 -0.05770532488418245 -0.08499468817831578 0.04596145859995711 -0.035069657253984185 -0.039392245182639486 0.020320469045274583 -0.09398703851089704 
13 13 13 | 0.12703565445085063 0.018669931120427783 -0.042173191413752094 0.022618133980034226 0.002697364866884215 0.003722059955338677 0.005506631313280872 -0.012000221133006915 0.0037240289386957872 
14 14 14 | 0.12844188469235884 -0.049601720635900515 0.0075946802575107605 0.004045507788785505 -0.014071332528661811 -0.002252385676366192 -0.005650820026123489 -0.0012898931038299367 0.007117423797342225 
15 15 15 | 0.12995627688378852 0.02853673305037496 0.02813656644882722 -0.03325545144849817 -0.0002397511160931147 0.0034584278384805034 0.005084918049674601 0.005110471805747382 0.011166094091612868 
16 16 16 | 0.12132048181602151 -0.023689588443733058 -0.03271693282859603 0.030922880566924105 0.0029300800444300545 0.004257520893239414 0.009340927859424112 0.01168815539641375 0.012343170106274354 
17 17 17 | 0.1284831618786728 0.050621010426210596 -0.00188318729159518 0.00018495809898215078 -0.01353862191181637 -0.004537667636147328 -0.003009196471252457 -0.0024304042724446317 0.009849276780883365 
18 18 18 | 0.12560811817186657 -0.030609888133091737 0.03827240545609309 -0.01520640752630274 0.0017607685496690785 0.007257326551549819 0.007219964836271448 -0.014332161499876516 0.004980930529853169 
