number of atoms: 16
number of fields: 9
Multipoles
---
0 0 0 | -0.37650053365451885 -0.030370867405235338 -0.018284499279476372 -0.09759682724192602 0.03417532308261669 -0.01634236765471118 -0.08084746294109846 0.0929489964124517 -0.043521063895827335 
1 1 1 | -0.38003149389191737 0.03868379384048343 0.02694334986188092 0.09097153084188091 0.04535903860194749 -0.009514077888476111 -0.057511921391090695 0.08762874428600115 -0.0392684910274034 
2 2 2 | 0.13164819493967672 -0.033592802026452366 0.036421235017534935 0.0109246740866096 -0.0014338505276073937 0.005685108674018149 0.011216497196108727 -0.009930781009898042 -0.001057696268101645 
3 3 3 | 0.12264381106306332 -0.00905962390802576 -0.04621512166290394 0.017317633000232053 0.002299179787891289 0.003673828624504279 0.005087701905096538 -0.0021940044224354528 0.017239010886631507 
4 4 4 | 0.12303997730277971 0.04700235978946116 0.010093065134072012 -0.01545923263005394 -0.013627164282561407 -0.005171811704533869 -0.004526697475577163 -0.008412795922087895 0.001548871423098819 
5 5 5 | 0.12480659732354737 -0.04497423995305564 -0.013221091754219674 0.019244480675584423 -0.015441217569571826 -0.005915224334620701 -0.0031026369360544733 -0.009466463915822164 0.0013203753594177498 
6 6 6 | 0.12700171152603712 0.005749296295886033 0.04704181470130165 -0.018661596366741008 0.0015346055813427028 0.0036308562347559434 0.005552231485363721 -0.002142833320490144 0.01719415815856858 
7 7 7 | 0.12652805469232542 0.03255517199454409 -0.038662382742719485 -0.00579869932706497 0.0006946827353942339 0.005766753602494889 0.013602083069652951 -0.008574397309357232 -0.007721403647166997 
8 8 8 | -0.3763092429984587 0.05955828295547274 0.08443299422737112 -0.005618326609174036 -0.006134005242133106 -0.10572867688870755 -0.0034676035176386295 -0.07710195128230869 -0.0019585438784271666 
9 9 9 | -0.3810080758917582 -0.05346935412076932 -0.08717167904649534 -0.007442966989356628 -0.0013401877566130798 -0.09866144951700262 0.003520096981820821 -0.06757027543511923 0.0017113001683241398 
10 10 10 | 0.13077194616030507 0.03726079816109847 -0.03345750642881397 -0.009912697249076464 0.004342958019708912 0.015235970368459539 0.0011434766206885117 0.0007601555629967992 -0.0003703343554409577 
11 11 11 | 0.12321198335872374 -0.014595515230041371 0.006617175821921069 0.04772923187986377 -0.0007681517038408703 0.004429563425673398 0.01086788966290171 0.010824888607647047 0.00962916841364801 
12 12 12 | 0.1235460676786645 -0.031083817307375874 0.016877930169093502 -0.03587476458413094 -0.008053101154955583 0.0034735564993802768 -0.009728476533675746 0.010111994815877552 -0.005191483181449336 
13 13 13 | 0.12520006865590916 -0.04060729715114304 0.027038125959748516 0.014206288299434084 0.008061187832835737 0.01598781338278118 0.0006669569760836876 -0.00478539216876921 -0.005132263386067767 
14 14 14 | 0.127109901227066 0.0121737749574543 -8.600548827635647e-05 -0.049233623784914825 -0.0006915013381155935 0.005202440506378988 0.010301523571806928 0.010680258797406101 0.009543414347535757 
15 15 15 | 0.12718413169459497 0.029569881952511506 -0.017516630014723044 0.037680789113507585 -0.008706435711129685 0.005203205075861204 -0.010302516094108009 0.010173359043369617 -0.004993462400252029 
