number of atoms: 14
number of fields: 9
Multipoles
---
0 0 0 | -0.07214040135446442 -0.07895104855266571 0.043914402414357984 -0.15473155389178858 -0.029763008801881527 -0.020766389772846425 0.12786095120390095 -0.10489605678973532 -0.04653222873028485 
1 1 1 | -0.680074496157081 0.028602223316729396 -0.12798296399849823 0.10784381153201517 -0.14397115864178656 -0.025014553837644584 0.07500269358442457 0.10170166472141956 -0.036476547991600286 
2 2 2 | 0.45038366856997925 0.0005450559772875462 0.021166553928619995 0.005721299837183104 -0.009166856857958157 -0.00031657571347932 0.012953248344938472 -0.006869703230634408 0.001226989390277925 
3 3 3 | 0.09724772634239465 0.05993576793715373 0.026750510516705937 0.0003291238339366776 -0.010035003115562246 -0.00032287113551048366 0.006564521541412196 -0.011556186381223526 -0.016998500959818023 
4 4 4 | 0.10641746477998881 -0.04233880804191968 0.020408977170988146 0.046850242623512624 0.000840779171095481 -0.013220248955669556 0.016573410580083162 -0.0072993701731415474 -0.010888652334662133 
5 5 5 | 0.11612201174616221 0.0015867241169304346 -0.062183073315453544 -0.006880112798028463 -0.00997437646319655 -0.006778476407505749 0.021091818242655307 -0.017101081123478894 -0.01481651707702506 
6 6 6 | -0.22027247288546103 0.05635311277202172 0.10624788748050217 0.047996795506811525 -0.04027142929371088 0.1275990908291784 0.06328083242380395 0.09871230839689864 0.11377418127841882 
7 7 7 | -0.5962216449766569 -0.06635516911624136 -0.12459389414994038 -0.050612916373395815 0.02274484264629522 -0.06134338676788417 -0.03989836655638614 -0.019510383727569813 -0.07402397149530957 
8 8 8 | 0.41666067537782936 0.008227416706647487 0.016675917830206416 -0.03228229990451951 -0.0007999221233894806 0.000274151766810479 0.0019433100305889864 -0.001233043940991295 0.0038189361551620132 
9 9 9 | 0.4281807203755923 -0.027242667820991714 0.014064181256375378 0.020269588932166786 0.0031765648664308288 0.0042658596173430555 0.0014693136404827203 0.004488730307287814 -0.0018028837694813755 
10 10 10 | 0.42790338429942487 0.0278211387313488 -0.015640832093819362 0.01874035913085476 -0.0014062011945404074 -0.0012241652562113485 -0.003735102366282919 0.005990656365349927 -0.0029432418002794817 
11 11 11 | 0.17285533417966337 0.03608723483074861 -0.03905330605087577 -0.04009371256215939 0.0001273596940893482 0.013650022321410759 0.00012091861449829646 0.011093030007256924 0.015943275801619534 
12 12 12 | 0.17301024160472056 -0.054029550546367926 0.007995915608766965 -0.037955276299466566 -0.0038157537789804716 0.009833409445507856 0.012812699915944836 0.013982522031023173 0.009362764912360853 
13 13 13 | 0.17851971474856854 -0.022068976478989123 -0.04395180860624188 0.045343590272056825 -0.01042157181885742 0.01771689186918956 0.0048372764607583505 0.005827638385023819 0.008266061131789187 
