number of atoms: 24
number of fields: 9
Multipoles
---
0 0 0 | -0.37623064934187767 0.028695896793173182 0.02568847781138626 0.08385721199688113 0.029986326079181346 -0.00910569982602113 -0.03338231034838228 0.07913433265880293 0.019572648403863004 
1 1 1 | -0.3890923336996126 -0.03748388688441336 -0.00795354192931299 -0.09144251713279987 0.04885147932035065 -0.01749939414583375 -0.06489376814286071 0.07134155833879294 -0.043867507894023404 
2 2 2 | 0.12484164174758339 0.012795352595878046 0.042176252065058 -0.02183925996103949 0.0005461520375019446 0.0022353855991466467 0.010069308609886954 -0.00468959448346243 0.014885349628300364 
3 3 3 | 0.13553200998058235 0.02475326817061444 -0.04411821464405115 -0.00903799660651461 -0.00229022119344312 0.0034601030543839235 0.011832431491708338 -0.0075543761201738195 -0.000684694094577135 
4 4 4 | 0.12521272633463243 -0.049552885330528554 -0.0036879271923826004 0.006267429503649349 -0.013892487556536463 -0.0016789604687468514 -0.0012320929014797931 -0.011668978870066554 0.006986130369214593 
5 5 5 | 0.12755649137125236 0.04704468462488082 -0.010541731408592735 -0.016629441195327378 -0.016030669456177093 0.0019128549151594281 -0.007130403660914743 -0.007540363344279513 0.00263171057898473 
6 6 6 | 0.1304969187784707 -0.013999689719455715 0.048820698301643456 -0.00025998908149969753 0.0024244451820772776 0.0012854930942894152 0.008079121945492602 -0.01181685774444783 -0.01094545372103329 
7 7 7 | 0.11869513751741001 -0.026130792159575724 -0.03558155818895618 0.02041523439575369 0.0014563766508579837 -0.002950654088286386 0.012048695155622357 -0.004979016257525949 0.014377735802486432 
8 8 8 | -0.46168558404480997 -0.05032005881485005 0.023639404055180547 0.043614720856656054 -0.011076227905744794 0.09106993332272031 0.03847883014035752 0.02327329751924577 -0.04969331586787296 
9 9 9 | 0.3986338003570582 -0.0980587307773645 0.06496429980760894 0.06299368563512212 0.028220754064294338 0.04905586868732155 -0.13391180651695037 0.16004656772255274 0.04973056057182673 
10 10 10 | -0.3512338938641344 0.04441340701766978 -0.03474607586942338 -0.01118318254907182 -0.07454469749655808 0.1992577004748066 0.057474417659307636 0.07513154441161338 -0.045318045017129334 
11 11 11 | -0.2834415713848326 0.005832329496290287 -0.006950880996521637 -0.022178629726869577 0.02165108086178658 0.10614855891062885 -0.007837046398818891 0.1632768182079628 -0.03169216395438752 
12 12 12 | -0.1313006497972662 -0.022678342106854436 0.007741067242731964 0.014886947305401176 0.01605321478537834 0.11119405618836757 0.008850075069557328 0.16177633307373848 -0.040947204364881425 
13 13 13 | -0.15359706069802126 -0.016879283344044073 0.004900797312918764 0.01764626661694256 -0.07272130803417626 0.18569904538343837 0.004168557055211638 0.09135556958745653 -0.018548109823369487 
14 14 14 | 0.08467882599564636 0.024284720606720003 -0.022195865704983195 -0.026591435892605934 -0.022032782097378238 0.17160851174743108 -0.08918853690566243 0.16354668059577818 0.00786988730028187 
15 15 15 | -0.590453613308668 0.010768199279900718 -0.0016117787239089147 -0.11278557114744578 -0.07289863148047444 -0.02204590469992234 0.010155956622029292 -0.1069627263661014 0.035677963866191355 
16 16 16 | 0.15467188428216927 0.01853474848054179 -0.006580554264450529 0.04463347323055704 0.009937288418507507 -0.012111356852133794 0.005996765920136744 0.004342999022440083 -0.0011472995241163045 
17 17 17 | 0.44746876814378056 0.0024260134722695467 0.0016905880802324396 0.022446473387491887 0.004198077943280318 -0.011270733081254805 -0.005451042746715704 -0.002715559090248811 0.007776535258085702 
18 18 18 | 0.1681451341008886 -0.0413241622115075 0.023516240309591336 -0.017642561245320838 -0.00732984896968452 -0.0035131450921531532 -0.005970709141791752 -0.01489472146863371 0.0068159695839430275 
19 19 19 | 0.13914191616924731 0.044166452675141375 -0.023167875141594154 0.01983573965394869 -0.008730466092390043 -0.005167920143136154 -0.008299042451460029 -0.016710915908384152 0.010196205907137903 
20 20 20 | 0.14120981678783684 -0.010008226830628986 0.0036715543878058513 -0.05201993655911536 0.011146455459779407 -0.016964910856717214 -0.0008189317384565491 0.004186219330923159 0.0010093696264292756 
21 21 21 | 0.14464228442656057 0.03861774508399986 0.024285559230734464 0.016739291409452902 -0.015039047990927777 -0.0009482813595212057 -0.007706030835902389 -0.0014173475249579827 0.0057010063867347005 
22 22 22 | 0.142974444983485 -0.013596075922859828 0.023177887069600573 -0.03780037738020685 0.008049318772910166 -0.002011125484847074 -0.01093045578754885 0.01209032123122987 0.007291622084378041 
23 23 23 | 0.15062539590564883 -0.010063888976050856 -0.04737309517861445 0.005455257994386412 0.00604955653598292 0.0028771140880185096 -0.008487002055612883 -0.011951391656689878 -0.0015576586971527864 
