number of atoms: 23
number of fields: 9
Multipoles
---
0 0 0 | -0.47378124451390846 0.022841738250702265 0.050263960986239475 0.04019708846000132 -0.013092400079825805 -0.015285419824945069 -0.06734635762147906 -0.02578546414850435 -0.07613828038677868 
1 1 1 | -0.20042652358654678 0.00964847837636772 0.015680817033091675 -0.0026476843642974546 -0.1368318629198194 0.028086169080452868 -0.15845665544664864 -0.0742536802198184 -0.08576962863037696 
2 2 2 | 0.14089414468876438 -0.03224575417886479 -0.021005577529787774 -0.022091583344777434 -0.067568465273916 0.11899102746012913 -0.12087183862409359 -0.1467130824749979 -0.09790521759749204 
3 3 3 | -0.11258884891377541 -0.03661444696422409 0.002188247788961691 -0.006293360424248868 0.016297712944863003 -0.003391329415050681 -0.0996310169513283 -0.16665083814800874 -0.16072212356641405 
4 4 4 | -0.2080166342366141 0.024764611793262253 -0.001869141686813963 -0.0013952167800683024 0.02008956638256516 0.01816121540783081 -0.07849708388948211 -0.1641476455188458 -0.1215169486582445 
5 5 5 | -0.15283857804708934 -0.020517994112022615 -0.013725017801214734 -0.013779654522528382 -0.08036486096304181 0.1373034481771041 -0.10508739803046188 -0.13765837352888236 -0.06041209028163744 
6 6 6 | -0.129822464872146 0.01366738834128968 -0.023563987051609486 -0.011773668548157224 -0.105953999976159 -0.008595017426315988 -0.1717748709972608 -0.07357023947384182 -0.0759438253827145 
7 7 7 | 0.1405948907903739 0.020558255006699142 -0.04310291457108875 -0.016262886471687416 0.01305594507041158 0.004157983322347294 0.015060772607240003 -0.0044414804519499335 0.005825945996863396 
8 8 8 | 0.12582645659607983 0.048002098366538626 -0.01752705808962466 0.018251261594447607 -0.008014788925134936 0.0022126446836082114 0.004163851644081141 0.011291041856043897 0.013034451842731108 
9 9 9 | 0.15136042527873017 0.011482441804043923 -0.038457456713613856 0.026633262625273747 0.005429212883831412 0.0073860795592086866 0.005042217855325639 -0.010450611985775888 0.005720129018546205 
10 10 10 | 0.1534223645878371 0.023929637767935517 0.008339574805330582 -0.042120745339973314 0.007852498907873446 0.007496370551240715 0.002080748701696383 0.010882836562517971 -0.0040725636905147335 
11 11 11 | 0.1395018563819822 -0.045768832094061775 0.02031297238608238 -0.013948866240535386 -0.010355806503151117 0.001417362744184821 0.001656702093289269 0.014264933900477119 0.012378664609151444 
12 12 12 | 0.13500767577818762 0.03185028317464942 0.034382635184493374 0.027300883127943536 0.004571257715937578 -0.015144658900877165 0.0050546456696078865 0.010414631568203199 -1.4153672935079427e-06 
13 13 13 | 0.13769469853553262 -0.016913356335324838 0.0517364562674324 0.010089262018218073 0.01092899636433806 0.004418162804299375 0.014363939816367343 3.3851345269503104e-05 0.005079397709656598 
14 14 14 | 0.15075658590036212 -0.04538655213866204 0.012765948485323052 0.004230590558834612 -0.012566198383447509 0.010158848397783707 0.0003947237955150092 0.002346380615640152 0.005192225521324644 
15 15 15 | -0.39070783037849655 0.055820575488768655 0.046648979879506766 0.07292670308046759 -0.0059392406826310525 -0.04981162022142422 -0.06346814863075663 -0.012483631558538032 -0.06281502265886395 
16 16 16 | -0.386434146128936 -0.06125790429492916 -0.0538447536484716 -0.06814595790586338 0.015336745494228766 -0.03942228481135903 -0.06553125165985253 0.0323899301105975 -0.06858851016679991 
17 17 17 | 0.12334868506164376 -0.036626062035346706 -0.013043031235840953 0.032811406299861505 -0.010063978562308612 -0.006461201641724282 0.005307216480619624 -0.008440571058867165 0.009726840200418868 
18 18 18 | 0.14851288732727463 -0.0059044915023278265 0.04155135897120225 -0.03473841948131777 -0.006571919730359388 0.007960162887220708 -0.0012932716601034983 0.00031516545176506645 0.004149923952433548 
19 19 19 | 0.128631163842859 0.03667274188053298 -0.02971617868573289 -0.01597680510347349 0.005059208502695177 0.009180360647727218 0.011389463839411034 -0.007972126436161343 -0.0008416771576078805 
20 20 20 | 0.12240432955611025 0.03622761071254988 0.010933770133300408 -0.03431420518608944 -0.012675710059296864 -0.005397829605196718 0.006852289425486872 -0.005698171111852136 0.007307064200653344 
21 21 21 | 0.1256817645661945 0.00732891003312126 -0.040391778967007436 0.030784270561890956 0.0008181804452943853 0.00794952620444393 -0.000257617485735465 0.00908883278856486 0.013385128251537875 
22 22 22 | 0.12880759814293097 -0.03124756282789053 0.039541015958263336 0.007112652794316786 0.004551824934496294 0.009135930150626454 0.012568042419776543 -0.005950723143125852 -0.0021301065747505463 
