number of atoms: 27
number of fields: 9
Multipoles
---
0 0 0 | -0.4169297708077311 -0.05036925495474696 0.044915337494092336 0.06098904720629654 -0.01627374156185789 0.09514500524709071 0.05107978474149281 -0.023474168294019826 -0.058090269855146384 
1 1 1 | -0.04518448453114132 0.012339502294726112 -0.03388291624919772 -0.0057739222942315566 0.08901997220253753 -0.024473394351741718 0.16316816503357692 -0.12220337698760009 0.07710367643938973 
2 2 2 | -0.016301685432451585 0.04025826000662287 -0.08404710185469572 -0.022959131303330653 0.047619327392128666 0.031220412922868066 0.16671193083849623 -0.0760735523872641 0.010112338449438417 
3 3 3 | 0.2594465827020036 0.018501091383768396 0.06517940487523971 -0.031726596505925735 -0.0009325367842606811 0.06861710860459073 0.18981660204974793 -0.010023900250577422 -0.04058649192970746 
4 4 4 | -0.09578760989459312 -0.07404824498905789 0.06532535706782983 0.06746404478954877 0.08727129644538746 -0.03303709953776417 0.0336796120413805 -0.11233395739036861 0.0650818289562575 
5 5 5 | -0.15327502017058325 0.0006614128242068581 0.028774182129597852 -0.006999272453922547 0.061292753458993286 -0.03229292818291647 0.15513716015790346 -0.07924879638779905 0.10397638966163562 
6 6 6 | -0.19691534277205314 -0.001639525888451332 0.041172307473122956 -0.0055859934620064895 0.006267166297765636 0.09296544701802653 0.19560906080543242 -0.02897215424701245 -0.05108823957041291 
7 7 7 | -0.11832483577975683 0.02732598922394416 0.001409294010018875 -0.029898935589352277 0.0823099708947775 0.03758841924030677 0.09741744356813689 -0.14545417972151992 0.0176977358760066 
8 8 8 | -0.28672253999648767 -0.008175556347241238 -0.01636443274862281 0.005998827620396902 0.03909193298211111 -0.03919606165101545 0.16850502242556878 -0.04862292401791725 0.0758398505892233 
9 9 9 | -0.4260963041517023 0.03244558793234678 -0.05843799839320902 -0.02549508316532808 0.025584347799500782 0.03695471405024244 -0.0027504683903905223 -0.0560721161231917 -0.00786714996479416 
10 10 10 | 0.1394768114793029 0.027688035471856304 -0.04263640889237972 -0.01996578516078325 -0.003226068364675678 0.008943647602863179 -0.010712650208358657 0.0033876815918334876 -0.005532065177820629 
11 11 11 | 0.14041762232159327 -0.014737316458601137 -0.0477509417460261 0.020609309026516726 0.0017687758141502598 -0.006742506359173042 -0.017290202999940472 -0.0012481412197543076 0.005573452430881219 
12 12 12 | 0.1343974413237664 -0.0376493097057236 -0.007252471320473538 0.04047556566664982 -0.0107910335804671 -0.005011169755273785 -0.005779226582281166 0.01877354105551752 -0.0009072367601927287 
13 13 13 | 0.13997359294905654 -0.006283375401401129 0.029363908171163276 -0.0383853886108537 0.0033091851460827376 -0.007313340575672077 0.004758122392968104 0.010453340373292106 0.010879154401645953 
14 14 14 | 0.14486960962018558 -0.03229847710341914 -0.03770274190359148 -0.0009797570158065446 0.009390685860488537 -0.005458832186131127 -0.006775172695277239 -0.011241447207518546 0.0013606955057141154 
15 15 15 | 0.14920449643529854 0.03673995512079879 0.029125625739729266 -0.041807743896209455 -0.002716323874311457 -0.013776333851636346 -0.022522041687588607 0.008371735079299116 0.0073945498177184635 
16 16 16 | 0.35589884363641777 -0.009478696982647233 0.035220444695098815 0.009186210532173633 -0.002185948959331553 0.005080514611387774 -0.025897456518166294 0.0007500970642697932 -0.0071250322100779515 
17 17 17 | 0.15253633188618354 -0.022874940406081783 0.03801665290871314 0.022224313375440598 -0.0006554129371090107 0.009175389613906688 -0.014943226619187257 -0.002573253065990105 -0.010279488612527053 
18 18 18 | 0.1393848076547758 0.042715744082204674 0.002494897321421816 0.024919689730463854 -0.012085465468699003 0.00249344863747466 -0.00709931399096479 -0.0034062400606095235 0.009079319428801665 
19 19 19 | -0.3846659570749118 0.02840689612183194 0.011201563430492821 -0.10023697627386997 0.04067327023410915 -0.018411753111888956 0.053358656591765835 0.10563433167409497 0.030149042497448455 
20 20 20 | -0.3861033954368045 -0.025510727268164734 -0.010546004072345435 0.0991815870431182 0.0517986829706819 -0.021758283178463584 0.05384967992552507 0.09056900097245447 0.018360347080191873 
21 21 21 | 0.13741328616450166 0.018004148243329545 0.04648002185949128 0.017784597018926106 -0.005320095341517506 -0.00017174923708745236 -0.005212010538124865 -0.002955022179780518 -0.001600048974734556 
22 22 22 | 0.12494768238562537 -0.048267022752291874 -0.0008724721137592709 -0.012383182282346738 -0.015747001692539727 -0.0018461216175991097 0.006449530723222944 -0.009478995342312963 -0.0018587299068815717 
23 23 23 | 0.12301564923560693 0.021132379346555832 -0.04470582602058434 0.00592606039327437 0.0005211637316087049 0.002098582218955289 -0.012005730373984058 -0.010893500904018163 0.01038638917180232 
24 24 24 | 0.1280595841082668 -0.019373008878412427 -0.04566288003751874 -0.008812603844251345 0.003551430665841608 0.00050993814926255 -0.008230173148719756 -0.005750414268646463 -0.016558019576237797 
25 25 25 | 0.12378682991665146 0.04890925248943038 0.00328087368760899 0.010672832682070041 -0.014259733007970943 -0.005298404080157894 0.005246518856596079 -0.010328559061218833 -0.0019437536431802683 
26 26 26 | 0.131256005168635 -0.031940376687536895 0.03947535119905353 -0.007230392511913784 0.0009665843407434612 0.0021508638958948577 -0.011361813696998114 -0.008811922644395896 0.009999406571992215 
