number of atoms: 32
number of fields: 9
Multipoles
---
0 0 0 | -0.45829443704419326 -0.02388816109300092 0.041917193383686595 -0.052244595043826544 0.02548734385541607 0.030206637343664567 -0.03190783713493244 0.08076472015905757 0.05310275126798647 
1 1 1 | -0.1344514320912884 -0.018052115017518626 0.010303089303623954 -0.025386979360872575 -0.0019461688587232861 0.0875001121210463 0.07220688589018313 0.1587273962192297 0.11796319352232801 
2 2 2 | 0.08146160450668383 0.014565582703928817 -0.015525585109761292 0.03770660775601076 -0.1029043589489993 0.15091850574740237 0.10622948344448652 0.12091603295292884 0.0678671722860902 
3 3 3 | -0.33907878460064644 0.035565150916838276 -0.037638830183489895 0.026710639730225548 -0.08346216026969024 0.1668128624248312 -0.04427609226117419 0.1041689657894242 0.15490110789691924 
4 4 4 | 0.4014870544796132 -0.07641315806907197 0.05788667764015748 -0.09790303141296493 -0.0751753504449583 0.05624943294859911 0.17842462912936025 0.09937008214178943 -0.005586603977126034 
5 5 5 | -0.1535918854301377 -0.0035336385758451432 0.008804117801373794 -0.01854912720717053 -0.08735811191386199 0.1507296375384299 -0.0032187176326448417 0.07122663476875225 0.09402453125083862 
6 6 6 | -0.28451531392830987 -0.0006508810960125563 -0.00946500393603758 0.022300703123692964 -0.005651940008114546 0.07465439418079518 0.07828535784789678 0.1476054799210638 0.08203912430677078 
7 7 7 | -0.593708140359956 -0.04306971437361816 -0.022224770412445017 0.10464790919864997 -0.020931562153403013 -0.0068273541968801085 -0.08308603295624599 -0.1076541185095226 -0.04714235792135256 
8 8 8 | 0.1313872739680314 0.04875668921378193 -0.021980877992825457 -0.002176549256311156 -0.00901526923768852 -0.0018861628985389223 -0.001960395319073909 -0.013563544682212634 -0.004696275891258444 
9 9 9 | 0.152809867209878 0.03273329703574561 -0.007752574069521959 -0.03667863144833357 0.007995586676082163 -0.010846084836540875 0.0015093388641939964 0.000978745994695056 0.0030549553874484525 
10 10 10 | 0.1395372396999638 0.031014017048702557 -0.02529893792599995 -0.023309055431752764 -0.010629989329275221 0.009455687008814174 0.0075933449211798105 -0.00556993494882277 -0.007723410503052384 
11 11 11 | 0.1466498953812102 -0.03952537965534295 -0.027910588029315744 0.007374604945189236 0.0015903362071413548 -0.008210732960241206 0.01487551586592377 0.0008596198359730919 0.003689993633211761 
12 12 12 | 0.1465277520019692 -0.027713561253550848 -0.0010409906875947835 0.045850559423743845 0.0076725284362858266 -0.014045128883328858 0.011697395995394884 -0.0018871965933417582 -0.008249086309305091 
13 13 13 | 0.4424305554785338 0.010779398251974413 0.0025276543870099972 -0.019607404199295162 0.001197977719021942 -0.009279927988184725 0.007535449583094752 -0.007145925639268449 -0.01055641217879612 
14 14 14 | 0.16870265523412664 -0.04544759983772062 0.02273644119514093 0.00038482132309697407 -0.008118988941260948 -0.0008229699419242482 -0.004408843002272169 -0.014416462721827839 -0.007895154754506611 
15 15 15 | 0.15024319169030864 0.01639351604008478 0.035532259519876534 0.029062577251607706 -0.0008102456853570452 -0.006507336781903382 -0.0008319087063776916 0.007166848857607063 -0.012735014297575922 
16 16 16 | -0.46639236447237753 -0.017548976683316352 0.009181020397437548 -0.06773342636749058 0.07164449388742164 -0.017482193586904858 -0.08425775602175029 0.046201086417687186 0.018287350346802456 
17 17 17 | -0.1260514694902577 -0.012150022396170492 0.004599800277997796 -0.02532113544026253 0.1537265827580128 -0.03256755705221636 -0.10453430878527042 -0.04739914082281012 0.10244135889031908 
18 18 18 | 0.08744181547293994 0.007402452069458692 -0.01331034264586954 0.040403834741280564 0.1931329290267456 -0.08578258988176075 -0.12230501946557518 -0.08943345637262523 -0.014924994663170257 
19 19 19 | -0.36208229783568946 0.028972305974730744 0.00707055908119546 0.04700766149918413 0.16250956288063953 -0.025012790422448184 -0.17878431713574106 0.05603174872532687 -0.014023993669269505 
20 20 20 | 0.41323598414183405 -0.03864681506615823 0.00943153248954876 -0.12925026987599378 0.12247717048864154 -0.06159003137323674 -0.031157796275157554 -0.17545399724997515 0.00748101128600208 
21 21 21 | -0.15030296385536168 -0.008039489965589456 0.0106294315747849 -0.02238429645169126 0.15427275440559168 -0.05633859792878474 -0.14153581621931252 0.031211099089112754 -0.02199311113983884 
22 22 22 | -0.2885224142719851 0.003893260763575476 -0.018177925669582335 0.018309953365440956 0.14947862916905624 -0.023072906943083504 -0.09063513596633159 -0.05131704034189304 0.07419941061852683 
23 23 23 | -0.5965742730325516 0.019287352138795212 -0.09959776255300028 0.05362556678726712 -0.0869952421857268 -0.019140528250702397 0.020495129031877928 0.06686856875448341 -0.0797659362077999 
24 24 24 | 0.13959584597315977 0.017431872514212358 0.037451085574752775 0.035077822218020534 -0.01196114757222689 -0.006415221009999576 0.0017470068548747137 0.0007423724677086447 -0.012205436359990655 
25 25 25 | 0.14687758794544392 0.00990445276147307 0.046698951554575284 -0.005456107587106905 -0.003596997639085232 0.010076423602855546 0.007804362429569085 -0.005903055192046622 0.011462660927056506 
26 26 26 | 0.1485123543880067 -0.008854196031596163 -0.045202507578025276 -0.0029682658421095877 0.0058518930582760085 -0.0030967751763751133 0.003879158019110042 -0.017294411314182814 0.0013835524899409725 
27 27 27 | 0.1473962040170984 -0.03674335233615485 0.025336148462124973 0.02216889396046001 0.005986099750412972 -0.0030481590763063136 0.006033125644907927 0.0026772491374564993 -0.010305443809691313 
28 28 28 | 0.14177084552956076 -0.0018669241461860822 -0.051906735202101414 0.01347377511288372 -0.006757064559568144 0.00519288864572174 0.011977138527250974 -0.009052579051178023 0.011066174700433662 
29 29 29 | 0.4457307736766051 -0.0022460639556635066 0.0207148408256091 -0.008721105363560244 -0.010523046144966033 -0.0006109187572454943 0.01005999621902251 -0.009963959963002741 -0.001343009223114748 
30 30 30 | 0.17113394458976072 -0.017911769745317573 -0.0348405945567434 -0.032578676305991226 -0.01016336024119532 -0.001954355066279115 0.004252881373667527 0.0015989859217200896 -0.014786096823736656 
31 31 31 | 0.147759891375553 0.04671278885862588 0.013325999913011883 -0.0009654359908281237 -0.010271150576369792 -0.003192171619366866 -0.005795495827775756 -0.004788696782949375 -0.009425616136637659 
