number of atoms: 16
number of fields: 9
Multipoles
---
0 0 0 | -0.4497341554219352 -0.013897035839358127 -0.012953558098246153 -0.11387246834711003 -0.006881817654693315 -0.13453442355279843 -0.009458506452969896 0.014789723790391307 0.016201283334004085 
1 1 1 | -0.3871768126848325 -6.0450187070005434e-05 0.0068998835044549 0.13139093335180904 0.11037481109691533 -0.0176783019344564 0.008329346899711097 0.09912965674457884 -0.017487695261879738 
2 2 2 | 0.9131280720023378 0.06824451919749502 0.04542394196141664 0.013576095667922691 -0.046746452459128 -0.07010045588766033 -0.16203348150946434 -0.12219725542911031 0.0484907431255713 
3 3 3 | -0.8137039376613959 0.0428346299324108 0.002948213988242275 0.03118823530343754 -0.010035349220327089 -0.10185118291191497 -0.09937036320265287 -0.1132817552376242 0.004579432020030867 
4 4 4 | -0.8161168537796453 0.03766094266754891 0.03266405470084897 -0.007205740411445101 -0.03428751768511282 -0.12754348709145513 -0.0579229058932228 -0.01866638309355083 -0.014269324759648342 
5 5 5 | 0.142702425676963 -0.03464302316695186 0.02693509264302101 0.007123169956525009 -0.02192427682618113 0.0009922746644174087 0.01720818574993705 -0.0056486953655075466 -0.0014175824563557636 
6 6 6 | 0.12399961714780194 0.01703805064249053 -0.03603150028377756 0.006924806944136069 0.006565060842456096 -0.0014044966304044403 0.0013357537953905085 -0.02616900559098947 0.023132585506648408 
7 7 7 | 0.11105256413418907 0.040210626968538624 -0.02793527282060406 0.007910946683297315 -0.0032494555032604 0.011233353050487789 0.01601503797110353 -0.010675704456028647 -0.014300064462994788 
8 8 8 | 0.13622103055319656 0.012678816406265813 0.04939181995231959 0.00028522820952544257 0.0036869079804378387 -0.007225496707261054 0.0027750705411450343 -0.010760326680843264 0.006535275717348177 
9 9 9 | 0.09715316286810194 -0.047308902909405835 -0.007449472736273194 0.00020052010238083074 -0.009997410072772616 -0.009180944305560206 -0.019969069623072107 -0.005872981765096979 -0.008988964357245879 
10 10 10 | -0.09973776669311363 -0.036458286011263004 -0.1925675093542624 0.04419661759908243 0.01719025908624688 0.04721749130575739 -0.014819900666099233 0.040911576854300635 0.026304498843355808 
11 11 11 | -0.6564046466935451 -0.04964310650862004 0.09523942078746366 -0.058887925824593165 -0.010770870512358212 -0.12278651083737908 0.05282795092361017 0.18274559731538867 -0.07059446826032754 
12 12 12 | 0.4844524941797993 0.015885745798088338 -0.006573005898613816 0.0033283887203398098 -0.006929365587512243 0.009832348893952713 0.0002980535516422987 0.014927760926220824 -0.004485167689860753 
13 13 13 | 0.0823387240983825 0.051320302283921926 0.003899510965151361 0.03710494733668188 -0.008300813002848116 -0.013010630980905713 -0.00390209370081229 0.0018250385788058767 -0.01688543706047684 
14 14 14 | 0.05974189025746812 0.010931039658699269 -0.026945682655941577 -0.053674030341784265 0.0011143757264580926 0.0023047526385460712 0.000240230142482582 0.03273818121011779 0.014609861594960744 
15 15 15 | 0.0703871806150389 -0.051324210116072806 0.008074757736246342 0.025893233606018973 -0.016229749479517414 0.023467175074517496 -0.004094790210501662 0.010675616488971456 -0.016115118048802418 
