number of atoms: 16
number of fields: 9
Multipoles
---
0 0 0 | -0.38704126146853035 -0.026432218334828807 0.07128588303645246 0.06596547712498199 0.03540059900621021 0.054279440184599764 0.058085992146146015 0.030494074003255326 -0.09506141508161435 
1 1 1 | -0.38402302977566904 0.03524324654148449 -0.06844082295571893 -0.06358875542946903 0.05731295830823274 0.0440050240225325 0.030311178075606862 -0.0175416183415793 -0.09527248405797314 
2 2 2 | 0.12705468754209925 0.044640448361726086 -0.005395758380353287 0.02288341712808523 -0.01357947987268086 0.006140061230694118 0.00013867394482718114 -3.149517835421582e-05 0.010289773350738843 
3 3 3 | 0.13736720242928724 -0.03726198370933681 -0.033579970347128396 0.009544355156211494 -0.0032250127851364543 -0.010871793671974318 -0.007618088992751819 -0.0009465577994057159 0.010973639555400976 
4 4 4 | 0.12517031080300878 -0.005329876833648045 0.031987275968034475 -0.03886320549875405 0.002055023774103674 -0.005399267589064562 0.0001335613137837523 0.014490030469493641 0.0073785313654855895 
5 5 5 | 0.1311391494684494 -0.045845670983589305 -0.004012984102800886 -0.019468531552998984 -0.013391068550090953 0.008335188678784165 -0.0010165885823117551 -0.0031809779128525724 0.008729605264435003 
6 6 6 | 0.13027623883903527 0.03729919270448368 0.03145395372408045 -0.01647520141595645 0.0026753712272793682 -0.01136832868682492 -0.008367212873360657 -0.010878201995091178 0.0041409566304079016 
7 7 7 | 0.12351953832633644 0.0027929434291062835 -0.030159433307682264 0.03990786140476689 0.0020494650511604902 -0.005246470371888209 -0.003079365888559811 0.0150951902200179 0.010019843315277985 
8 8 8 | -0.3889952996120405 0.06828189828270502 0.005232501225667317 -0.07587253185837343 -0.009645178906058486 -0.014994054861989153 0.11017381031019914 0.032046853413480916 0.034654701623890824 
9 9 9 | -0.3916077337552357 -0.06709401881452412 -0.021303728422696677 0.07428131656200172 -0.01962054727964407 -0.0113229904272778 0.10248150063301989 0.05328807165723315 0.004645050956654381 
10 10 10 | 0.1292763286332166 0.023171961408948075 0.03288591950139491 0.03114916774375411 0.00875414607404756 0.004807127445184288 -0.008916345347985898 0.00033418546763869624 -0.005727099623807472 
11 11 11 | 0.12531428935970035 -0.038632036786536726 0.012893600746963779 -0.029288458183760968 -0.012076691951039421 0.00507896986948672 -0.00832783010616625 -0.010197448062571267 -0.002962510389417207 
12 12 12 | 0.12769118280083835 0.011545833710941084 -0.048401712681481454 0.003282322103855074 0.008530089534778825 -0.005347870493491126 -0.007123993437182225 -0.009885333024294828 0.010742414994332703 
13 13 13 | 0.1336169679444288 -0.015842271738869908 0.04906607665553857 -0.003848572100128305 0.005933719665945118 -0.0028176339510055074 -0.006137764957415236 -0.005227659312122518 0.010654705858477009 
14 14 14 | 0.12979370210409968 0.038177322980631714 -0.010238917618890115 0.03198461838417108 -0.013598161587481748 0.003931482658585551 -0.008812034965870406 -0.007957472931885597 -0.0036340117951051765 
15 15 15 | 0.1297521494804137 -0.02192051107429677 -0.03415438078258272 -0.029718165920854196 0.010318605737304297 0.0050800515513794 -0.008431775028691375 0.0016746006576938554 -0.012089897891500797 
