number of atoms: 21
number of fields: 9
Multipoles
---
0 0 0 | -0.4218468233481838 -0.05986991634392434 -0.0005561135447115727 -0.10423497670396915 0.12650450656307669 0.096504543161638 -0.12405300928026736 -0.02654703550134159 -0.02347367506669757 
1 1 1 | -0.3943290997202933 0.044080375422049956 0.02283879378406399 0.09713543386389034 0.03269412106281408 -0.014476915092903391 -0.049700483251367944 0.01696736679918611 -0.015827423011184998 
2 2 2 | 0.8785333917539377 0.03851609424730827 -0.06483664176128542 0.04433611951798644 0.0946158226793492 0.04747813657942669 -0.14332477397267065 -0.13214008898896834 -0.014563226801897006 
3 3 3 | -0.7012056689450308 -0.011728823176857323 -0.0595825697977083 -0.022247277266877467 0.039266102657177976 0.04718900485632619 -0.08462954357405507 -0.06857007083167269 0.024696812123861028 
4 4 4 | -0.8609475268837468 -0.002965159613133606 -0.05787052165448332 0.006577899252484662 0.024825475802726434 0.11539322159886391 -0.06441487996046763 0.029525771022142513 0.060788615299065686 
5 5 5 | 0.1065734318188507 0.03179228340093677 0.020585701369506413 -0.01954118471363275 -0.008195964910491346 -0.011849952576917145 0.011822479378091827 -0.018661343242047407 0.006534297870310672 
6 6 6 | 0.12888555544842872 -0.04483712891060047 0.0017958563254270674 0.016558190837627072 0.0043243672675632545 0.01399513400633414 0.017503358536839653 -0.004113346154053896 -0.014888830470426181 
7 7 7 | 0.15122863392437635 -0.02921643943024551 -0.03626828826659669 0.020614481512114834 -0.009350009672277537 -0.005459232568967653 0.0018013284623044517 -0.01583746026046832 0.005448843931031175 
8 8 8 | 0.14153593782660312 0.04108950663808324 -0.023924902777651958 -0.015755337942595593 0.003984849840316313 0.006941720195323348 0.019443834439721915 -0.002527271520792176 0.0011852717043962268 
9 9 9 | 0.10021934543025557 -0.017255972027935558 0.040789708517661505 -0.014643295567828708 0.00033760816419640055 0.009771544807260736 0.0022053453076851617 -0.011650913808458138 0.017132420569205605 
10 10 10 | -0.009321484468150842 0.10858636417810866 -0.047697652839390245 -0.044999635920541424 -0.005027408687224571 -0.16415041348138426 0.05495296361502057 0.07075614379527405 0.0692300736747799 
11 11 11 | -0.49449404241364014 -0.020329423148374104 -0.017041677752838737 0.024286523592566864 -0.007372498807314744 -0.0008284438549266322 0.021868554238208396 -0.022428957252621316 0.008917098314477657 
12 12 12 | -0.6396077405909306 -0.0802791196794477 0.10871871937140064 0.002484600290384546 -0.03874562315455538 -0.01884444903000141 0.027162649006629163 -0.051915456757417204 -0.027471665495488684 
13 13 13 | 0.12581676695859112 -0.006794805724708353 0.035416914389405856 0.05421954099149091 -0.0021901641896464137 -0.0165999776526662 -0.002171891500883228 0.0180765790774909 -0.005528799816155591 
14 14 14 | 0.15374548005796762 -0.05776513712284175 -0.013779882799631507 -0.030462527733062104 -0.0026358826295289884 -0.01660849166285843 -0.0019864739942370515 0.010205041491122302 -0.0030247583965599036 
15 15 15 | 0.15557480793409806 0.0016523847268465385 -0.01576602740639497 -0.04469388547663213 -0.003560527873905954 0.007451452980304802 -0.0003629303415520737 0.004679399194048414 -0.016752924133146004 
16 16 16 | 0.14830869395886292 0.037730792339024634 0.018828822874088626 0.021074856649646704 -0.013104286821296015 -0.0018129489597982482 -0.003178317361103065 -0.003128121239406263 -0.010273858124280768 
17 17 17 | 0.3746825946436082 0.020073386983386184 0.003941496600968995 0.026671643353519913 -0.005354986694487592 -0.006661019697380961 -0.005392287942321732 0.0018296408254970828 0.0014380299562474846 
18 18 18 | 0.45981345071019886 -0.016356336329291354 -0.027030075460717427 0.0038408602513803408 -0.0025596066429305763 -0.012077225488779614 -0.004132874270865078 -0.002846294213870295 -0.00022957174418637198 
19 19 19 | 0.4119048848997585 0.006697060318986031 -0.0017672047397667386 -0.03178097924954551 0.002475149805498892 -0.005983928387888085 0.0032903621646492823 0.005707667741581838 -0.0022394116867972356 
20 20 20 | 0.183280321735107 -0.03838235008464918 0.029846539579771517 -0.0013505585378079383 -0.0017630627780226072 0.009379671346651628 -0.0055702764277590746 -0.004559704095893094 -0.006242935086552012 
