number of atoms: 25
number of fields: 9
Multipoles
---
0 0 0 | 0.09229165793932204 0.0037521641062301515 0.03531097071418756 0.03448794178385995 -0.021818551756553454 -0.010076180718713103 -0.015878036155707244 0.009086110866512283 0.026356722301227462 
1 1 1 | -0.46755184194341215 -0.06491096359172084 0.002879342353822387 -0.031669227312373885 -0.01766177034129504 0.011726049190118453 -0.1150076440541369 0.008609444148096541 -0.006120548786036222 
2 2 2 | -0.4762239697861901 0.06810172677087316 0.003978595830858703 -0.02023986974675398 -0.040177778350594405 -0.0009481697862448782 0.10255481533883787 0.050067799668005265 -0.02580901188802664 
3 3 3 | -0.5009348678277101 -0.013893067695013002 -0.06042723738384025 0.041588082745845426 0.05313096031072591 -0.034247885599274115 -0.0006514123536562861 -0.0781619104971346 0.035236343398634073 
4 4 4 | 0.08574104231031021 -0.0007999532021174355 -0.035596607270674964 -0.03693801425956306 0.016785201698610544 -0.0009437488281295977 -0.0057177524175744615 0.0031856395721628406 -0.02659134565055266 
5 5 5 | 0.14297023600181458 -0.017528621273641697 0.0217457173326493 0.034685700384550655 0.014402778196705372 -0.002856520418659646 0.01006583208153185 0.005878192929694671 -0.010178280132889413 
6 6 6 | 0.13323874353419052 0.02612848285092512 0.024522822590876986 -0.030388981175284324 -0.011771022361061603 -0.011403240935065364 0.013531057127332336 -0.008774483486116742 -0.004527568720340519 
7 7 7 | 0.13834802420879233 0.010688406991570781 0.03146522047833687 0.029194916061471437 0.013759439835505044 0.005554756712312283 -0.009739127204841151 0.004774610187202327 -0.011963471533471888 
8 8 8 | 0.14045504662654895 -0.02758807158927647 0.013635545901995129 -0.03876841258496411 -0.006663791285625387 0.0034535174683384615 -0.007334455514001092 -0.009727717454980704 -0.0030361990853613632 
9 9 9 | 0.13801052635204358 -0.003826870592953078 -0.043823575995170734 0.011243430351990135 0.012483610052339209 -0.008521106214706213 -0.004575571768780977 -0.004685763733304744 0.009793660522055245 
10 10 10 | 0.1385787008912993 0.027482877655199116 -0.015148773446464996 -0.03522730354453654 -0.0058665080137625105 -0.005626375245447672 0.005227206911792802 0.014172489103030868 -0.0015482199020346835 
11 11 11 | 0.16215486454389139 -0.04653992985697664 0.010018715472940832 -0.006658529450575922 -0.003119835769413074 0.011229944782224449 0.003176969350748963 -0.0005147552840997263 -0.006059413587774729 
12 12 12 | 0.13891179386496078 0.01845018175169404 0.018542392699450946 0.03568980424162744 -0.006780174432662311 -0.0063181864264289 -0.005649681168569668 -0.000683436767618208 -0.02040002420264751 
13 13 13 | 0.1325881872816317 0.007325215706560039 -0.046178959467126884 -0.0023679893637080923 0.009410101459572717 0.004946274419713179 0.006704784641282491 -0.01051544388869837 0.008138203415952755 
14 14 14 | -0.1359684525999505 -0.06947927642324275 0.013166952325445909 -0.023023324251184214 -0.056079436995332986 0.056476553879168 -0.04306692603715233 0.07206490494943414 -0.03903567718883815 
15 15 15 | -0.4388018733825554 0.02470421894863305 0.006592081115510213 0.07112017807865045 0.013752952660103337 0.005465130398900232 -0.08434042204355112 0.08697104033487163 -0.025107355168311037 
16 16 16 | -0.44909276590769753 0.05245801443885637 -0.02537863867562848 -0.043804137428959146 -0.06590069247425606 0.07387817705230436 0.02700951477552952 0.03732195359154472 -0.005597918360252531 
17 17 17 | 0.10957601312661158 0.03155975640565496 0.0414817823433642 -0.01149815846976042 -0.009806858083962137 -0.014827981447961412 0.0015825912316398223 -0.007661894937646544 0.0010587705494827192 
18 18 18 | 0.11149062882110328 0.001594210373816092 -0.048705741356723856 0.019044794716076247 0.00014590352403525488 0.007570735263975026 -0.0009943502960021288 -0.01787624268584984 0.01325112133779348 
19 19 19 | 0.1324220835060329 0.04386492232551913 0.008225741702202064 -0.01880224826923762 0.0016360383353327015 0.0003741160735113462 0.017569742051192112 0.0035971769857791763 0.0003271891446615021 
20 20 20 | 0.13510933384067914 -0.013898528750994628 -0.04434373234784315 0.013058172658556716 -0.003724281302732723 -0.010227460139138082 -0.0022739664068535986 -0.013566975790545785 -0.0091082970292171 
21 21 21 | 0.12901199337193991 0.020399017742228187 0.027302731810439976 0.033574026925796384 0.0065971598334439285 -0.005417032412840947 -0.0073622024988459185 0.0032930094355001454 -0.003603563485200529 
22 22 22 | 0.1339947849397397 -0.02100795572909009 -0.04224333429027297 0.008272675677428721 -0.004417379822147849 -0.01404786623170296 -0.0004723166246592399 0.0021087941720068786 0.012945114208157945 
23 23 23 | 0.13449966549667236 -0.02511888279719097 0.03674599070780004 0.018416537310022286 -0.006156789613329353 0.018565194110631324 -0.003203454289530408 -0.00527190340270011 0.0072451894106403455 
24 24 24 | 0.13657148989673806 -0.010434417576376668 0.017547340331238656 -0.041456192937633085 0.001996619450601949 0.00900967057063782 -0.01739293860366971 -0.0009576849027437401 0.010089561660636756 
