number of atoms: 25
number of fields: 9
Multipoles
---
0 0 0 | -0.17074599188391115 -0.08661551409052845 -0.09495466350624475 0.07070705859277825 -0.02936948135559472 0.13137868232755964 -0.03774961320081439 0.031322571565823534 -0.05630628656929655 
1 1 1 | 0.9641543391064014 0.014290346700148596 -0.011333226226983078 0.013501537836103902 -0.061485392839566055 -0.033188082731586716 -0.0664747971340354 0.015818954459746182 0.09161425341288484 
2 2 2 | -0.6014269528459115 0.07949155706632183 0.10213642215582776 -0.07620150675979985 0.021778115437753213 -0.01350056239507181 0.003923592391802314 -0.01420569490254472 0.0329789959522005 
3 3 3 | -0.9269999063907575 -0.010622324219655283 -0.027683135373057496 0.01221919291652999 0.03828245888107666 0.06052178146646371 -0.005873653206790284 0.015783736155034207 -0.013930722070717083 
4 4 4 | -0.8763447143142642 0.023663847877221464 -0.015729444677338437 -0.008794949736960172 0.005982151318763203 -0.010833239853822178 -0.006859014023160167 -0.007859346611311824 -0.005702406308223435 
5 5 5 | 0.39523300695392405 -0.03147802000300345 0.0025327318350927322 -0.014510567432896092 -0.003067294739749584 0.003358223486364342 0.0017359872335458723 -0.0005649797140988749 -0.021057994301770494 
6 6 6 | 0.4390965335703305 -0.027261974754339124 -0.004268617923164701 -0.006255622073195587 -0.00029576316800276 0.007258324808420036 -0.002455440050396645 0.0017722022178215452 -0.01479987604141791 
7 7 7 | 0.4524200427917455 0.006608201923991023 -0.018794272922900635 0.019569405263498665 0.010615610955870134 0.011548661835388887 -0.00041648915183267824 0.0009752626087887623 -0.007095089729113232 
8 8 8 | 0.4340309749604129 0.02038824818763862 0.015617732245074437 -0.01191878036583062 0.0098714896555407 -0.0001880788368791086 0.01127199688668208 -0.004425696007132903 -0.0058628536070973744 
9 9 9 | 0.4437592101756833 0.009773971475501814 -0.01757245577869113 0.02029835457095838 0.012201821397449436 0.00788272683148615 0.00188320160985875 0.00026193708327691077 -0.0048433559728243486 
10 10 10 | 0.13034857928973698 0.04282534901803086 0.031939803996064026 0.03268502142569492 -0.0019238181146092911 0.024358988592950485 -0.012523557575088324 0.0022129694720590303 -0.010610014207726719 
11 11 11 | 0.15930179548055767 -0.038429802294689126 0.04911005966590945 -0.01018776979886971 0.0047395923169848125 0.011434341795352106 -0.01134296930881179 0.005373979488456204 -0.010334812984378852 
12 12 12 | 0.13767758742851188 0.01472334834908352 -0.026567645425572963 -0.05614414547646292 -0.004713310057269286 0.01869407922523252 -0.006324014020730533 0.009226283857817402 -0.006909336003538433 
13 13 13 | -0.4955500176131915 -0.029640619304100953 -0.03062664861173159 -0.03630344323407517 0.03790657004987268 0.09676078842003766 -0.05355903858275344 -0.01192068460828001 0.015354002464490603 
14 14 14 | 0.21388962646762444 0.09425426346515187 -0.04060762792860594 0.02080083077434289 -0.057753141889605404 0.0030306296828829147 -0.07307329927600834 0.08241435006655415 0.07141208026040645 
15 15 15 | 0.29714264878450614 -0.06279118079196683 -0.08563304434646284 0.06802876932225572 -0.02899428764921388 -0.01825314291072302 -0.030474606376111546 0.12595233133854034 0.11026081073044103 
16 16 16 | -0.2179099956939634 -0.08119941980653549 -0.0238062858929864 -0.1276113765151613 0.03786089374348502 -0.0689651753316289 0.08523746904670987 0.0662652265136956 0.07935094382907645 
17 17 17 | -0.5620259276263075 0.09526629766775392 -0.014520665591796166 -0.08414363357771064 -0.050306838974956095 -0.15937032041602844 0.19299746276312907 0.2222697989044386 0.2101877300518202 
18 18 18 | -0.3616072449960237 0.07423308528072275 -0.04471640423043825 0.04558079255368078 -0.0340762692600578 -0.012003509161582278 -0.021348706497712058 0.049073094464575175 0.05241281283654113 
19 19 19 | 0.11873604976317798 -0.07628216743332451 -0.019525999457651252 -0.009836694863802928 0.00799006166559684 0.014418934479556302 -0.003941435479615865 -0.024339118065516103 -0.023409632237114317 
20 20 20 | 0.3640762914232393 -0.004254431926437653 0.010310392580776574 -0.03691769726269631 0.018620661959689477 0.007937961500850264 0.000994612377181336 -0.008263569769437071 -0.006057044698643704 
21 21 21 | 0.17570147971670003 0.060029431782228464 0.010407661752071296 -0.011099082116341957 0.012543450647050805 0.00036764827699971823 0.014200437064588518 -0.016315322627891853 -0.013104061250573078 
22 22 22 | 0.14851282003507138 -0.02839501667335365 -0.00020901639221047755 0.03583880415723546 0.006301980882916322 0.002351257703118548 0.01713032762953055 0.003928331413801791 -0.006073809644697383 
23 23 23 | 0.15304193803057875 0.03407393821950544 0.03246140494894014 -0.008367635089328768 -0.005885746375441118 -0.0065705395466767996 0.005058871069240203 -0.010751386034810158 -0.0035953548244903374 
24 24 24 | 0.18383801285196089 0.015587541322758467 -0.046287083084603595 -0.006725782993022299 0.0009098349315108308 0.007040151232216083 0.00439318022455312 -0.008213945047165147 0.004707374912503829 
