number of atoms: 20
number of fields: 9
Multipoles
---
0 0 0 | -0.7430470994045608 0.017795401837184643 0.005781018622361378 -0.0014508518564293415 -0.02016170395447307 -0.006937304948297457 -0.06797214890330025 0.0008965851733687141 0.1809294475283802 
1 1 1 | 1.0010765335947864 -0.0292175127423288 0.03134265781736349 -0.04433406730107073 -0.03945881382654567 -0.03199776278560691 -0.06075048926481929 -0.0052772858421819245 0.17306102866267964 
2 2 2 | -0.8950255252802819 -0.007374791613028348 -0.012618342466343834 -0.017389297249262813 -0.062423702992713354 -0.0571578520667192 0.045892161912357385 -0.039910773124308796 0.04039389228619603 
3 3 3 | -0.8256668965782445 0.04839217397385359 0.03769681474642661 -0.015085755646268144 -0.0225346324750634 0.02518380269527933 -0.0890305496493283 0.0118166040652818 0.12944408380430744 
4 4 4 | 0.16719035991600661 -0.01058113683675973 -0.03004377041907642 -0.02095386526603139 0.009433845441378227 -0.007616588033237853 0.0007749681845826947 -0.01871874856044596 -0.002128546221976298 
5 5 5 | 0.16767967819719765 -0.023423156229374163 0.0150415664610705 0.025542742318733803 0.004875443784461786 -0.0019786457621628856 0.01498175608031647 0.015503580175474176 0.0006979733582980943 
6 6 6 | 0.172798132049096 0.03673765791044453 0.010884838448979008 -0.0027416878067483977 -0.019186918052880152 -0.0008967880515466416 -0.01013311569211545 0.00130393671785563 0.0010208319091998572 
7 7 7 | -0.1762014248026249 0.10956368331870159 -0.10573093293232942 0.037363317393483794 0.05097424464506756 -0.06281534286439652 0.03820021703813395 0.09487795242610084 0.00300750434274181 
8 8 8 | 0.9574253540572988 0.008054196219733719 0.010331232181361264 -0.019494109463921338 0.013570576745915289 0.08694341325543506 0.05854054262204265 0.05262530066148087 0.06043090107511495 
9 9 9 | -0.9299768871279328 0.02452997790973741 -0.021785947766137292 -0.0017766985689486687 -0.03178063598333442 0.02932167168146115 -0.0021320427455888535 0.04405032870413276 0.01277958883534418 
10 10 10 | -0.6005614817878993 -0.09843416251804027 0.10638845978469362 -0.007676574446476416 -0.0064097982245148 0.02610564639199579 0.017178279269659966 0.011289122604837724 -0.008130798063172127 
11 11 11 | -0.9179589341936198 0.010168424079836836 0.00044910241522387676 -0.0033493163240674085 -0.0016466000911754097 -0.042523232151306656 -0.026385672108423682 -0.016075257112905746 -0.019818109823075827 
12 12 12 | 0.48236118775907666 0.006691996935165208 -0.013960306871590639 0.0220724765466395 0.002617608337277916 -0.008584750763359537 -0.0076042480351365465 0.0044115576182162525 0.0028015165674814156 
13 13 13 | 0.45376292285962316 0.021367110429366003 -0.009155337908196013 -0.013971733659221545 -0.003553136055860106 -0.008787687312451168 0.0033688666931838028 0.00044855484320494265 -0.009273689072433545 
14 14 14 | 0.40486484444775417 -0.002509252361374761 -0.016619696372114343 0.03082333100508062 0.004994235163600673 -0.015946384839338492 -0.012429981311889418 -0.0012080485351210106 0.000615444875397441 
15 15 15 | 0.42919582397649514 -0.018981907313669093 0.019931954524946487 -0.004591635763580881 -0.005564627279005605 -0.004291844140886984 -0.009672313916669537 -0.012510984874708345 -0.009534800059631218 
16 16 16 | 0.44397141442173316 0.01857109597790081 -0.006488570772650909 -0.01991099464095416 -0.00458890166505692 -0.009841988837213699 0.0014376208726900165 -0.0024928903385128265 -0.01189912555787513 
17 17 17 | 0.11712829357862564 -0.040638851011304676 -0.02936781947467337 -0.037778618728698074 0.0012653169280919595 -0.0164392018370116 0.002816608306500038 0.01997394843503679 0.004860304126391217 
18 18 18 | 0.1239459359512407 0.029121565303052897 0.052924331359669036 -0.01186253376086933 0.015691468684477024 -0.01634329922728274 0.0075378152053773234 0.014260296560474827 -0.0018744771978022828 
19 19 19 | 0.1654457798641903 -0.03105464518114581 0.009877061091947567 0.0539440106625816 0.00328010836020078 -0.01849565345331216 0.0036395423962262826 0.00560467191616767 -0.005884744666660453 
