number of atoms: 19
number of fields: 9
Multipoles
---
0 0 0 | -0.13876680691169607 0.039261658828301634 -0.07315878153143905 0.017729892568666826 0.05590080680331786 0.0714326863363552 -0.08241870019951529 -0.06337676528681725 0.010091053132528411 
1 1 1 | -0.4329409456837805 0.012462773833433978 0.0726368200672683 0.03526512919294597 0.06725612437443577 0.0017439478281273979 -0.013262275439446245 -0.06841568236158603 -0.06499822072233712 
2 2 2 | -0.42987800767276063 -0.0529096520743841 0.00872381780145959 -0.05926857942545317 -0.0029518371735370126 0.03659258372862687 -0.10729352959187555 0.03409140195516451 0.03298068803117743 
3 3 3 | 0.1049078076448342 -0.04845047516565754 0.0019524338260810121 0.026288194703964825 -0.007212474390528087 0.010289232448672267 0.014529382736845979 -0.005228129244091695 0.002196450880424801 
4 4 4 | 0.09961331359443115 0.03149919539015234 0.02739683339706254 -0.03512908612548813 0.0035870034715099123 0.0011357136570154416 0.011753406641539411 -0.009064322435576228 0.01959786348645632 
5 5 5 | 0.13478757672982733 -0.04872851666536985 0.007567202313942053 -0.007845573967684823 -0.00906527917925848 -0.008079244056947068 -0.007994341708592404 0.005875917785059061 0.0008314421598983472 
6 6 6 | 0.13306358073606894 0.03406713154417853 0.009088775794849626 -0.034101954150639435 -0.0012086548896090028 0.008920300601286837 0.009745796230090338 0.011381448578103536 -0.0009734738168602572 
7 7 7 | 0.13318333096441015 -0.02129846136577921 0.032329869485345095 0.030528438498657048 0.0061671464703131 -0.004326617932955111 0.006633676864068304 0.004862448857347085 -0.01157550115644773 
8 8 8 | 0.1299154500798534 0.036877423759958894 0.01400801952449915 -0.029968510269027738 -0.017567801258399567 -0.00363328141928355 0.0037816741800072136 -0.007410803228523102 -0.0017596579703039084 
9 9 9 | 0.13184145396007452 0.016995462316042948 -0.013918339172408683 0.043363150837403754 0.005776015334622109 0.005475658671472409 -0.006155876910815041 -0.0045138129490014355 0.01797387383009078 
10 10 10 | 0.131815481866134 -0.011786020051081666 -0.045431971215813854 -0.005855288513435988 0.011724185854862136 0.0014378405523609672 0.004429741291101562 -0.015000398572124504 0.00750799267280424 
11 11 11 | -0.36999932918114453 -0.09983894623107624 0.017471075972360865 -0.002596084620749582 -0.12372436478630874 0.04171747749352502 -0.013263148929710677 -0.013378695796796701 -0.008499385272403242 
12 12 12 | -0.3826867846320452 0.09682095858686042 -0.02446298658298897 0.0003144276187378591 -0.11961377554616069 0.037896410078404844 -0.008464660643751254 -0.008703913796264595 -0.0020767520146885037 
13 13 13 | 0.12320057164038745 -0.005189759619900016 -0.038093580946564363 -0.03173818411889905 0.014568849523493453 0.00583592552143063 0.007285032208647351 -0.0046007079445308996 -0.007286148283365609 
14 14 14 | 0.12357849231307172 0.012411955602565633 0.04452258962955316 -0.021530481358476263 0.004383371704155011 -0.016769457310392293 0.0043384675417735994 -0.0005094580960309545 0.0019875083911246364 
15 15 15 | 0.12349745139672974 -9.550948571365347e-05 -0.006807522128886079 0.050579544670913086 0.009988321397769371 -0.004472382014204895 -0.01180016739521572 0.004840630752614863 0.0033584012111354876 
16 16 16 | 0.1325295129364571 0.0015265087060483652 0.004629232994645761 -0.05032988972018953 0.009406134482468865 -0.0021189120746161333 -0.013827919191860119 0.006100037124603807 0.002811528945086029 
17 17 17 | 0.12693272228780494 -0.0107197600052707 -0.041690073277091275 0.02742429120775622 0.0031715145551618256 -0.017162796384362255 0.007446015172503681 -0.0008783849370005135 0.00250728155475736 
18 18 18 | 0.1235618814133631 0.0076119750323692375 0.0413647278063919 0.027483695707125586 0.014135223124471687 0.0066337787432898315 0.007127365460277147 -0.005931665191853675 -0.007939203721229363 
