number of atoms: 20
number of fields: 9
Multipoles
---
0 0 0 | 0.3112524220924513 -0.01007656899373939 -0.0959544585399253 -0.08427948717792552 -0.05402287766041392 0.02743371575923444 0.04354214227254071 0.01928486020857013 0.13886000283670413 
1 1 1 | -0.5705470233999632 -0.0030743697961539813 0.0143488669275655 -0.02121001154669806 -0.03160667365631637 0.037677920466282155 -0.05974097602826899 -0.019406611675063492 0.021618722374914613 
2 2 2 | -0.5162933606481577 -0.02015472510509759 -0.04064123535536975 0.02247194588817918 -0.022701949398396353 0.0185243645120718 0.08694185504283554 0.05562893837264947 0.026411492400331256 
3 3 3 | -0.6220850216736604 0.12605572479150726 0.04416345325852851 -0.033949513739687416 0.06387631778618 0.18547907599774635 -0.09226536671837021 -0.045618011425311786 -0.009386120104941815 
4 4 4 | 0.05004525116154945 -0.034367817049608604 0.048715043367926134 0.026699882698048637 -0.0068679128664933245 0.017606794491043368 0.014660955232666634 -0.007998190424471318 -0.007290850459248797 
5 5 5 | 0.16566767066185684 0.018709766410096043 -0.02724865299636088 -0.02810353183910429 -0.0042088553576604655 0.007753681752324208 0.007850496996590342 -0.009883889664022477 -0.011433179254089076 
6 6 6 | 0.15611689976500953 0.02106435983985769 -0.03637018532790169 -0.013354359164537965 -0.004398638988605088 0.014476485330738125 0.0021470299156779275 -0.002537483682659449 -0.011364289711062103 
7 7 7 | 0.15625074421509122 -0.03370434845767869 0.012332417373699282 -0.029065897093916646 0.005173876046759361 0.006024460468855616 -0.01137843744907335 0.005492187669248819 0.005243542926128914 
8 8 8 | 0.14862015443013188 0.02272586261373366 0.03308673195800001 0.021252220623612834 -0.002368801795275782 -0.0018050057143022726 -0.00847283143119645 -0.005314045366025047 -0.011199032685482911 
9 9 9 | 0.4113430092534607 -0.016125938188789535 -0.007053735712590697 0.014230757161513046 -0.00331362602140074 0.011015339816058185 0.0020534451355390046 -0.007028966152141952 0.015581250662998066 
10 10 10 | 0.14636735020595704 -0.027238812189628137 -0.0177389671927686 0.027801793320402467 0.0008866724965056287 -0.012266855824374112 0.011938625677797927 0.0014467808882198576 0.004414987252515954 
11 11 11 | 0.156435161161121 0.02716268072722354 0.031705332969629484 0.011185852303660794 -0.0032708338826539945 -0.010093052607320012 -0.004280392466519968 -0.002758723916217306 -0.013804470623758586 
12 12 12 | -0.36838999684218177 -0.025166495803037023 0.08455003934845215 0.036303919594831036 0.03920326798303557 0.057029758271828726 0.04217927797416728 -0.03527789230542551 -0.08421975158152831 
13 13 13 | -0.38000337281930285 0.0464358655864823 -0.07758506635688761 -0.043903297928863654 0.04384556691244205 0.054224234490866025 0.03341544636748422 -0.07341888156271642 -0.07573768017358597 
14 14 14 | 0.12552771812944985 0.03546998101451659 -0.007184441219298191 0.034611520730852836 -0.01353470166467923 0.0031747372333179986 -0.004013473588726352 0.006384115778071618 0.011736085461911835 
15 15 15 | 0.12603558561529182 -0.04419959729194734 -0.022087140846831037 0.006531855842200098 -0.0010922430060232426 -0.01741899433922252 -0.004609334886370649 -0.00011782946960588659 0.0079553080411568 
16 16 16 | 0.1273568926630102 0.00860039738907605 0.022263110932368123 -0.04489633982875969 6.268774841270857e-05 -0.004858157084001573 0.004419330348675417 0.016461101359379695 -0.00098050398959561 
17 17 17 | 0.12406265339588651 7.496134215338156e-05 -0.021731290276850803 0.045238942175563214 0.0007636044587116399 -0.004233365671416027 0.0023652565659710474 0.01881817761997376 0.00038247203738730323 
18 18 18 | 0.12340501464098774 -0.0416790236567408 -0.007026382646819006 -0.028827184784703128 -0.01410306702086397 0.008615045164697297 -0.004919380484732218 0.0008698720576017675 0.01101498542432807 
19 19 19 | 0.12719997432963248 0.03432053984287949 0.03285892729183608 -0.01447580723760755 -0.0006742840554339781 -0.015074778889699679 -0.0052782016955905215 -0.0033202451972813964 0.008308026287557689 
