number of atoms: 22
number of fields: 9
Multipoles
---
0 0 0 | -0.08187264534669669 -0.14786464322247522 0.08413133613782141 -0.030200421040288142 0.0463057205093204 -0.11591222921422237 0.018393711356843923 -0.013900835204389145 -0.04245198093905067 
1 1 1 | -0.6175953290470471 0.12177427902901516 -0.005318342156441218 -0.05493202834309534 0.10650524536173807 -0.041004064647372954 -0.07168267451949772 0.039757050050570945 -0.12679235357602509 
2 2 2 | 0.4429936899524477 -0.018696131010591956 -0.00978879269173855 0.010374393032862472 0.009590165408426013 -0.011954167893263036 0.000844073050185218 0.007190038599364163 -0.012489143531001336 
3 3 3 | 0.08607954308162435 0.02979181694907793 0.020533500648507886 -0.045124852116478036 0.020507881678603793 -0.028995825538799678 0.007202424362860131 -0.002290320542922011 -0.00148752173338546 
4 4 4 | 0.10705771950472986 -0.020238728622126112 -0.0584122802186394 -0.020489708862291976 0.019279749772541006 -0.003968801331592369 0.006674020785301611 -0.0014596497989800231 -0.0025289194358348085 
5 5 5 | 0.08085472981230168 0.014126017042360366 0.004204518716909188 0.0622057985111888 0.01092247958158501 -0.019951882041655246 -0.013519192296830719 0.003350982844889036 0.0029028716517247714 
6 6 6 | 0.013707949197882208 -0.06885918873525008 0.0950141057278322 0.08872750687542552 -0.20332008604208202 0.08768085354973026 0.03464169252868287 -0.009973741091826114 0.04032875529714318 
7 7 7 | -0.4843343040158832 0.037625423224563526 -0.0036866418479232226 0.004883534951742833 0.013188797199316598 0.02745061611853705 0.033404923146991984 -0.020531769064597513 -0.024915213905950834 
8 8 8 | 0.9496984495152851 0.01814260057056439 -0.01436305716083637 0.016730722276992092 -0.049457733151202124 0.08042307856004059 -0.06560972020789195 -0.004889941674066651 -0.08100302260530884 
9 9 9 | -0.6093026735306077 -0.051247954956881205 -0.09298983455677377 -0.10178169572476786 0.0020057044016078855 0.008653495193215616 -0.005002742747080046 0.009723183940829163 -0.05371441973259011 
10 10 10 | -0.8945410710827826 0.002062048669701217 -0.019943846716325403 0.012963810685995239 0.017590957129597858 -0.025149253971363802 0.0005164084868056642 -0.005284450180885488 0.0164833022098721 
11 11 11 | -0.9185930256541903 0.004138568710839385 0.004513332867150945 0.027526319603858634 -0.01309059949495549 -0.02263723753493108 -0.005816487951137163 0.0157149224272611 0.033731906570440645 
12 12 12 | 0.13555990530236195 -0.006922541017749411 -0.06894204473870323 0.019365571945191798 -0.01912587583086622 0.00645286819885191 0.013371303838586793 0.00011233520259912399 0.015394964166661196 
13 13 13 | 0.1094874149003483 0.01511079216465362 0.026097300393703025 -0.0602837388923093 -0.010287381764946977 0.012619498892177472 0.014774800964603764 0.0012529466485888823 0.01579627353109085 
14 14 14 | 0.19423135332260022 -0.0031759012871162284 -0.037823960056217666 -0.03261757066461489 0.012001487648737045 -0.0034984259287216993 -0.00023700765299848776 -0.001133190678949801 -0.002370970326085787 
15 15 15 | 0.15540179459031023 -0.011002791153706778 0.040728020081948896 -0.025238359606492733 0.014187337344547501 0.00933814680818977 0.0030690959546540984 -0.005705853917271428 -0.0017334880250638915 
16 16 16 | 0.3966998399600421 -0.026622611549392335 0.020852494297665898 -0.0020727203167790927 0.0011877682289462763 0.0017047372362956508 0.015627408426075726 -0.00440414383951378 0.012037094055177474 
17 17 17 | 0.4389974054664404 0.0006109956579933502 -0.01842669000467904 -0.021177443055455648 0.0091758864534699 -0.014336785999932029 0.003083231699811473 0.000732358666606456 0.0014326733390817837 
18 18 18 | 0.43941056022246183 0.02480295164114953 -0.0013182559197389863 0.014822357391438896 0.0004663942893269415 -0.010874262423475374 -0.0007594690440998393 0.003638469035481293 0.012382029487023254 
19 19 19 | 0.4429089719906316 -0.019079352340674167 0.020160171364700136 0.006679868217971907 -0.001217948457128673 0.0004321620053031332 0.009271668432685794 -0.002419198863494487 0.012734502597973436 
20 20 20 | 0.4433293789008492 0.02213444871565264 0.002388219143651203 0.017540594649346698 -0.0028226247421941344 -0.008012800005406082 0.0009276032505946019 0.003351782931389195 0.014469770132763732 
21 21 21 | 0.16781020007787906 -0.02437139959358902 -0.014057696938912704 0.04069909415398034 0.011147447740346674 0.0016489955337238866 0.01289044544772164 0.000891513106281908 -0.0023636586062719765 
