number of atoms: 16
number of fields: 9
Multipoles
---
0 0 0 | -0.3947063746409585 -0.09519605476429734 0.038415907773108 -0.02166470516997064 -0.09584310261564975 0.04633197819512482 -0.05084880981731997 0.00805450793104522 0.012231708317795761 
1 1 1 | -0.38235900465069594 0.09457263664084609 -0.028784386070581366 0.032721564041489105 -0.0872853915345135 0.06698709141372529 -0.03184382035613869 -0.011103741278526548 0.016113479743860647 
2 2 2 | 0.12784545880425202 -0.0018927981373171297 0.02457158244909067 0.04383891564116718 0.010146108172136717 -0.00931574693850331 -0.009599401936473918 0.007416878336498377 -0.0022369253534855844 
3 3 3 | 0.14610777749081005 -0.008915664966953576 -0.05284049686255498 -0.002445210212717944 0.006767587770861079 -0.0004989207381209514 0.004879683669391544 0.0008959857153404052 -0.0037881532136271804 
4 4 4 | 0.12589688958788614 0.02208988258287796 0.020986546523104922 -0.03917280480461672 0.0006381952564807345 -0.010710259215682454 0.014882085943229359 0.0008110535790463437 -0.0011812881993824304 
5 5 5 | 0.12135434799831257 0.00549512223518073 -0.019103225005062723 -0.046511846788505715 0.011526305263677252 -0.00791276630523602 -0.009034986779329783 0.010812602171354687 -0.0019056178428952283 
6 6 6 | 0.1295201402510513 0.012544849296110138 0.04950888822244854 0.006878583785922418 0.014175595020580231 0.006803501188512998 0.004921423834416792 -0.008545324829261996 -0.0015651282802181708 
7 7 7 | 0.12737822842354718 -0.026004516417587983 -0.03260975966789782 0.028989327077067032 0.000787972116525085 -0.011283250953563216 0.01384613900340929 0.0024307151569035648 -0.001183581196941784 
8 8 8 | -0.3901378411428329 0.0159578312383665 -0.10867843922972494 0.019780968960738776 0.07576716506128087 0.03261587480605098 -0.01025651353201595 -0.11047112622247104 0.07022133468533584 
9 9 9 | -0.3736210693056341 -0.01581961088424175 0.09588688039639781 -0.036588182280393636 0.061733467830416 0.03189144003006621 -0.003300089212884609 -0.09101517353801802 0.038864821997251095 
10 10 10 | 0.12606031292507014 -0.03880427577098154 -0.010617734926787852 -0.031445836581995665 -0.006303012992627844 0.0029407650985331366 -0.007238713017448378 0.010945106076067765 0.0029852349619248733 
11 11 11 | 0.13067157269270513 -0.011250253545137054 0.011335822604892931 0.04850006154181208 -0.00035524325967908443 0.0007273260043260773 0.003396664407273787 0.005414779769105111 -0.013293818804620536 
12 12 12 | 0.1289304634744658 0.04852194222447263 0.005267296277229329 -0.01696131256275901 -0.0038642795421629525 -0.011683530307606858 0.00527989087424579 0.004598038022855973 0.003113768746764302 
13 13 13 | 0.12535548494740334 -0.04802422707159832 -0.004346676482815538 0.016927869632266234 -0.0053928970342020845 -0.016446279694176672 0.0054333536513786005 0.005220987581884642 0.0027294544501301234 
14 14 14 | 0.12381042802069242 0.034266020781676385 0.015450173241480084 0.034579578243115146 -0.007502579339789571 0.005640419232444086 -0.009653505833864222 0.013467360589552772 0.0045798050098263265 
15 15 15 | 0.12648353120359968 0.016376010582639326 -0.018785987984498487 -0.04393040803819967 -0.002538511739791733 0.0016113070153079053 0.003568684289293061 0.005682164302253145 -0.01619210603186574 
