number of atoms: 16
number of fields: 9
Multipoles
---
0 0 0 | -0.3855188775095062 -0.0684132090299169 -0.0777851262868084 0.025583476493175796 0.021397101705680436 -0.11257341733466436 0.021020758328483536 -0.08107606768963133 0.04448156240808149 
1 1 1 | -0.361526246234674 0.05457484091708879 0.08757698988012101 -0.028302949613622112 -0.0015978997274116336 -0.10737447745248328 0.03564600826462362 -0.06608421644539143 0.03931584690210236 
2 2 2 | 0.12711657539329002 -0.02185447120026557 -0.0007078331949741248 -0.04592752507343608 0.008837258610022386 0.00915152634436778 -0.0004069286537536779 0.006477467036534254 0.012317700669562759 
3 3 3 | 0.12865085547176713 -0.015834280056602493 0.025998758731835773 0.040201312966197174 0.004891103490385775 0.006517301625843005 -0.006670469895320636 -0.0027463523490930185 -0.012846122036783928 
4 4 4 | 0.1382337305141651 0.044418068242628055 -0.02875282763382948 0.0011983409764934063 -0.002515272120423001 0.005630653398549151 -0.002597585956354339 0.006960694290847128 -0.002155780386228812 
5 5 5 | 0.11748629926153353 0.03876973759191609 -0.016338916613501838 0.030152984883442174 0.009229681744545042 0.014104305938428006 -0.001674949420067332 0.0021819399136566893 0.011611593170647904 
6 6 6 | 0.12019226198213828 -0.007226922945027762 -0.018237701052682916 -0.04629823427214709 0.0031282878116681142 0.006244539590036917 -0.009489692796291862 0.0034353058582924667 -0.014871141985971578 
7 7 7 | 0.11630980460046259 -0.03801606317140089 0.025831895560186297 0.021073146623368094 -0.012307330981986464 0.00798365027021212 0.00632667561644577 0.011584579806291214 -0.0025799007985348385 
8 8 8 | -0.3872837146534449 0.09040069393589657 0.05313542458102408 0.03161124556996081 -0.07020129099039572 -0.10576650881691706 -0.07070256837815428 -0.013491980572890052 -0.04502611582316626 
9 9 9 | -0.37847013814934627 -0.08852825841258118 -0.04252541563735178 -0.03340490911504342 -0.06328165587102846 -0.08010188899338036 -0.049931290106857686 -0.015977174126917626 -0.025271074857412056 
10 10 10 | 0.12939351015939993 0.008434781220180158 0.01288602275595921 -0.048555315319136205 0.009114307198032847 0.005796583593092936 -0.005540552182373761 0.01030241355073094 -0.0016186811623519818 
11 11 11 | 0.1241965302141892 0.013922708735304075 -0.0448439863993134 0.017975893798010144 0.010821487013581415 0.0010321320994444254 0.006127209392234292 -0.009794822343681574 0.0030759501896780997 
12 12 12 | 0.13017127690802988 -0.03221628086796839 0.02713638313211282 0.03009690103601284 -0.0018978622336634037 0.008086036196448135 0.009229670469546604 0.0012528195526673891 0.0029404869440266615 
13 13 13 | 0.12678470138126252 -0.011474861463793735 -0.008782901152451667 0.04887480724019183 0.010609881692315136 0.008172439576458636 -0.004942662471097097 0.011853198372919512 -0.0023573117710353544 
14 14 14 | 0.12802243799724977 -0.009487717266568642 0.045470873490177664 -0.020406630475855055 0.012192585623352912 0.0011622108141052104 0.00829676503763924 -0.008609625580929512 0.005350990410160079 
15 15 15 | 0.12468372837561947 0.028318860636786625 -0.03504480965773367 -0.025277105539128264 -0.00929226890001207 0.012859604480518318 0.010264947924985897 0.0019433722413884672 0.004165098765751245 
