number of atoms: 27
number of fields: 9
Multipoles
---
0 0 0 | -0.03466136282443255 0.00988405964684399 -0.03484332692416817 0.122274668642643 -0.06854917235670324 0.01279710078490075 -0.16617674391842532 -0.007951824561132696 -0.13822987697686961 
1 1 1 | -0.48761631015636997 -0.021778693399244157 -0.012516411415029707 -0.026455739402938515 0.027747237338752034 -0.004276708244456158 0.01233058514277494 0.0023084785438432205 0.009296317177003193 
2 2 2 | -0.6154250143948756 0.0730938097033588 0.0716424190406249 -0.09668016823641912 0.017742168172886593 0.004469336721689517 0.04734068390156572 0.035533051474108276 0.05961336054012577 
3 3 3 | 0.16578103488204465 -0.03045232445393641 0.05896244920751443 -0.024945699417226266 0.0016557371537834166 0.009000099630675098 -0.009175876826629242 -0.00246276330819925 -0.014859239864322015 
4 4 4 | 0.15154126580091043 0.03564459157925818 -0.028309199295662345 -0.052541232965429514 -0.0005184055516558457 0.011554206770870828 -0.01303065758470089 -0.0031028840887090464 -0.013168786219865876 
5 5 5 | 0.1569982296284813 0.034331191499047294 -0.03056002335470963 0.017605388313772792 0.00737209537052771 0.011342779489911537 0.0027845288276819196 0.003756136788924089 0.010434263185452451 
6 6 6 | 0.1656521949294697 -0.014924927502730004 0.0359092281011592 0.030748922147653512 0.013654381967605869 0.0052500212114438855 0.008243597370744342 0.0060415492834444764 -0.0026907591419087222 
7 7 7 | 0.4246433193172535 -0.004004511915804731 0.026132230744885077 0.02407412535512687 -0.0004893717324932461 0.004927183003505279 -0.00020231283183740927 0.0005805257158680865 -0.005372581388110609 
8 8 8 | 0.4198761166511026 -0.030190520618727106 -0.011261996914937992 -0.017945931640630113 -0.0027636830838904695 -0.0012974987823436506 0.00012533838222357791 -0.0027237063293528217 -0.0014423550614216798 
9 9 9 | 0.41688789320535646 0.026342772659751584 -0.023520555152864574 0.007277990158517677 -0.0004855604918181979 0.002093975078564141 -0.004725052277119526 -0.0011198364685249143 0.0004657108818977509 
10 10 10 | 0.2046929989250834 0.026271778445871415 0.02441688292114595 -0.03696966525368592 0.004489056796152277 0.0057258242123516614 0.008268546511960764 -0.0024612805733210054 0.004863304546171521 
11 11 11 | -0.46643110526306497 0.033532484635168926 -0.009009534542632161 0.04533498290570238 -0.009889465749184489 -0.020925133858441046 -0.04036650173217585 0.029029524274940446 0.042105242524821784 
12 12 12 | 0.36882237925864025 0.04594802758962262 0.022055741783622598 0.13463934146941825 -0.07770036683519159 -0.17402250574259848 0.07581124700965136 -0.02728059880154932 0.09165337381303064 
13 13 13 | -0.3439689534286847 -0.03682439925126846 0.06464123810824442 -0.02799524440895452 -0.015017567274643064 -0.07210380421824837 -0.14600073114207837 0.13934098734587796 0.15299814801739478 
14 14 14 | -0.33267494191686264 -0.06275290533235413 0.08000636362812535 0.024984779323349905 -0.09274316291756148 -0.09777713288292009 -0.08730689022220091 0.009654161885232349 0.09737405606166405 
15 15 15 | -0.12483731818457411 0.002266446167304861 0.02741513435824042 0.03668860876667433 -0.11646439005186444 -0.11276035206185245 -0.0805480066844812 0.05578063708766545 0.10434398014455347 
16 16 16 | -0.1513173111778734 -0.0011186176339853969 0.04743944654171928 0.043109879374769705 -0.019196428770632108 -0.061917930984924104 -0.06834194361853178 0.0867706177512692 0.1780641421596726 
17 17 17 | 0.08490339343388786 -0.04080017397266833 0.028055398122850763 -0.018893641792448082 -0.07864763039838563 -0.14565209152306152 -0.015457147235656023 0.06927808144780268 0.18836214656131162 
18 18 18 | -0.5980802449703919 -0.12082180821786134 -0.003615504060080714 0.006199107006057288 0.09932382042028429 0.07741826359034526 0.04400968734906226 -0.015999914911157296 -0.007008353438339873 
19 19 19 | 0.16573161476796971 0.03897447840097525 0.03180918455256563 -0.014370074284220173 -0.008237647856328027 0.0027381172525642213 -0.004067635366037093 -0.006200546308325358 -0.012218324349519966 
20 20 20 | 0.4579991707530524 0.018879488759423815 0.013473281780072056 0.0032818194093409444 0.00014214300929839372 0.0017280888346800692 0.01143205240973842 -0.008054993509176793 -0.007425398077306815 
21 21 21 | 0.17301581126587884 -0.020045873926513025 -0.0159027354997768 0.04592636607538724 0.015364155690898908 0.012389597898604068 0.00822647081938965 -0.008113330602281501 0.0016157352109177215 
22 22 22 | 0.1586932344792994 0.01210301502257807 0.03292639433452451 -0.0441043188038919 0.011805670687961336 0.008980213845423484 0.01175325189041351 -0.003401945747110023 0.0001417580107353205 
23 23 23 | 0.15725573850231434 -0.051699361066345005 -0.02008767114111488 0.006400557185840842 -0.00636687707757944 0.0011247465102861738 0.003688617381308156 -0.01320604947394742 -0.010724161505756771 
24 24 24 | 0.1638333569123709 0.0026157165510342644 0.049722480697474696 -0.0019256351576808469 0.006607927848287142 0.0015771174154477917 0.00728747422517044 -0.005517500659735762 0.010384723370786908 
25 25 25 | 0.1597665633594766 -0.042001975179189834 -0.007708390884831915 0.021895879387516727 -0.007228333749724564 -0.010104946476732362 0.01037486600134054 -0.006469666703496361 0.000954687428281288 
26 26 26 | 0.1569355666297323 0.013512549062597608 -0.025914498600558687 -0.039566393232498095 0.008995187522903124 -0.0032664728531836885 0.008424640221008464 -0.0004158946148547661 -0.0061876231341223935 
