number of atoms: 15
number of fields: 9
Multipoles
---
0 0 0 | -0.38110201333958393 -0.09239748917479806 0.030100719758770017 -0.007982959540963053 -0.060277825633460944 0.05851405017944416 0.034678463531136926 0.02102063992206599 0.06026725747618096 
1 1 1 | -0.3865760071172799 0.10187400387391124 -0.061409032159057984 -0.006285429251741483 -0.13758302387039317 0.10590551124447763 -0.018273465305331606 -0.02679998046831752 -0.020517986115184166 
2 2 2 | 0.15209610350519365 0.007058533281136415 -0.0047500495489138 -0.04937832515086156 0.008110612035524973 -0.010230731135862628 0.015151195878836003 0.009243383472478191 -0.0010654837585063017 
3 3 3 | 0.09612680640077897 0.021182551777691263 0.02812569138330595 0.028535606800256512 0.0036555996281906213 -0.022025749756287863 -0.01396609977639199 0.006266382195564198 -0.0014682319315682867 
4 4 4 | 0.1633432175689561 -0.012326694623274976 -0.05084128015011967 0.007073293712313191 0.009693359729980497 -0.0010949765647820158 -0.0043742958720753245 0.004857596912983561 0.009587576922329775 
5 5 5 | 0.10330901700573025 0.02518964015350028 0.03813991666657904 -0.018155520625524182 0.0175443957603429 0.0025181741234209165 -0.00446088899732755 -0.014941522896733958 0.007574596514521571 
6 6 6 | 0.13582788930461331 -0.016678819521053316 -0.036256430737788656 -0.03400897452752479 -0.0039339697276715236 -0.013194829435198617 -0.013172699034622344 0.0037787843589134917 -0.0025180694554945036 
7 7 7 | 0.10241192613651784 -0.0016419791912259379 -0.009351675712287089 0.04775434129533908 0.007103041718478286 -0.004855451772042588 0.01724831280038153 0.012304236449465818 -0.006892630745098453 
8 8 8 | -0.7980631171327097 0.012412410683329074 0.015439343126753944 -0.0080492938467809 -0.08309959592996295 -0.1280100594211418 0.0515431473160568 0.046592525263730984 0.19939693266713507 
9 9 9 | 1.0059012427488652 0.03435009176216831 0.032954759023620855 -0.030763107963654415 -0.08701677361666867 -0.04664826420534306 -0.004306828438970973 0.05258184979575792 0.1532070158394403 
10 10 10 | -0.845787457604203 0.0023094343200541034 0.04791282431916655 -0.027597369033401885 -0.11876804778728245 -0.06346688698466355 0.004525036992928247 0.07990015706178544 0.10347746298127843 
11 11 11 | -0.8440338926788016 0.04523007608384969 0.020563049620408058 -0.004350951448928726 -0.03663375870835114 -0.01860271876277526 0.007013088827031876 0.061644840142846664 0.15438139250489855 
12 12 12 | 0.16084804275531084 0.031495029335305354 -0.006771729429994792 0.017053749705680753 0.004259596527721701 0.007508049043565623 -0.01586605176029966 0.008958233686764287 0.021520692656747015 
13 13 13 | 0.16930427564174144 -0.0030770551938521964 -0.02101038879448051 -0.02934770828187123 0.0007790693047297945 -0.021377699348755542 -0.01019893613577279 -0.011524002231609997 -0.010333678188431861 
14 14 14 | 0.16512266493330918 -0.01758530595542296 0.02977940253701543 0.008691006296347897 -0.014500938394411028 0.01114284132327597 0.017660224525695916 0.004171422254939866 -0.0069223604968073615 
