number of atoms: 30
number of fields: 9
Multipoles
---
0 0 0 | -0.22915089017753854 -0.012685617716829294 -0.02088708917082911 0.06363142964970178 0.0346033865369171 0.06101077344401016 -0.010870175334383583 -0.0017069044952722043 -0.0055403872777841125 
1 1 1 | -0.4313820417991714 -0.03616917525643642 0.0558550267372268 -0.05107097978217008 0.034127653111872644 0.009072614966612207 -0.014143148286644825 0.03556772467481331 0.0821111600185439 
2 2 2 | 0.12537197459200122 0.005943302392604686 -0.019926606780474466 0.009925818971411404 -0.15954110645747913 -0.012115031622713155 -0.1055189042504957 -0.07844121416401066 -0.19418352622775162 
3 3 3 | -0.20169664721744418 -0.019029212117518603 0.0035572653802138977 0.0003543929975265203 -0.013445224146783175 -0.0021528646983362053 -0.0369570172951354 -0.08139112794985282 -0.20095167278631493 
4 4 4 | -0.2030142201130687 0.0014386533177586237 0.02093074921005755 0.0016241042082160175 -0.1348720738650131 0.10226122792929812 -0.034069850358374766 -0.0754505454417581 -0.12492384914262986 
5 5 5 | -0.12581980548128602 -0.017212447610434674 -0.025077624473326246 -0.01644453533975417 -0.13467116955695166 0.1237421878409162 -0.02033051100030443 -0.08370846149207097 -0.11303112737949249 
6 6 6 | -0.1266288902576358 0.03764830684828987 -0.005900560319781049 0.0057495980074235165 0.010023291172585345 0.032619081835263665 -0.03637006649586127 -0.10978512515866758 -0.1943928899836265 
7 7 7 | -0.17012836750275806 0.016810662711134853 -0.026213194551448125 -0.012227835261141178 -0.13194420800270598 -0.03857993843693946 -0.1161754325275399 -0.04074068433518551 -0.12220540177394405 
8 8 8 | 0.135189435991536 0.04366398186302442 0.018190290786116295 -0.015566723375274923 -0.011820315132407617 -0.013711979954096754 0.008653086677324671 0.0035904160011915234 0.003369632037168408 
9 9 9 | 0.123754564285251 -0.030155255783761294 -0.02526050121198371 -0.025271545342965076 -0.005618072400030324 -0.016808624865647125 -0.011529343515099691 0.0040876499738981015 -0.016602064609504176 
10 10 10 | 0.13859217036640537 0.029088377471817632 0.030956213684706038 0.020556930603560963 -0.004794745337317526 -0.007981206967295703 -0.005532961002131726 0.002269451964615072 -0.013553671263689279 
11 11 11 | 0.13853978965094982 0.04964550129158296 -0.0063732441065702606 0.010500741342720317 -0.009087588652787963 0.0018211141880901292 0.0028640286827223034 0.01193163587251311 0.018499566863137813 
