number of atoms: 15
number of fields: 9
Multipoles
---
0 0 0 | -0.3845217375662928 -0.11008966250895999 0.029061827531060708 0.04053476950048052 -0.052973863200932274 0.04602799238193264 0.10899069159884293 -0.02448098086304069 -0.012687327233251373 
1 1 1 | -0.3855762534892806 0.10235887993819633 -0.02858041491847381 -0.0652127075402635 -0.10794872625337076 0.053042995987739185 0.06746368082351296 0.06518347799463428 -0.02778356530466632 
2 2 2 | 0.08148976015206999 0.02299158213056601 0.006643067584258752 0.03920759726548452 -0.0077542084023189085 -0.00554492314150077 -0.025391026105662517 -0.001909049981803369 0.003274139122349438 
3 3 3 | 0.15245693986125242 -0.025369787167988832 -0.04255712511467105 -0.020398084952114613 0.014513947864131493 0.009649537566821036 -0.004449856684442704 -0.011530862255812848 -0.005201662204665205 
4 4 4 | 0.1354316218122763 -0.012920856515938417 0.029430451406531048 -0.03911822817471524 0.008690397946313214 -0.015601684621321743 0.0011248835447680067 -3.485760980700368e-05 0.010767569401376475 
5 5 5 | 0.17124210403158446 -0.02693994822752761 -0.007232480066967532 -0.04804042364876212 -0.0023383322960501655 -0.0037162713025334208 -0.009064775959946642 0.0027615875349683286 -0.0033093783205892626 
6 6 6 | 0.08805049052151492 0.016291380694539385 0.043256674432988904 0.008702573603017986 0.019488728943073703 0.0041606815902131555 -0.008787303581139768 -0.006828970173415801 -0.015542529967941452 
7 7 7 | 0.09892983399529343 0.006655153244555718 -0.043694947306930715 0.01983133123187338 0.013457116335019748 -0.01264110348960482 0.002283785588200496 0.010234761881662209 0.017781138135778845 
8 8 8 | -0.7566312418343903 0.01459820075791156 -0.027584220737782286 0.016108245040551864 0.16005342086031327 0.10279873156820907 -0.03451635939977915 -0.179914838567165 -0.050864033010722336 
9 9 9 | 0.949707897508306 0.009664767479249829 -0.05106183594564912 -0.007975825688997164 0.14099835071920297 0.07949345916939947 -0.09188630419754804 -0.0508768065931333 -0.02638533055464769 
10 10 10 | -0.7928445867791893 0.0374502945988348 -0.009405014277706472 0.061342595161605985 0.08727042809875685 0.059075132313565364 0.05695963356344742 -0.17500892229133463 0.0041252956422300445 
11 11 11 | -0.8409548072794344 -0.007111268282069498 -0.04114857353944191 -0.02535243613846815 0.08570503407179673 0.06413547088332833 -0.07282532756850627 -0.0429257844938876 0.048107348817590254 
12 12 12 | 0.15674109408253245 0.01170901575707674 0.00020039726002797837 -0.03640176750248754 0.015598057207018779 -0.0005793628107805769 0.0015629512058572656 0.004159065653382164 0.022504776556389623 
13 13 13 | 0.16288758995976005 0.027967781233428534 -5.516460413933081e-06 0.027026083913987524 0.0058308270764779666 -0.010788395731830191 -0.007474976664946072 -0.0029552433939773856 -0.01863329797284272 
14 14 14 | 0.16195908656771396 -0.03546439999749655 -0.008675595212369994 0.006088723983725173 -0.01742525432560358 0.01840440398903687 0.007740849388372186 -0.0013018682436161011 -0.0031886076745690976 
