number of atoms: 20
number of fields: 9
Multipoles
---
0 0 0 | -0.3815877500698628 -0.029041904148448115 -0.0493412400969433 0.09146590906543975 0.05214458109963591 -0.02293572526405813 0.056214824202049755 0.04281889421528875 0.10248505139763994 
1 1 1 | -0.37709294263992277 0.030063432319295265 0.05715455638457771 -0.0816649027897713 0.04391971618451878 -0.006145804962206831 0.0501065514742846 0.05197060109337643 0.08708964753672575 
2 2 2 | 0.13327770653326332 0.031373043580719136 0.03351790260404163 0.025687886515255266 -0.001504696190850281 -0.003340644166256099 0.0017009301649787416 -0.009546819157198983 -0.005714299516851123 
3 3 3 | 0.11968623358431119 0.019777401351927255 -0.041441490501793896 -0.020137413412952093 -0.004110366117113556 0.004708306316809894 0.006325171893845257 0.00478583252714288 -0.01657252784883409 
4 4 4 | 0.1202944434283364 -0.046225050501423115 0.009599957880616947 -0.014933124292969155 -0.003044794257577381 0.010207942321930657 -0.01482843861295206 -0.004122350770829783 -0.001741120045089485 
5 5 5 | 0.1220642287746071 -0.032017682018469516 -0.02938766999457838 -0.025591212076247358 -0.0076472438406426525 -0.009817352139335772 -0.00040235822142421123 -0.013881549172311311 -0.005374244630665435 
6 6 6 | 0.12957113081302662 -0.016598493701026663 0.04229460232402819 0.024232087399944147 -0.004451856553337068 0.006887035046235891 0.006120774391256639 0.005924749543798299 -0.013497618570193626 
7 7 7 | 0.13074430018846916 0.0473247528535662 -0.0174552516426813 0.007916547344966246 -0.002658341451943384 0.010427889786164806 -0.013294255488314123 -0.0038046107747980113 -0.0011923615116168913 
8 8 8 | -0.502443999550418 -0.036181518162175665 0.03122196596662465 0.03211804913307943 -0.08095309816602791 0.04952803876967018 0.022394528933508663 -0.03691064333656637 0.011575552696875362 
9 9 9 | -0.22278607502862524 -0.12028825480061976 0.06714858940218392 0.05710551295705722 0.020521655225526576 0.09401045317192563 -0.10128297701121734 0.03417785584778482 0.07514587737863627 
10 10 10 | 0.3093288327560071 0.0554857322526524 -0.041668044057503344 0.09604378359374802 -0.05842377852135598 0.15873924906707904 -0.007781626835065645 0.07645959734012268 0.03604217738958157 
11 11 11 | 0.21048415601647186 0.04999130413298006 -0.030906212505100877 -0.07460984734350522 -0.04036326314691716 0.10794370556678945 0.05306776019317862 0.03636395250786776 -0.016191967790240524 
12 12 12 | -0.36699709843896766 0.06761437769072978 -0.04521941291168057 -0.04659704378195477 -0.026939092194643154 0.05575868765002167 0.004690349065731656 0.04008733985991211 0.009808494486893596 
13 13 13 | -0.5437254200960906 -0.025545200490367733 0.034073023176325164 -0.1053500239663288 0.06449219189516585 0.21566864839451638 -0.18248227833319933 0.19908066854537887 0.17295575797622773 
14 14 14 | 0.16033182822439718 0.010093288743571151 0.0057325299229852135 -0.05985794551506065 0.008790095259178851 -0.02255754035173221 -0.012719070835434923 -0.010151432527079505 0.002747111672519164 
15 15 15 | 0.3546868293705817 -0.027131913827394168 0.02605767778266105 -0.004890476157942712 -0.007816780316021822 -0.010928578798522196 -0.00824334979684273 -0.01826904249302113 0.00040129436294397073 
16 16 16 | 0.1496727706308344 -0.01339511639738336 -0.011438211532263418 -0.04323714179626082 0.00972057680306221 -0.006446331272338841 -0.0007166189539471031 0.011098301993612652 -0.002910858972236068 
17 17 17 | 0.16830920064956167 -0.002158023432849587 -0.035528655273242137 0.032518448396935386 0.006292927602404848 0.004545048167694777 -0.009225270099871332 -0.005492455075405131 0.009164128082988682 
18 18 18 | 0.12225879576838838 -0.023107943526613793 0.008139594351263307 0.07418530579342242 0.001684957208082089 -0.027722430203952583 0.009245547866634573 -0.019072718363882808 -0.010663790866977647 
19 19 19 | 0.16159833094050302 0.031778841979207884 0.03390260847141627 0.009772299735040242 -0.008547266082026139 -0.012204705322159441 -0.003417804916943609 -0.0008026366207940114 0.0058707417547460335 
