number of atoms: 27
number of fields: 9
Multipoles
---
0 0 0 | -0.3746252335204545 -0.07349250748785162 0.0290777724261859 0.06293084140091933 -0.048018037089599626 0.03723259060661362 0.10272938971334769 0.020677906221205546 -0.03661699190751894 
1 1 1 | -0.38294258304016093 0.080527159428442 -0.023482354600905784 -0.05563818731603695 -0.03452720238644958 0.04088283676488861 0.09407658772449602 0.029111947189386003 -0.03494820805905527 
2 2 2 | 0.12652880501109043 0.03681064334734961 0.015480190890661563 0.03177980064006731 -0.007335409359438213 -0.005815345193175106 -0.011447549395061318 -0.004696155623585638 0.004375369422119419 
3 3 3 | 0.13081096162334638 -0.013515795291992257 -0.04865254535663417 -0.0004482804751761572 0.010340687935598981 0.0023055508097063297 -0.00811225096322138 -0.010738903450198735 -0.0039647789586181445 
4 4 4 | 0.11763615229515123 -0.018499980024278072 0.025057837487078155 -0.03926764291057397 0.012108237546882951 -0.008520436055269994 -0.004891250025280091 0.006871809054070683 0.009009616279839013 
5 5 5 | 0.1277499439397103 -0.03246183530047772 -0.012837451367988608 -0.03721922910195496 -0.012271673788834455 -0.0039206990545383996 -0.012566900256678698 -0.003144203508543363 0.005187246734009493 
6 6 6 | 0.12676614081383164 0.013586911800145126 0.04831149338390389 0.005044844655834411 0.010587361688730874 0.0010722644178108771 -0.009063658444742724 -0.009870421911110119 -0.006074297097189404 
7 7 7 | 0.12884893342361092 0.010210309838428919 -0.03650358621333782 0.03429726428906047 0.00990491667701222 -0.008690284177211767 -0.0029362156112905887 0.007204123358793845 0.010053115402146323 
8 8 8 | -0.4215578812304459 0.06860172593697296 0.036182986031321425 0.045753345652588984 0.017447988373064882 -0.045142741461305876 -0.07823616676683537 0.03535647541863616 -0.0602274037344397 
9 9 9 | -0.0911999303693074 0.08265613994186742 0.03957225772731266 0.07728815161198895 0.020835890525076936 0.0920771755051661 0.029593306653759383 -0.02156113614351286 -0.13218275759213316 
10 10 10 | -0.02069480926031808 -0.026475181554626463 -0.05810988354443257 -0.07423821434478098 -0.07841743425568296 0.04523123994974437 -0.06650708500188683 0.005527036120946147 -0.15431791888930768 
11 11 11 | 0.26113493055553416 -0.04645672250602647 0.04858693805698533 0.03595757345692069 -0.11229707128785245 -0.01288357449446055 -0.12991276043252742 0.03085231112261816 -0.10802244836037694 
12 12 12 | -0.04301118064124587 -0.006546165320264353 -0.022591505148755298 -0.02917217853617621 -0.07629771925801843 0.11384671738564588 0.008266367158627646 -0.01798931082004532 -0.18839840999496626 
13 13 13 | -0.2858087280134489 0.010554575192725481 -0.01186048591081947 -0.007085397880528018 -0.12226462131004337 0.10386863801181576 -0.015402970296017839 -0.008832931635844928 -0.11478639662634621 
14 14 14 | -0.1559817790888003 -0.007804892783874678 0.021508124329757728 0.015937988218988463 -0.09039711613769232 0.09519378485535454 0.008146538068770698 -0.017149868786211695 -0.13525672508100023 
15 15 15 | -0.1208252153811662 -0.03895228860059328 0.0015090998148525822 -0.01127552947483726 0.009266810538670874 0.04984900218882649 -0.016068323124621395 0.004925637175777027 -0.19279005713381858 
16 16 16 | -0.1941182082117452 -0.012345169323410227 0.028259452290397655 0.02501123755744914 -0.10609287392379751 -0.016570170880123313 -0.132020466837569 0.03249472341250617 -0.11868539374608149 
17 17 17 | -0.4304146899070789 -0.023390815152698228 -0.0406652184394683 -0.05201888520137966 0.04365092158388214 -0.003104506458541641 0.004695242323385343 0.009743903141077492 -0.056168316614548915 
18 18 18 | 0.14859309534899912 -0.05828740170085242 0.020975887965594523 0.006244309865320195 0.0056271436949368115 0.005190102951462605 0.012091544043466598 -0.004383037310555254 0.01876448285624756 
19 19 19 | 0.3572468294622696 0.00433723149285471 0.025766805075364357 0.026651699998206435 0.0208756322979222 -0.011504539113786297 0.005974404136875204 0.0010485898369221596 0.012153050719048132 
20 20 20 | 0.14128582413132895 -0.0365465434585935 0.014294180075082999 0.028522338208791496 -0.01218883753967392 0.010351034753274231 0.008209064804718388 -0.002478704711230922 0.0034549559190068537 
21 21 21 | 0.1423592123819828 0.014367782442818071 -0.04648143818609086 0.010792707134262832 0.010875748753736017 0.001106408316015592 0.0077860846664355565 -0.012749226688965365 -0.007023435825945487 
22 22 22 | 0.15238416130641774 0.024771894260213034 0.02506691662198836 0.03517924391734124 0.01632230620931451 -0.012261537429751071 -0.0011008856954920058 0.002016842170123597 0.0027834412387239054 
23 23 23 | 0.13996568452535485 -0.02273613288113168 -0.02871745006494216 -0.03937927494800122 0.013664115330029345 -0.01798547227863572 -0.003538161483226167 0.002270224075171201 0.0067761722150498985 
24 24 24 | 0.13401220036216588 0.05415779193344757 -0.004639638931752273 0.01193303321069485 -0.006540014166821932 -0.003451034494393835 -0.00028221232972969407 -0.000598205132366987 0.02187353561609899 
25 25 25 | 0.14077848730070552 0.03053046899516018 -0.0354092379252554 -0.02651848672723333 0.009792066811747926 0.005482372896814521 0.015917872967365382 -0.004219762268562901 0.009621348278203476 
26 26 26 | 0.14298852453189892 0.010365562883256456 0.02297356614566871 -0.042673716910146695 0.010777015192557212 0.007952831354920979 0.0033591127641939837 0.009921892387727269 0.004406986592211821 
