number of atoms: 23
number of fields: 9
Multipoles
---
0 0 0 | -0.7118665285457073 -0.009203676203879551 0.00719996751954741 -0.013016775708330331 -0.10921679156520013 -0.029658847418956073 0.09291232004580868 0.000770521180573435 -0.03868049139548012 
1 1 1 | 0.9334001412765689 0.03903720833124922 0.024987919704807512 -0.03658139404795625 -0.08923826588830351 -0.07085700309174942 0.12924662220625135 -0.05953836323597506 -0.10604530891130105 
2 2 2 | -0.8067216090694966 0.0025623076605815792 -0.0379376939832677 -0.06788123442829358 -0.012458566614068214 -0.09499664127134408 0.07832220455718508 -0.048150865170187934 -0.04797822360363197 
3 3 3 | -0.817271989379087 -0.01355271682223707 0.07068798674504448 -0.019848857082464363 0.04872801840375291 -0.005193586388420756 0.07864504433534078 -0.03267978954097955 -0.0762072829288557 
4 4 4 | 0.16126078142713396 0.005819639642061456 0.02707157126304295 0.028264690863667757 0.007803979425907721 0.005232728517721097 0.005356054983530763 0.006107896536107101 -0.01587919478758849 
5 5 5 | 0.163307418278537 0.004624213343862341 -0.03844487331919896 0.00686777910799958 0.007956454281010782 -0.007432701372388072 0.0011852787269292476 -0.01176519768042283 0.009208485800750073 
6 6 6 | 0.18439267131251513 -0.022189904451992988 0.009637900397121247 -0.03171294652423373 -0.010241314339410933 0.004125277790507415 -0.013934908309304484 0.0014618363493350422 0.0010887843365705902 
7 7 7 | 0.03214818143336107 0.13168391803010593 -0.007070824508448796 0.038113744900845174 0.12020083772835113 0.050108986544545105 -0.05185651131805833 0.023392290492199225 0.05075218207267089 
8 8 8 | -0.49532879057774704 -0.005517732059836862 0.02666821479015872 -0.04058196796962135 -0.011542446196305912 0.010040978053245506 -0.027098997767486623 0.027507641716255162 0.06963735863054156 
9 9 9 | 0.9652099910131451 0.001695631683021587 0.006313629686906824 -0.012485413467925038 -0.02480667395731301 0.008097750243404487 -0.03615136169048276 0.039191237917060424 0.12641278471614864 
10 10 10 | -0.6301527536574856 -0.13393704509710191 -0.0433237801424788 0.032428345186988505 -0.035045936808718176 -0.015393160904118708 -0.00303385932436512 0.004600559791868298 -0.007411483894325688 
11 11 11 | -0.9023676757837658 -0.01702990274358663 -0.003278952558941061 -0.023644387192828343 -0.032819641351932355 -0.008295288708750565 -0.01391436165291114 -0.0032974175487118958 -0.004764933438567124 
12 12 12 | -0.9631229779458197 0.0067756003516622 0.009444137781059686 -0.013534482513429041 0.03809411120876534 -0.003613674279521638 0.029780590495389395 -0.017113736599743024 -0.02763362769357882 
13 13 13 | 0.1471960545065174 -0.02445352330824396 -0.03825620612357513 -0.04775485661968704 0.014019211609228465 0.005224107558593835 -0.014935602800346863 0.0036296014719071745 -0.008274938834492901 
14 14 14 | 0.13439295618878333 -0.03731208123337973 0.049786873780133196 0.01767714153739875 0.01684139726775406 0.01953961445572488 -0.008092846060592155 -0.004274495408662575 -0.00472508718526403 
15 15 15 | 0.13968633567605693 0.013985711017622544 0.03085963836070556 0.03256944144889471 -0.006125247429404111 -0.0004979125498739162 -0.011577912395948617 0.009844121439375205 -0.011761456080298653 
16 16 16 | 0.14226083921941923 0.02031428382186734 -0.03936894116328688 -0.015574888382162401 -0.009537628861365548 0.011785132979700234 -0.004752004887785925 -0.011533270102189087 -0.00434424130022982 
17 17 17 | 0.36823267372870605 0.015291549291024883 -0.01763524578531542 0.024446895662621624 0.00842309352343485 0.012440752086203185 -0.011838968439323 -0.0036316928070693182 -0.018404310133239305 
18 18 18 | 0.4833847284377879 -0.02334924435690315 -0.002865860102946407 0.003207144313034094 -0.009967758710518793 0.0017137681123773185 0.003335924550250621 -0.004046140499225405 -0.010030581270179896 
19 19 19 | 0.42229856487565 -0.0003793969913492803 0.013833357931038133 -0.024578123018150613 0.012263628401772867 -0.005768298649264085 0.008401671849306147 -0.0041294609893274105 -0.00653723834738824 
20 20 20 | 0.42107451033578513 0.01721950384083581 -0.010602934336349892 0.017353667022695984 0.011303610442867517 0.008210025368352728 -0.00745976713427368 -0.002650135228657424 -0.009650038175365706 
21 21 21 | 0.43744662094170506 0.008246228698236904 0.015112748887369609 -0.02020340130035246 0.015398889886148777 -0.0012115211725432303 0.005685018750185136 -0.0026202065446554 -0.006679688252526187 
22 22 22 | 0.1885528849932846 -0.04913079102320075 -0.006545604535543379 -0.002287103938677645 -0.008346774354406263 -0.004978779809362128 0.005302572315257698 -0.0018743810006300792 -0.005517230070050559 
