number of atoms: 16
number of fields: 9
Multipoles
---
0 0 0 | -0.3755302957117559 -0.05637153196900329 -0.01455577672553117 -0.08441740491053942 -0.0015361704873972386 -0.03309938811747557 -0.09920652434166541 0.07384722325182301 -0.03476018712998197 
1 1 1 | -0.3873610410718049 0.058417168786965505 0.016655540878134242 0.07961048044652978 0.0009394339215505936 -0.015607785582969052 -0.09634737519085101 0.0670355770364565 -0.023664207311535828 
2 2 2 | 0.12362902380318819 -0.025581135245318264 0.040128892616258315 0.015960494142265268 0.008155655282922064 0.0010473514928574304 0.011532844353206806 -0.0060889576573348965 -0.009449790481224714 
3 3 3 | 0.13178180357240998 -0.00918159771750953 -0.046940882652649146 0.02018290540749247 0.004628384450272229 0.0015258087503707037 0.00840042442238074 0.0007057737922826701 0.012376657306083321 
4 4 4 | 0.12328157380637084 0.04123073709809249 0.007297389592103506 -0.028435736088098334 -0.01377324597969275 -0.004178501371368724 0.005139114766616306 -0.008349656160718321 0.003016323176438397 
5 5 5 | 0.12816292623116554 0.024981377445227666 -0.0413790126318582 -0.012764001054579671 0.0076181503547570716 0.002165358599925358 0.011757383888652207 -0.007008224725156922 -0.01050170746853502 
6 6 6 | 0.12883653598778277 0.013194485756434738 0.04536800294090997 -0.019598673723872747 0.006212067869664551 0.006546513458653159 0.005804945813998579 -0.0006319390736200329 0.015209774112947255 
7 7 7 | 0.12791278854223465 -0.04113669202061043 -0.006149018943174898 0.029524218693154535 -0.015325084553792204 -0.002411112445797557 0.005975292157795806 -0.008363208194193152 0.002437964036982773 
8 8 8 | -0.38097953198115064 0.028852946587589898 -0.06659519727731775 -0.07214877377143421 0.03455407604192254 0.02591340445667276 0.05168873419852145 0.03945721297153398 -0.08701640944447254 
9 9 9 | -0.37971219722434757 -0.0327454899502129 0.05424380645077495 0.08074412004377005 0.04772581879075854 0.03854202801879136 0.04542831105220366 0.020516219755536344 -0.08675076600980133 
10 10 10 | 0.12461409258569256 0.041362556565621995 -0.00409918291100977 0.02792162335213914 0.00048670318495284027 -0.006920533293100465 -0.014489481773436466 0.00515444315156797 0.005954070109796942 
11 11 11 | 0.1333259565088678 -0.003226448330925186 0.04285637529118878 -0.029033820362018257 -0.00027540600668091446 -0.003951301932569295 -0.0037366546958279316 -0.011621949017738378 0.00787539744623773 
12 12 12 | 0.12411757529619827 -0.041562892936534486 -0.027218185000685492 0.009901974845911514 -0.011702029277509973 -0.001281500632182174 0.007255572939067798 0.0024564781489908208 0.011749893788953678 
13 13 13 | 0.12855841796472856 0.04230201301849475 0.02776432591335627 -0.006234764653741941 -0.0114550092501804 -0.002434667192657394 0.007591426583047862 0.002459757067314287 0.011025586898932821 
14 14 14 | 0.12409730248661699 0.0007361785519030993 -0.04390062120511583 0.025417034286628438 0.00030539713627494196 0.0019839006555606984 -0.005522877117042987 -0.016178729673732635 0.0069436588486551445 
15 15 15 | 0.12367980196098172 -0.04061037578385494 0.008447753796787704 -0.02885156483746084 -0.00047992923789527935 -0.00783046951321713 -0.01472125791038571 0.007141967185599448 0.006290726850305463 
