number of atoms: 24
number of fields: 9
Multipoles
---
0 0 0 | -0.1698310647063872 0.025876791710102518 0.09679058601539547 0.11168582163463686 -0.10797346473412144 0.06438077339428036 0.04940238277557176 0.013020193750014581 0.08919846006629054 
1 1 1 | 0.9303879628624969 0.018740516756026 -0.012734938122170941 0.011173355808460995 0.023168109345085425 0.08325906868418008 -0.08676051582241827 -0.029166801665130696 -0.028930585532453493 
2 2 2 | -0.5824787571546217 -0.05449473076161954 -0.09654676036086908 -0.10906303560755651 0.0051667080643831706 -0.0003677771393998477 -0.030808454838464682 0.0164621777463582 -0.04283335481605141 
3 3 3 | -0.8904367203062264 0.006819102593377321 -0.01466147299363733 0.0013764545429147468 -0.019429818969059286 -0.03149158842895948 0.03484446191708717 0.017872809532796956 0.011144121956637056 
4 4 4 | -0.9130098242394116 0.018627371205916173 0.011869507305900888 0.024606631532511553 -0.022040787789140086 -0.01630258330250792 -0.009188224729848008 0.015504194559608907 0.04123489975884488 
5 5 5 | 0.396814146226547 -0.01728402271172479 0.030651837032334883 -0.008249844502574344 -0.0032767731194418923 -0.00036100743311846974 0.02027210945389561 -0.0048660511370068 0.005010643471217362 
6 6 6 | 0.4409336086803337 -0.0022796889357069054 -0.020896863175857358 -0.019315010000268255 -0.0015904607308212166 -0.013848595883315945 0.006635215535563253 0.005498738794144765 -0.0019759926356389063 
7 7 7 | 0.443539685953774 0.020751335551906235 -0.00678215983365116 0.019074919791924893 -0.005868363732607718 -0.00875328033111219 0.00407324131046685 0.008401775522172614 0.00887554649604347 
8 8 8 | 0.441450977731912 -0.014713126285776607 0.024956073417027394 0.002547710579866402 -0.004138441215137467 0.0004416658480273357 0.011652750402649322 -0.001891192332114185 0.010499116572759296 
9 9 9 | 0.45169356304208774 0.01968082351935996 -0.001556629689866484 0.020273699821725236 -0.0063733795495974814 -0.005556730139771747 0.004381938543193924 0.006371906829384298 0.011546172922308 
10 10 10 | 0.13062456346067397 0.0019390370290581459 -0.061037888194045015 0.012170778126960673 -0.018250233499727948 0.009943588914992323 0.007693975656307611 -0.0011509084473946985 0.020247841565245638 
11 11 11 | 0.14145074039849403 0.03249173206177191 0.02133943946711041 -0.05191964590548064 -0.007695360862711117 0.016072373747427343 0.003973807579961243 0.0033004836239444377 0.01303021555433386 
12 12 12 | 0.16690022829098605 -0.0629458911188113 0.0031686594281874103 -0.013660226151169845 -0.006508229623132912 0.001801961464518743 0.006802694668998346 -0.0002638853320388717 0.020170370070222952 
13 13 13 | -0.17423200069786038 -0.036297329276560514 0.05112088606953184 0.02262354443047713 0.06424270929815973 0.12709134417846465 -0.02293913069951132 -0.05389014989168843 -0.06691759333421195 
14 14 14 | -0.4287176217611277 -0.0021566980865803235 -0.031469555447824954 -0.05217955541488383 0.02470413289177827 0.036064760319456886 -0.010931329757368491 0.03778223777699997 -0.039129137461732556 
15 15 15 | -0.44115141448822826 0.032607568100952264 -0.035815790444291715 0.03293312025296375 -0.0026997257727834974 0.0904273449352532 -0.01869133749823647 0.0464051030166553 0.016521588629859155 
16 16 16 | 0.12524770656791506 -0.030311680670612632 -0.04263030989502581 0.016371718285902514 0.007281938292589643 -0.002967578421388769 0.005940205072600254 -0.019281274370553825 -0.00036962582023837424 
17 17 17 | 0.08360862492988719 0.04445665946174107 0.014747124103161296 -0.01901827647652139 -0.007764621372131762 0.0019320199812043117 0.010659029768199187 -0.010966774580892614 -0.0030422224624222574 
18 18 18 | 0.14768648234227977 0.011303789890650846 -0.040324800100610785 0.02896724343530223 -0.0018671397646741544 0.0008171497569279601 -0.007050630746002989 0.006736493270945938 0.011088214169606125 
19 19 19 | 0.12352926830822897 0.028356937949418234 0.03383695777616229 -0.009378827181858297 -0.005361676287761588 -0.009764756554936705 -0.002855606939981667 -0.014955062201519978 0.008221314437855618 
20 20 20 | 0.13300986967530914 -0.012252395568325724 -0.03601380201859327 -0.030277577186506907 0.006541177649269831 -0.0061627385951123674 -0.0037535968879367815 0.013078347894980996 -0.0070568585873739195 
21 21 21 | 0.12142661613152961 0.030293583736406834 0.032252088595653476 0.000658655699674453 0.011169098649019289 -0.01170436929271968 0.011351376902986023 -0.010096600895402933 0.007650713456280392 
22 22 22 | 0.15221182448036974 -0.04658694351485566 0.006481895299120123 -0.010674329044124596 -0.011997677086242846 0.012150503931496932 0.0035539811042457656 -0.00016506090516120393 0.0034366415698254974 
23 23 23 | 0.16715156985369273 -0.02326740171707089 -0.008417646959025733 0.04470739044290512 -0.007912726351942703 0.005883262768844059 0.008645922287744112 0.005095339174779351 -0.012072949885280458 
