number of atoms: 33
number of fields: 9
Multipoles
---
0 0 0 | -0.4829749645842778 -0.018952235155610522 0.04478050948166067 -0.040207306110248475 0.06911654200503582 0.04071381657269607 0.016756477885375768 0.0004902269843897908 0.07423832310558863 
1 1 1 | -0.20823123514239228 -0.01120186083667709 0.013946756216538663 -0.007503078962423694 0.07195114746152345 0.09200596606062807 0.10268500071173804 0.10541800899306582 0.13422570591904268 
2 2 2 | 0.1430758895382338 0.007063794191023394 -0.022362498502544056 0.02515052307511293 0.021276272641724294 0.19197186572875777 0.1684776330103011 0.05501688835168466 0.04311351872978575 
3 3 3 | -0.12529126396479562 -0.018252707985220284 -0.004535087233532916 0.03127367074247338 0.03967025119967384 0.19706371736819162 0.031446713815526744 -0.030645280732544255 0.10856809807313647 
4 4 4 | -0.15958686838293978 0.007941378632940536 -0.02453857202652219 0.02527606762423397 -0.0012680333274116512 0.15267123593245577 0.16398305656199808 0.051438486193923286 0.002527919659134126 
5 5 5 | -0.19992060954857127 -0.001037967837468056 -0.002806660147263696 -0.020288845994259553 0.018402161435682306 0.20411423301688783 0.043087052362988196 -0.02405333495769425 0.08269810841618178 
6 6 6 | -0.1269041340577859 0.022245372748313324 -0.02092189605438243 -0.006365919241943329 0.0896539207799778 0.09132452138893284 0.09359402415173453 0.09113852745842305 0.14200013052095378 
7 7 7 | 0.14577883962117766 0.03749820170534696 -0.03455831636873275 -0.014570274272573687 -0.009283584429981208 -0.004974035218846299 -0.010429816364255053 -0.009793348088450655 -0.007682059564558299 
8 8 8 | 0.1350476359436351 0.026173324324344164 0.00018233053914572698 -0.04950124632160739 -0.0021981239114286 -0.0156264405439913 0.0027373178212138265 0.007078045602040226 -0.009375727446468734 
9 9 9 | 0.15326577029211075 0.0018918489515686808 0.02928299624803939 0.03740149785611235 0.0027719102352265755 -0.0021514767447670976 0.005453742503076376 0.012902345319247112 -0.007933742318050415 
10 10 10 | 0.14835722582737043 0.04435327270926683 -0.004520245697904385 -0.01520174951948112 -0.009676639012296713 0.009660283287122267 0.0037959682350756185 -0.0030918265195509515 -0.006530347435715353 
11 11 11 | 0.13867715915095247 -0.013218069119244169 0.038497011741819284 -0.03753059946963791 0.002117578222092557 -0.011391147786618256 -0.014544112548844981 -0.004475898783626897 0.0050750395694710865 
12 12 12 | 0.14297840441498766 -0.02643125137412606 -0.0006281948027672081 0.044981088924975175 -0.00116383936056551 -0.01715044541606353 0.0027294418012348905 0.01099002050131821 -0.007682848453328124 
13 13 13 | 0.13848136373284248 -0.03906485645489448 0.03824911198900102 0.011188694044786254 -0.008667231943493134 -0.0011536382783723532 -0.006034468916282921 -0.009153246589115179 -0.012667996885858917 
14 14 14 | 0.15419214962429695 -0.035210721621051454 -0.03202750619738001 -0.006765513233510981 0.002973013699534341 -0.01011392567757451 0.008168378678458396 -0.007938741247525687 -0.004150084391210984 
15 15 15 | -0.2334468271798098 0.04372530474054977 -0.06481081552728883 0.010603946499435553 -0.04354506507643634 -0.028129618160836287 -0.05078436550505328 -0.06645929562407092 0.0037082503163623592 
16 16 16 | -0.4379897861598394 -0.0789047520883769 0.006020610540770895 -0.018868648136799455 -0.04225212723024951 0.06634649494427913 -0.020705594910789046 0.007809839854951838 0.0061320596869241595 
17 17 17 | 0.10779294016230967 0.024391701061359402 0.0015609733130854183 0.005778064764532779 0.11738936194200605 -0.18422006428126736 0.11148850913394051 0.13683225601260288 -0.059427392553698756 
18 18 18 | -0.19334410260719448 -0.008455381600800166 -0.010951368419550916 -0.016704459898217797 0.015025315473926661 -0.20378800110449594 0.09840466797985536 0.029420833074593675 0.020559666798805592 
19 19 19 | -0.19863823360740263 -0.010554035410031457 -0.011872516911892275 0.011378540521580122 0.06890396081199493 -0.17068387418271475 -0.011753933045451026 0.05362136610369682 -0.12017062928787207 
20 20 20 | -0.12639084858558647 0.02040561342239465 0.00802562884124861 -0.020914289492299776 0.05611739427085423 -0.1797467282526942 -0.03342650167805536 0.04602654137244324 -0.11888951876009224 
21 21 21 | -0.1286016419210343 0.004150398964793637 0.007489881282110714 0.035292408961158074 -0.007145543830634832 -0.20728644084968895 0.08119611936367298 0.015673493668596297 0.007998963574013848 
22 22 22 | -0.16810368568775225 0.029172151604052666 0.023559987326186724 0.00016371906239416717 0.07910468677626846 -0.09937682533844346 0.08668218837944298 0.14877521803188193 -0.03632022752754945 
23 23 23 | 0.13032832232429348 -0.019651375213874278 0.02175800700849677 0.043021167083452175 0.011322467395286674 0.0008450037759392031 0.005697702628204756 0.0024969982621491863 -0.004379246477706103 
24 24 24 | 0.12248646758172166 0.006818213030080265 0.018993923114561904 -0.04469188997554656 0.018992718775108632 -0.0009224142060564656 0.007046742942486692 0.00706887057235786 0.01333144636836134 
25 25 25 | 0.1487859793040439 0.00027093253461586334 -0.030176246055126987 -0.03803477667514088 0.0076054475948309375 0.004079657540285579 0.012937768077256445 -0.0005696459983841971 -0.009343479848759656 
26 26 26 | 0.13685000374819278 0.0034064100667272595 0.018252594320858267 0.048411323102473265 0.004926461338799113 0.01615839864561966 -0.010533911888269484 0.0019965139859653203 -0.006899385654116843 
27 27 27 | 0.14219407083634128 0.028213226749986504 0.016395853098708214 -0.04012861964303181 -0.004489814182242834 0.010166324176292986 0.009414575477587145 -0.004643161827232199 0.01493902947475654 
28 28 28 | 0.13846815828097558 -0.028466751216536183 -0.0183522693862524 0.042671876849152815 -0.0046687852576736 0.011634229672871045 0.007394378601903117 -0.001642933555666048 0.011474735618391008 
29 29 29 | 0.13805550937863376 -0.007996209595491313 -0.01721466092064819 -0.05281094437511168 0.004290921918741909 0.01635314130530121 -0.007939894427275145 0.0017210982403134188 -0.0049872493931938395 
30 30 30 | 0.1430847601355968 -0.048028748427250675 -0.027663675210837627 -0.00538575010313183 -0.004665107744470741 0.003867988509431319 -0.008383899946724428 -0.016934040684355233 0.00026267400019576524 
31 31 31 | 0.14197480273250074 -0.010387000021757886 -0.023567354312507446 0.040476278831125534 0.015379566719262189 -0.0024191879770420277 -0.00030183605397484227 0.005702234190541348 0.007469041651432997 
32 32 32 | 0.13677744868663555 0.014266359830297195 0.04720463317779711 -0.0007033203349562858 -0.00044146685970510464 -0.016842116325834815 0.0005985833120261641 -0.002894331240324111 -0.005019321055223893 
