number of atoms: 24
number of fields: 9
Multipoles
---
0 0 0 | 0.022767658285856918 -0.015477046969112188 -0.05963396050869252 0.11691660352950518 -0.03827751592486457 0.03711218028580031 0.061556895884397216 0.009020069287792478 -0.14348974459899988 
1 1 1 | -0.507661665328099 0.00822286146274399 -0.019003286429098182 0.0021729605270024185 -0.02895352615076685 -0.02820890315720496 -0.01796814428957557 0.017323460889285453 -0.01586914983949573 
2 2 2 | 0.9486049772314162 -0.023183264634769746 -0.008760072697247006 -0.0011708031130723438 -0.061793683759143396 -0.055353647037581576 -0.07841718364198293 -0.0321742448319885 0.07437178663344846 
3 3 3 | -0.6099976137445315 -0.02132089417001418 0.13073376760800023 -0.058936416790322486 0.015736038421074575 -0.05164888250835616 -0.004275088011597335 0.0032912341237049713 0.06556596267236349 
4 4 4 | -0.8976097874345541 -0.01691666520204192 0.001285393706124277 -0.002281712183787314 0.020459917653713168 0.006536365168170151 0.0367030204160572 0.0221263990320792 -0.013497187366709937 
5 5 5 | -0.9137660040043993 -0.004738304896976102 -0.025749841258685353 0.017250212058649295 -0.001750957603296014 -0.026618994535184196 0.032469937700834395 -0.004413688466531268 -0.022985570133318436 
6 6 6 | 0.10583469339359475 -0.03378968108228265 -0.00214705975232189 -0.05335555956215357 -0.018129208564072567 -0.015838302007205488 -0.00022705517624681463 0.010839362552013256 -0.016209235404009703 
7 7 7 | 0.14481623402623178 0.05740838240815729 0.02943015534964917 -0.015501171120916297 -0.008347473457835087 -0.005741799583568658 0.0017279805157296355 0.010295290733489908 -0.013044625930842055 
8 8 8 | 0.17950856883314859 0.03045317057421907 0.015125500209130944 0.03526665110159388 -0.001599311068436891 -0.004361743824924465 -0.005533197725117179 0.00878595405885572 0.006283620665258002 
9 9 9 | 0.15563177035985887 -0.040836126802734414 -0.010661933695393411 0.020183148612285977 -0.009237506583288079 -0.009072766120764134 0.0005444925201211189 0.007297981807285119 0.0063628339648573624 
10 10 10 | 0.39423021223856325 0.03255896921344068 0.00202804864868738 0.012177743576532965 7.330949085487419e-05 0.008944034081758161 -0.0005946515316880681 0.010423580258933224 -0.01366606035819774 
11 11 11 | 0.44525819149376633 -0.00890941481722576 0.022162184671239347 -0.015997855996675674 0.00947311249676907 0.0062930341810760095 0.011375058652839913 0.004421155374468203 -0.0014511388755980637 
12 12 12 | 0.4434839537548806 -0.02050078289728805 -0.02026631163678126 0.0019448405974974222 0.00512908378056631 -0.0022077479662710705 0.01262069804130197 0.0003372148835573806 -0.009271852924072566 
13 13 13 | 0.44234599735805413 0.02429603576618993 -0.002821248122417838 0.01503354644154575 -0.0036067718983698186 0.003861449759659098 0.0035045864668357156 0.0073174349425617485 -0.012459844201755615 
14 14 14 | 0.4466638370723873 -0.01682019639852377 -0.02242661608046498 0.004531166219762534 0.0015912502102440982 -0.0032723026830752144 0.011266147904425507 0.0018142925163212981 -0.011664396802658974 
15 15 15 | 0.18568218182926854 -0.0032370681977430976 0.03419534251095122 -0.035782826982631105 -0.0021798558548457216 -0.005300361406475578 -0.00592820389273356 -0.0014100760738466743 0.010411540231900157 
16 16 16 | -0.3807302189035937 0.09284049302067886 -0.021672361920642993 -0.030949277143661365 -0.08437901128717312 0.08927296261833725 0.0761992496863328 0.018918578647498824 -0.07665165205007794 
17 17 17 | -0.38691961544822906 -0.07343383759066811 0.035051341992630616 0.027599297853205397 -0.06491608069229528 0.01573130548238488 0.04653066447834589 -0.004947356095662508 0.007543690472697124 
18 18 18 | 0.12821596510817546 -0.012046546538596367 0.022450298808773923 -0.045530436393605406 0.00436157670032045 0.0052868785392811545 -0.013130655595705714 -0.0004921283934114791 0.0020303703776547045 
19 19 19 | 0.09436853858196115 -0.0082271925171958 -0.04349472560530826 0.016945309119926703 0.009064074361688315 -0.011998111591765013 0.007912614232173881 0.000761322229234584 0.007819542770313595 
20 20 20 | 0.14966081328233405 0.02286492538467949 0.033247481965347894 0.03414167215391635 0.010875221695136529 0.0014464685804774472 5.954961469245702e-05 0.001456790923835769 -0.0073037113260687545 
21 21 21 | 0.13908271390922777 0.018088239220482402 -0.010827557227767872 0.04638745048909405 0.0024802439307382088 0.001173864423277772 -0.014604486633464298 -0.00264010196465135 0.008342448835539125 
22 22 22 | 0.15285859209926533 0.012838035824903851 0.048341140907869874 -0.01610098674956876 0.0031991850944726556 -0.013109368600968962 0.0006272440108858162 0.0030367847247375975 0.007827935566698703 
23 23 23 | 0.11599039690448643 -0.013814574366753131 -0.03534340528832427 -0.02930566306959242 0.015870017228519755 -0.005825015558576088 -0.006418594610301097 -0.002759226773461962 -0.008494832600313492 
