number of atoms: 21
number of fields: 9
Multipoles
---
0 0 0 | -0.3883997241960966 -0.0562691971334682 0.05644495617547313 0.028120877783884942 0.01953144497011546 0.021783731526393856 0.04159282344664287 -0.09235616207373265 -0.011312519558327386 
1 1 1 | -0.3527904351501103 0.02898796151382335 -0.07741873380657956 -0.01456117555160021 -0.03365601161488707 0.10223804049597965 0.010187540904641851 -3.9934168088875624e-05 -0.06598064722869777 
2 2 2 | 0.16007368089246055 -0.03565303367338213 -0.03513016272976771 0.01618897333266058 0.005618566507996219 -0.010633087327110347 -0.0038778337003401494 -0.004455048942756969 0.0049753808526926974 
3 3 3 | 0.1247748351283895 -0.0010263435078140552 0.0022733384082308117 -0.05017680591280782 0.003344968536294919 -0.01125048989604867 0.006769837527878389 0.011782594458092717 0.0011735924880013602 
4 4 4 | 0.11299642358365058 0.03723886802178908 0.0003050454990063842 0.030848298461437468 -0.011319455839756245 -0.004967568833136252 -0.009304423435154549 0.0062109484619946465 0.008250689383437947 
5 5 5 | 0.0485319025141393 0.019887327105074154 0.028870397782452862 -0.019294606103837382 0.004884677587884187 -0.019729075880144855 0.003653920447272288 -0.004797788442776547 0.013103734922216972 
6 6 6 | 0.1506205506703029 0.005861761677292918 -0.0009071566919296449 0.05413108896158796 -0.0005533109871210713 -0.007650724339473762 0.0019059809709503575 0.009635820960906736 -0.004149193542047987 
7 7 7 | 0.16285593226866435 -0.04279057387779128 -0.00966537206054522 -0.03307261607643945 -0.009071676478019907 -0.0013629523786507975 -0.003449340954534238 0.005314728855051391 0.007981912293819199 
8 8 8 | -0.18378139390347137 -0.09585655779190407 -0.03244803951941274 0.10480843877013135 -0.04244697593326268 0.0006084518851367476 -0.14549482663003302 -0.0484741825510568 -0.01589168418213707 
9 9 9 | 0.9375803799237517 0.018625394532146716 -0.004375675110443993 0.01085322774590211 -0.07484743057875598 0.046824280650721334 -0.020588180937183623 0.10781231100774018 0.04505003199989678 
10 10 10 | -0.8953756630463312 -0.03276099262483783 -0.04195588034804874 0.012892006885254223 0.03654896158492783 0.023520454146899232 -0.005023505404347855 0.008001832959915106 0.00660339952164451 
11 11 11 | -0.5929762212134362 0.08382534521924927 0.04656232168846489 -0.11224353368411433 0.002956607105167322 0.01479114157338859 0.017224013886418095 0.043496117457486674 0.026761241500995073 
12 12 12 | -0.8889178295590474 0.017687787304315094 0.018787589665487214 0.008403496481106772 0.029804616273285487 0.0025497815937990387 0.016409383598157166 -0.008966625586143362 -0.03311831442878319 
13 13 13 | 0.4374218649465774 -0.023764852451959993 0.010341127456508697 -0.0009203407506726602 -0.007741013169048096 0.0012091635626265554 -0.004969835577608488 -0.007749539900221019 -0.007888730681412012 
14 14 14 | 0.4372257046931961 0.006286615664953279 -0.012912717031891187 0.024814044463549623 0.010847623557051773 -0.005262434861519425 -0.009044592994518687 -0.007129766642817015 -0.0030769925997414824 
15 15 15 | 0.4030995211769318 -0.03302728946297559 0.0002567605746534859 -0.014482962058681874 -0.001533114890044315 0.003052784119330315 0.0007630165668345465 -0.016138260297837728 -0.011906719893338288 
16 16 16 | 0.4400572743390666 0.020820143435498244 0.004826351482363395 -0.019393386679911452 0.011430886535361097 -0.005058181330821195 0.008105202245198537 -0.005204783071443685 -0.006753003791188641 
17 17 17 | 0.44270350726550234 0.012143824265096158 -0.00906818682203142 0.025037144534638976 0.0138745654574993 -0.002978181481015331 -0.004024495435931531 -0.005782240075568442 -0.003199510217827857 
18 18 18 | 0.16944011371494605 -0.034191768461645136 0.0014852407926897234 -0.0523742823634502 0.0039981688884342574 0.0055897783541588265 -0.015025840874639436 -0.011219944329694418 -0.005715873167568303 
19 19 19 | 0.12733209382517374 0.036699125437452726 -0.04746689361453393 -0.017566088712023885 -0.005147123437664475 0.006924569958994512 -0.026375212032358854 -0.004571518164354955 -0.008670813206689144 
20 20 20 | 0.1457148263235345 0.019057320586164973 0.06123899103427416 0.008902386540449832 -0.006075544271353572 0.002355666755933083 -0.022125927912460725 -0.008968702615967269 0.0028487476605443506 
