number of atoms: 26
number of fields: 9
Multipoles
---
0 0 0 | -0.13227273931255112 -0.049791410853618344 0.05251528298688513 0.030595899248883562 -0.023071550270894404 -0.013504082945719432 0.0669829597595063 -0.05135416191281267 -0.03565691089778203 
1 1 1 | -0.44101532674941524 0.06802093879410451 0.022085131772722248 -0.03603750116156533 -0.08427193118794041 0.007344331198228679 0.06960552962917363 0.004074604588645673 0.0087683350985897 
2 2 2 | -0.4403497061817614 -0.024892519388525682 -0.07214213483144596 -0.007545827715919268 0.04774862300616424 -0.016844722917475057 -0.007181110683208088 -0.0919501240138838 -0.044094477715103206 
3 3 3 | 0.10627484763832806 0.029711062748131862 -0.026920872273816145 0.03343454245326122 -0.0018857088171005212 0.014546359731536175 -0.010968685188906821 0.005939283637727955 0.008703460727580178 
4 4 4 | 0.11528243552294726 -0.003858368450342088 -0.005321714643197011 -0.052907374582502144 0.008476819671293363 0.00874264359800081 -0.0025711116752501957 0.016922810549379875 -0.0018084999778896435 
5 5 5 | 0.13155064726953758 0.014327541445635196 0.01484909926268607 0.04236935287790958 0.015893910598394533 0.004810705182389585 0.0006870244192815742 0.009768378445316077 -0.007738238973967596 
6 6 6 | 0.1269590336892088 -0.03378491977747101 0.015120230595027134 -0.028424611998581147 -0.0027012438946610825 0.01832756728886092 -0.002885857154811602 -0.0006964267842906887 0.011455499302488263 
7 7 7 | 0.1383215437856622 -0.011781456015673654 -0.0015252855928116979 0.04441297208869273 0.002961161132986124 0.00618717137160234 0.002501760447305007 0.015881426406243754 -0.007879905699366245 
8 8 8 | 0.136338296033926 -0.003845751664842253 -0.047282271512329666 -0.01175906763401286 0.007787918841700541 -0.007750788705134435 -0.006224011780293613 -0.009744293235485898 0.0016342211993941914 
9 9 9 | 0.13156517176225735 -0.022629049291664868 0.031020796036888523 -0.026896189587817997 0.00011601300481728148 0.015532633247572569 -0.012538499251004979 -0.005188748825972354 0.0011995776049449872 
10 10 10 | 0.13136426736704354 0.04343482101777416 0.000558529373823756 -0.020494111429085714 -0.014324747807099136 -0.005124167990103888 0.002680375133756731 0.005468814165933419 0.0061655112565100565 
11 11 11 | -0.4778482242454567 -0.008336510409661477 -0.005563837817947778 0.06405189629642721 0.04790560895220078 -0.04423490833821249 0.03533501235625676 0.08054377865665326 -0.029814642927231055 
12 12 12 | -0.15823515935547494 0.0014279702607629663 0.005381520943363818 -0.03288420393734705 0.011466417784752254 -0.23721004411440685 -0.022694453171547592 0.009826395272711766 -0.060084720339375605 
13 13 13 | -0.12883310339046528 -0.011815453823802459 -0.01717531743675316 -0.02827150583536445 0.03909158847288911 -0.16090606558908352 0.10971644643184822 0.1179187692550425 0.04368219493814278 
14 14 14 | -0.12867112675267656 0.022925899742715555 0.021965251581555458 -0.012172739882092927 0.09114543771694224 -0.12532863075290773 -0.003831064781608328 0.14857857354714288 -0.08027698926429536 
15 15 15 | -0.2068027587372434 -0.006344584487332885 -0.011329947673211844 0.016521323201527046 0.07599208020172071 -0.14155757024731855 -0.011464281493683498 0.13131317539858808 -0.07612802951840812 
16 16 16 | -0.20526733792277252 0.0061877669325836274 0.0038284888492407395 0.014999760638357604 0.023498039056566708 -0.18442967071565478 0.0926427013624205 0.06536648457129295 0.04205707701339516 
17 17 17 | 0.14987941972592544 0.009194907208280624 0.0028315215011901675 -0.03429630598757205 0.026250957404470587 -0.2490661393881346 0.011456494877287973 0.04772913732859541 -0.06740849344932107 
18 18 18 | 0.1381856490542579 -0.013334454633606727 -0.004186936878852427 0.053226663208386246 0.0022759440678245747 0.016156505621475 0.0023710992818849453 0.0039389336326828145 0.004624191348565226 
19 19 19 | 0.13544729941534428 0.027429771974710897 0.032041255127157664 0.036816151825115 -0.0027715423507594173 0.011273181597659063 -0.010757016291531023 -0.004236316843017183 -0.00849165462071069 
20 20 20 | 0.13727812070922207 -0.03512733013407197 -0.038958884563911424 0.018404276542190436 -0.010040973300078054 0.004445231451113282 0.0020651313527618566 -0.012890602157212041 0.008457723479620025 
21 21 21 | 0.14083972122766664 0.037954886400122595 0.03355173517565468 -0.01178720737720137 -0.00869018047202109 0.004315761406228512 0.006919873131968678 -0.01155375106251419 0.012923695173295254 
22 22 22 | 0.1451166179436144 -0.02189451539940398 -0.030935107975845047 -0.03534120002201219 -0.0011086550825902231 0.010863464195709315 -0.014997805684618639 -0.006704112872429354 -0.010193660074423232 
23 23 23 | 0.1463266245655087 0.02854643405116737 0.03546397368368337 0.003603247357862112 -0.006858792915765785 -0.014098592012966834 0.0005575488170466902 -0.011348385126450913 0.0027197863870985746 
24 24 24 | 0.1513059077780312 -0.0444491434144467 0.013798769020812967 -0.014413187262667236 1.0923173130000401e-05 0.00036221370917105 -0.01656321044606008 0.0021901464650084094 -0.00012213573281146344 
25 25 25 | 0.15517032259141295 0.02002342434996449 -0.0433201453031373 -0.0068749257086671576 -0.00125288892804483 0.004355854879393771 -0.00040569832829481914 -0.007046707613581549 -0.013531612115916922 
