number of atoms: 30
number of fields: 9
Multipoles
---
0 0 0 | -0.4199379271040895 -0.037573137367587175 0.04446157049126393 0.06610850556808426 0.026286647051686204 0.04488227335660112 0.05825580895145079 0.016098396808525983 -0.06578526134648172 
1 1 1 | -0.053815361477105306 0.0004722686625913985 -0.03465114219596303 -0.015061101153680062 -0.08549496618034015 -0.12992980134685705 0.028332653538804597 -0.05694943354121157 -0.15639945511443903 
2 2 2 | -0.025348490279372804 0.006586727540646387 -0.07026525826501917 -0.07064160086745988 -0.05704185303957847 -0.05009951368550049 0.07965473890108446 -0.00502471663549069 -0.16118840886193125 
3 3 3 | 0.2422064309732157 0.0581729366182455 0.039616173547628045 0.02930230542863029 -0.05513981410629937 0.017143789307265223 0.14290655380206768 0.04073812547249234 -0.1083393995169827 
4 4 4 | -0.08513855402637915 -0.06095557913133046 0.06414586051605745 0.07507550688899049 -0.03594503085252316 -0.11492233610770565 -0.07038449603978562 -0.04292913929849631 -0.11351563931181796 
5 5 5 | -0.1482030915451178 0.014716087809140155 0.020205635290489514 0.013697115353461348 -0.11205620402311053 -0.10500900819082173 0.04637652938679575 -0.03574300769834343 -0.11225933113687912 
6 6 6 | -0.28211412512925005 -0.009911781589071533 -0.012908366344681593 -0.0008644154118384506 -0.11936164323757635 -0.10074133844019655 0.06951189416714068 -0.003914159867853047 -0.09117628665291279 
7 7 7 | -0.18992782263379127 0.017338767927165773 0.027016342367819426 0.020011926320859522 -0.054578795554756546 0.017496265848754754 0.1431773383520015 0.02826807357380107 -0.14532809711723416 
8 8 8 | -0.12090679899185286 0.037824484807172244 -0.004085958581620782 -0.017288880670700814 0.004219565817039069 -0.09208610307824104 0.007548130789401654 -0.026695643881132554 -0.17538549120841626 
9 9 9 | -0.42947135839549144 0.006638893150207465 -0.049150431011157354 -0.04436756629872119 0.030792715926205676 -0.017923535193830758 -0.04184300634213144 0.006529154424261749 -0.05864648324979386 
10 10 10 | 0.13354766003273044 0.007642864821972763 -0.03635176143229885 -0.03812177642430763 0.014921013406049241 0.017879017435238023 -9.963843464642653e-05 0.0031133572543344287 0.002514672386303372 
11 11 11 | 0.13912768429727107 -0.0101840120487142 0.03243961836817332 -0.03594958762328938 0.00789987375899 -0.007918490217541667 0.002351698147734018 0.004888745074153063 0.009759715866848534 
12 12 12 | 0.14621043900917352 -0.0359488477662032 -0.033459575649789894 0.0033537632440496863 0.0047038139451444395 -0.012074333276435017 -0.010324259263933874 -0.010208712138066754 -0.003745405164841431 
13 13 13 | 0.14880832604842031 0.059005210580845284 0.017723653964589563 -0.013323368389093 0.0017308286875153804 -0.0029867387170701217 -0.017142549129845662 -0.0025367230507507225 0.022286457412550465 
14 14 14 | 0.35940845893926 0.004651336411781408 0.02836849798552315 0.02390450055518913 0.01820167869787577 0.009261056918572028 -0.013499477698720884 0.00018398131892125087 0.010048582028292128 
15 15 15 | 0.1548934758068481 -0.013939995818645662 0.031055479559947415 0.036898171883230024 0.01682347512954241 0.009902707536123873 -0.0063684070859800265 0.0006784677928591801 0.0007477873823362605 
16 16 16 | 0.14063498408335973 -0.03739345152505159 -0.033663240956224194 -0.01723456779924302 0.0031021354973848453 -0.006302121036585832 -0.01504324773825087 -0.004564179726778466 0.013411041700709465 
17 17 17 | 0.13425431384702002 -0.05131944275172457 -0.0006013039636825896 0.02116555780464565 -0.004204640474493487 0.009574295036419147 0.0034832269189047087 0.003683591747399006 0.019586549966629997 
18 18 18 | 0.1477932685928638 0.04333682067667841 -0.009748936653620833 0.022907309725162032 -0.012582780863493265 0.0009640373250300037 -0.0027692647596481855 -0.0031895107789136675 0.006314157873641379 
19 19 19 | -0.13960476356918683 0.03836134698081928 0.06083420796246221 -0.014051530254190784 -0.023055380650069773 -0.06397703218249036 0.014386906892152293 -0.07807220431551837 -0.04824596915635808 
20 20 20 | -0.44256858143112865 0.01758298310163367 -0.06658336899881916 -0.03756360948620309 0.0519865735891069 0.047269662142946096 0.005780873513185919 -0.08855298024471045 -0.05465166230145905 
21 21 21 | -0.46076861983770456 -0.08540774255230364 0.005871841389142796 0.007559199808291106 -0.08852719533313066 -0.050349417713003365 0.06339048680615327 0.016134953001612974 0.0020125936539911998 
22 22 22 | 0.10344674455722414 -0.025889589356158562 -0.008796841155047119 -0.042848939030251144 0.0046536707568507005 -0.01394082579080009 -0.017453695700456 0.00822728621420549 -0.001034872248065723 
23 23 23 | 0.14078554737813143 0.00353501693207902 -0.029856288747046923 0.04914415433133977 0.004131842929493172 -0.007278837635447158 -0.0007481996082130649 0.0029276929511102023 0.001436527063537744 
24 24 24 | 0.13673526480047615 -0.006732839238637397 0.01347141193135136 -0.044657601724700256 0.0021649965616647097 0.0008332548533193775 -0.004868233246097844 -0.0021285308815185353 0.019971811126083434 
25 25 25 | 0.12710577586806227 -0.03593485551871651 -0.01918894115704778 0.026346081090785393 -0.009185904965226055 0.006900420844438693 0.011724088824437357 0.010923587743780442 -0.0005622729296990598 
26 26 26 | 0.13978799117500085 0.00758895357112028 -0.0507488200404742 0.012137565150400436 0.0020478534424248998 0.008681189280812957 0.005339256808871801 0.004588102680944952 -0.0051910860808490845 
