number of atoms: 16
number of fields: 9
Multipoles
---
0 0 0 | -0.38364013630010074 0.021353243014463716 -0.0012221483420103072 0.10026281967304128 0.05756814327917007 -0.007811849689663311 -0.06380142173596855 0.09833646610098468 0.018534854896268386 
1 1 1 | -0.3806157843582261 -0.023787796343796488 0.012493592008986781 -0.09867011303576308 0.05069384879938733 0.004903802814281273 -0.04286364673910087 0.10156868686975584 0.01079391657003319 
2 2 2 | 0.12748417038705995 0.011382752450927803 0.048822208352009795 -0.0027577453920632545 -5.8409300594336995e-05 6.574774934694076e-05 0.004969035549880206 -0.012536947341782482 0.012411622728314161 
3 3 3 | 0.13284377667464553 0.03625899380050944 -0.03465016633335905 -0.0134309379419994 0.00041563212438311213 -0.00221359098523156 0.005996767614983202 -0.006146269434877882 -0.00902730745287759 
4 4 4 | 0.12501040758347604 -0.04759529772107748 -0.01492916581553718 0.006954691863667969 -0.01312553169715108 -0.0026583112264580207 -0.00831664026488348 -0.00766135070398353 -0.004952342397242766 
5 5 5 | 0.12731000956307892 -0.009850376768748932 -0.04983586633972348 -0.0018107040227739438 0.0016515917487845274 0.000822880901577806 0.004901421556441018 -0.012356165910478575 0.01316085249199565 
6 6 6 | 0.1259936657528825 -0.036335994801982456 0.031715045728374296 0.015016172816776507 -0.0012810124241252846 0.0025112273346244536 0.013971979134702911 -0.004418197324232873 -0.011319348366712254 
7 7 7 | 0.1251729336328593 0.047553486539443746 0.016809568904800957 -0.0068765452405499285 -0.01374269772300236 -0.003823656227271673 -0.00844018450918246 -0.008495882094264308 -0.0046345288905540495 
8 8 8 | -0.37633856609571303 0.06503265661615261 -0.07331270130481239 -0.018436255072750898 -0.010918655163527148 0.09827225006408365 0.02173305655963505 -0.05024523250400016 -0.024966554527869254 
9 9 9 | -0.38278742375204367 -0.06752594211213331 0.07103215945465591 0.02617692721143061 -0.010755706804028424 0.09977135895085834 0.02814051374844848 -0.05317715655620738 -0.027967974324426548 
10 10 10 | 0.1259593174129825 0.030301023701920164 0.026173989989504418 0.030257840787471877 0.010325147118474765 -0.011862453978464783 -0.0033504770581848173 0.00026485423177436193 -0.005828370750806809 
11 11 11 | 0.12484857077973976 -0.00029506001914401047 0.015574923306208884 -0.04795776713600872 0.00267132778849741 -0.0024878305876902484 -0.011115746221316197 0.0023140877877548785 0.013752921495781254 
12 12 12 | 0.12842536484141132 -0.036470366106512324 -0.030633694913990307 0.018066645607810974 -0.0062841645112220726 -0.011333913889259667 0.0018033716827380957 0.009709494178540416 0.004535484397680959 
13 13 13 | 0.12506214497313872 0.02731714031940105 0.032589698106040364 -0.02735605730910948 -0.00870469248700336 -0.009621747747206744 0.009323440785681744 0.010644643813617162 0.002848795542126785 
14 14 14 | 0.12611686457333726 0.014981614837813307 -0.007710353467567974 0.04796050803947448 0.0017310273785480722 -0.0028699652888249474 -0.011208417252472444 0.003702866143266282 0.013566735032151453 
15 15 15 | 0.1276602184907515 -0.03410828256590082 -0.02727403605478909 -0.0260591679873252 0.010288915266452597 -0.013338376790210035 -0.0023507670212511073 -0.0016768517394347303 -0.00667964021373284 
