number of atoms: 20
number of fields: 9
Multipoles
---
0 0 0 | -0.5041901048306734 -0.0026067412735000864 -0.043804690403619305 0.03379451144443153 0.030203077699899016 0.0058205896878521105 -0.013811176864087121 -0.04983520449008495 0.07526863081522367 
1 1 1 | 0.2016636801095526 0.010090056002072852 0.03209295969397662 -0.09080579794546156 0.09380589067633614 0.019192319128954003 0.02800120060093288 -0.007804433708470322 0.08384454794627678 
2 2 2 | 0.309843279163589 -0.023711014089437127 0.09094207045647804 0.060790996120587956 0.15797952380341082 0.04366704763122036 0.03376051082623177 -0.07182545459327781 0.022524436461729417 
3 3 3 | -0.2392893073412239 -0.0002523696920047551 -0.10708203701009843 0.09921583649466106 0.0586631908522199 0.03825328630639631 0.018132771995551786 -0.08248491376948829 -0.10510037183837152 
4 4 4 | -0.5314330022367884 0.029541474683018775 -0.06233980974239104 -0.07572663895375005 0.23031940532018647 0.11079983692593524 0.09849352879891618 -0.1050612783571211 -0.21190424684685644 
5 5 5 | -0.36831277362178927 0.006999605718238075 0.05893051574674172 -0.0721761799376424 0.06553269337048169 0.009588515982643403 0.008154556135958791 -0.01195792995238003 0.013966482647275959 
6 6 6 | 0.12266873917716248 -0.016771854892233984 -0.00015973084370349999 0.0761882632262709 -0.030944765156797404 -0.009224183304805896 -0.011261470270016885 0.010983865522654105 0.008411106293593644 
7 7 7 | 0.35902524596827323 0.0029171831291276806 -0.03745558155152333 0.00715617931339152 -0.017806868518098887 -0.003050903596305758 -0.009641562284833776 -0.011986193718083992 0.0015625980912448336 
8 8 8 | 0.16760393490056325 0.013513303396239879 -0.017659319456177023 -0.055843663866179546 -0.024564735262320277 -0.004336063515839294 -0.005951943029411229 -0.00011409490362809014 -0.015616814864842885 
9 9 9 | 0.1615534508161215 0.03211687813001461 0.02338144030372753 0.026333346130413302 -0.00419920705508089 -0.011647223251660373 -0.0007192810714881083 -0.009657545306760116 -0.007367150178826227 
10 10 10 | 0.16637789213535126 -0.04398217082235343 0.014088812218126079 0.013238415048961843 -0.007280854003473561 0.012485875783253561 -0.005832253187337661 -0.005733158980462868 -0.004268375785319935 
11 11 11 | 0.15482044368767267 0.010195813362151336 -0.013383906208202807 -0.04330672682064872 -0.0011238429986840978 -0.00021268468535523785 0.0035316112938137923 0.01275800225098572 -0.011460232820981714 
12 12 12 | -0.37474734449134584 0.028843794233203792 -0.04930819675419529 -0.08192883919843975 0.08336070608073734 0.02713906681270665 0.04889269268784464 0.03555171893135759 -0.06557544792955655 
13 13 13 | -0.3886632172333844 -0.025587714974284914 0.05055381383798145 0.08998769108136166 0.05501679183816156 0.03350177109606021 0.07108101583063663 0.04433928855700494 -0.08438453876521561 
14 14 14 | 0.1398234090716619 -0.02635817986330064 0.03494470161903577 -0.026592561208206376 0.0012013837631665654 0.0031163999672312206 -0.002422357730096489 -0.014507503164513413 0.0052880960266980664 
15 15 15 | 0.12963998854097158 -0.032290765365958096 -0.03616845500264051 0.012177706249947478 0.0010634567141026403 -0.006837891836094666 0.0063958642217306644 0.0022748557212660626 0.01605717577746953 
16 16 16 | 0.11982825739955194 0.0461627042438691 0.0061407010224117185 0.019372727555253277 0.001345132018792309 -0.009566234390307776 -0.016384129147507875 0.0013070249786768442 0.0013932465038915753 
17 17 17 | 0.1300405072372286 -0.05002861139839888 -0.0033215414105895883 -0.014091373089283842 -0.00043038435180307237 -0.006568463877979132 -0.013009710105457152 0.002100206106931117 -0.0013894253915166838 
18 18 18 | 0.12287869779234917 0.027464593252212205 0.03914593067482548 -0.015800207427525265 -0.006767077785309513 -0.007559048511934646 0.00575865606797974 0.003920866400920364 0.014753261176041586 
19 19 19 | 0.119149420219541 0.02162088871523523 -0.03891478891825384 0.021221628657416596 -0.004067657185693876 0.005928091639155151 -0.0054266404428957365 -0.015546558956552008 0.006565736188894077 
