number of atoms: 27
number of fields: 9
Multipoles
---
0 0 0 | -0.3827681249432082 0.10529016518392001 -0.02899223915680774 0.01947244278604826 -0.14969875223633913 0.052233076715509676 -0.02985831856285745 -0.022496885712807762 0.025761169576641797 
1 1 1 | -0.37896584839552183 -0.10111533068793425 0.02765487675522313 -0.0017413541470591095 -0.12095225029808321 0.04511369292363641 -0.02570497221405144 -0.0013644009044513567 0.017895087394720684 
2 2 2 | 0.14259714464263018 0.00707502453090158 0.048654103031744486 0.02241619037510458 0.007389484937445816 0.001986152885817049 -0.0028587012244872304 -0.00562371039348935 0.005693066125692448 
3 3 3 | 0.11748815224264042 0.001350987185278367 -0.008713495727579467 -0.049060627450360175 0.0117930783914773 -0.004154674134192872 -0.013412348762226942 0.006852672359266846 -1.336675969510439e-06 
4 4 4 | 0.12061524524915379 -0.014436773947187693 -0.03605692072162342 0.03011797436770404 0.0026733393971419303 -0.01398006895641873 0.010017337538938517 -0.0011251061413188879 0.002680559506005774 
5 5 5 | 0.11915858982305105 -0.009501556748772582 -0.04615527315858961 -0.016735861103668804 0.014306942560480986 0.009389886536993564 0.005192851623478807 -0.009290182794787959 -0.003950960073367228 
6 6 6 | 0.13469288789567035 -0.0004506554812238971 0.010078721777568661 0.050776695700915135 0.008597353994309387 -0.004265855474493093 -0.012245028110814094 0.006280318591616807 0.0028880426594742967 
7 7 7 | 0.128394870183972 0.010346983823831245 0.03364679331680256 -0.0366712704917535 0.004274017512951933 -0.013498504654017886 0.011816424610947892 0.0005687062477564466 0.003072829583657871 
8 8 8 | -0.4273412045828575 0.06930272707312646 0.04274427938337472 0.035368839741012015 -0.029844812431495567 -0.01752017835198352 -0.09519782487235773 0.031643063551466954 -0.016592466170162908 
9 9 9 | -0.04771226169955689 -0.02094465079793062 0.0007125331341306695 -0.032232298594207655 0.012846434427593926 -0.13602807997339894 0.013648664480132938 0.14325727903524962 0.12298780000013884 
10 10 10 | -0.014750466200376344 -0.049724197132291245 -0.0011962039832117508 -0.08388956529980952 -0.04408956048357783 -0.1360583705475627 -0.041512101411684287 0.1077458770538931 0.0599751483688053 
11 11 11 | 0.2593786581308528 -0.02092901616196028 -0.030415721649190697 0.06506101068813612 -0.10236234603293168 -0.14659474319490323 -0.0869530490724422 0.05299934651112997 0.006708216085599404 
12 12 12 | -0.0948008958646982 0.10054387556690907 0.03345162386051611 0.061312508740986545 0.049515010360579786 -0.04724708849590954 0.01363864010433578 0.11838074885964307 0.09112907442210198 
13 13 13 | -0.1583412702023166 0.0031939926451762884 -0.004501647609122373 0.02777578120339512 -0.0072516290939361955 -0.1309478855349149 0.023863477428945602 0.08586173873800894 0.116815618779416 
14 14 14 | -0.1948838000932973 -0.00027272573941600025 -0.013821258651529606 0.037324723335838514 -0.10282279052477977 -0.14219005278412059 -0.10103606705722505 0.06320794426960151 0.014956546075699241 
15 15 15 | -0.11858871902674117 -0.032995543797043766 -0.019196033950344613 0.002384636540861536 0.03095401552562936 -0.07498073937824526 -0.0629144562566743 0.15324256491827873 0.07874639038929118 
16 16 16 | -0.28488369915766576 0.0051272988332634675 0.005949055793569958 -0.01771327366968009 -0.03225767080066408 -0.14663921815092515 0.03744220631816229 0.07337661121749497 0.0988624711676897 
17 17 17 | -0.424305407747644 -0.04082826268903545 -0.0047831448131372065 -0.05724713913423816 0.02490721878062006 0.01249837687091006 -0.03800104448260117 0.05099024004841373 0.01675734553332325 
18 18 18 | 0.13992681922760486 -0.03238634749761362 -0.005676379321069365 -0.04365667713978451 0.0015239288019444736 0.014665384784190275 -0.012173923438363663 -0.007150133808523059 -0.011744795886608723 
19 19 19 | 0.14129134827948908 0.01315477127447912 0.021782610129879542 -0.04779422495330949 0.011319268618742497 0.013784317118171657 0.012429983096315147 -0.0038463360136167515 0.0026086795250135513 
20 20 20 | 0.13597463378696506 0.04690003987850555 0.029478566154955907 -0.006895394697441102 -0.007150277840214353 0.0034646579077120404 0.008067020616944098 -0.017943506888162812 -0.007718660035335798 
21 21 21 | 0.14109564026879917 -0.021439644421619282 -0.015666610248807875 0.03932522820319646 0.00026754123889328075 -0.005344565983786285 0.017639569513219853 -0.0015508111481761196 0.007509255558325717 
22 22 22 | 0.1447300817040198 0.026142313827963663 -0.0348819828245255 -0.02687895428145818 0.009254628955569333 0.00027919654925326825 0.0023341350047076247 -0.0006092631119767181 -0.005961547940896717 
23 23 23 | 0.14655490967562335 -0.04341044424441379 -0.032210007656720115 0.03084101026641905 0.008357097201124814 0.014718137921272054 0.015360657465386592 -0.013294217989109156 -0.0018028181342138537 
24 24 24 | 0.3557122541222202 0.0136602148373683 -0.0014675798546348311 0.034779824206518636 0.009337825983796596 0.02232573637702524 -0.004505040431252891 -0.0064266392450099226 -0.010323171721463431 
25 25 25 | 0.15161822248030377 0.033167288866012334 0.008742105467053313 0.036312646353553156 0.00521592219142931 0.014518144343128767 -0.010686418176559085 -0.00038920885284193834 -0.009307704359473711 
26 26 26 | 0.14531829383699557 -0.01794903246329004 0.040375446753059756 -0.02031818278633411 0.0063310221148844045 0.013742027870487136 0.0002010461983114139 0.002259105675360872 0.010195611668168087 
