number of atoms: 27
number of fields: 9
Multipoles
---
0 0 0 | -0.4761880971584107 -0.024815339795304713 0.05866507635952893 -0.020810597067928323 -0.014212670061149313 0.06833330636938828 -0.0195599581894719 -0.008842420494476524 0.08899301762357185 
1 1 1 | -0.12930419257030135 0.0324515434192481 0.0015086539668439142 -0.006638778776256336 0.020496872472718416 0.04090847739112698 0.0559766326617694 -0.030214754775235237 0.22789067994816178 
2 2 2 | -0.21372918788764927 0.004748672140169903 0.017703726641781988 -0.008372085024739226 -0.14151929676592837 0.12322566006790324 0.06800228291398125 -0.04987279003106746 0.10406170676780716 
3 3 3 | -0.14525401243097757 0.01793707758624458 -0.02428123688417127 0.01819192578054188 -0.10347764843375597 -0.00735941979330924 0.16400183727474751 0.016933839128365498 0.1504006017871865 
4 4 4 | 0.1439488332213461 0.02164251180791832 -0.023977430276993134 0.017875884790201912 -0.10661864312070539 0.03146302295254646 0.15258979072890647 -0.004457987272820701 0.17984141095021572 
5 5 5 | -0.1357694489367951 -0.010892800412218207 -0.018520760261680168 0.026566842059755864 -0.1222746575599527 0.14541790619835254 0.03642979670595463 -0.04307870552444334 0.11624062020553273 
6 6 6 | -0.20109536912051595 -0.012487194769697988 0.012663709120420127 0.005031294229545927 0.008789969714863444 0.048481875661423035 0.0725907967655238 -0.03407051636057575 0.20490101659919338 
7 7 7 | 0.14887580800550204 -0.05432341191366792 0.013764273424509135 0.013224233971903922 -3.5173698799435204e-05 -0.009479134021455705 0.002494101024850937 0.004906167846522724 -0.012391314712343818 
8 8 8 | 0.13963578579914226 -0.021696454776012706 -0.029015531975180482 0.03633465708615513 0.014792661796667553 -0.01563571369688014 0.001193428876697984 0.0026906036205731625 -0.002208363781191743 
9 9 9 | 0.14855906875526936 -0.03238866575103845 0.04151268574383344 -0.02209217103336225 0.001509312279606768 0.002018762941574466 -0.007345488763537065 -0.0015902842810347772 -0.009065899632993125 
10 10 10 | 0.13404162965798783 0.022368488016079956 0.03245572021173583 -0.03843073205577885 0.011363009957840533 -0.014565356827109771 0.00042268668180118975 0.004645365390334026 -0.004451594321781521 
11 11 11 | 0.14775397394316736 0.02593153146834263 -0.008670205162163087 -0.03811176881103122 -0.010971132980963945 0.0016905113423541021 0.012919726109168746 0.003872523700465062 -0.00621907528792945 
12 12 12 | 0.14556072166581402 -0.0385362953690325 -0.028412760628773247 -0.004658483925902485 0.004104108636566016 -0.014177844639060579 0.008184787485590655 -0.005060564390897936 0.0062730623120761456 
13 13 13 | 0.13975616943181346 0.047953133675635085 -0.005896809888836394 -0.017376909703386782 -0.009180143788823066 0.00013110088063045808 -0.0004660949473204586 0.0008192326626592983 -0.019242162708580788 
14 14 14 | 0.15586229911159655 0.016232710379581246 0.016266979322812486 0.04237714065220513 -0.0016355660414727872 -0.006434284331714592 -0.006411349781603596 0.0123981530283308 0.00039573312225243425 
15 15 15 | -0.22096801320347215 -0.07594036992370928 0.0466573706299036 -0.019329988324158463 -0.11109257691244268 0.04099100362798177 0.027318005782699648 -0.09726718282701159 0.08988598861917341 
16 16 16 | -0.4095557811166879 0.08758338501896963 0.0014525679350929008 -0.010881682544804826 -0.10735649165118338 0.005061359493097026 0.004111439639830284 -0.022552282149043017 -0.0033373072324194217 
17 17 17 | -0.4292266236697335 0.02537007897329097 0.01251810447165852 0.0719240488935074 0.014434150328823657 0.02195976829261123 -0.07169751421652763 0.10555419744745527 -0.006877078851244655 
18 18 18 | -0.17260899367667548 -0.0552042748496558 -0.014939842794994905 -0.05186941146367383 -0.4924791759170904 0.570697542641799 0.2918178201192545 -0.2536303675422356 -0.4254007355685101 
19 19 19 | 0.1578246546346148 0.006754052074669945 0.0031619206291166103 0.05293025404547799 0.0062209898118637825 0.012532003763473321 -0.010549763729807007 0.01183250784245484 0.006776417266249395 
20 20 20 | 0.14145136695077198 0.011320658457595414 -0.036392050924887266 -0.037040929890056654 0.01395871420546999 0.009971086732903044 -0.005781631431320449 -0.009479507982199722 -0.011347145021777354 
21 21 21 | 0.1385801349960064 -0.005563069557736153 0.0020650088495922153 -0.04829529630602351 0.009996010349127699 0.000904804784729998 -0.014007066252439542 0.005130152342868064 0.0008016201859401128 
22 22 22 | 0.15029653075950622 0.0013516044868754286 0.04521036217410039 0.023037778815240578 0.009014144330103177 0.009962498706122523 0.008530406710560694 -0.003959746362821678 -0.003915755462247908 
23 23 23 | 0.15806353507044624 -0.04942332192294789 0.004346106062744943 0.01329377489931512 -0.012497347496524697 -0.005349447305958984 -0.009413142376351888 -0.00553821729132945 0.0037216607289823705 
24 24 24 | 0.18428203443591307 0.02171644419480935 0.04213964078154665 -0.018198193153764284 0.0028899967571237215 0.0034284389900257448 0.009004899018631385 -0.0015044147942790242 0.013351605196468592 
25 25 25 | 0.16073263140543692 0.02206476798444674 -0.04500925026486196 -0.010951089663273255 0.007470095401178271 -0.005127023525353707 0.0055434210153614905 -0.003177371372259709 -0.01499926786720103 
26 26 26 | 0.13580569209986382 -0.010649774149958501 -0.03993379992269794 0.026974067386849647 0.01184136445495814 -0.010301309701581203 0.005463381756661284 -0.0034572435711933375 0.0037952551970798624 
