number of atoms: 26
number of fields: 9
Multipoles
---
0 0 0 | -0.47741345639964994 0.0337097477653056 0.052570190190609926 -0.01843295590590346 -0.004771012387938213 -0.10793903263145377 0.014910592122445932 0.001845895377863515 0.03536054599494366 
1 1 1 | -0.12726487589403934 -0.023958382820637846 -0.018445969946225976 -0.016026830445173466 0.06411285548121154 -0.15015999403630337 0.046960833633028484 0.10783925659811977 0.11527156633113765 
2 2 2 | -0.16394809376076225 -0.020830302894030154 -0.02381814252672728 0.013329061224312535 0.06542983949436032 -0.13156359471266668 -0.09559614161563197 0.13933353773575358 -0.03197367621657288 
3 3 3 | -0.20184972493727482 0.0058035888905708264 0.008741896153174725 -0.015831935508525515 0.009461541396443576 -0.2265224453208007 -0.05098488643540057 0.02807048089323504 -0.0010009922196064461 
4 4 4 | 0.15041478842460076 -0.022156152646170792 -0.02332990281639124 0.01547488258807309 0.08120725381043262 -0.19060679393344948 -0.09072364917690823 0.13975516182567121 -0.003982323157231319 
5 5 5 | -0.12738889648464102 0.0007373678886519041 -0.004268208829117828 0.03267810285675931 -0.00464703919489872 -0.22687884099059843 -0.02909755072996185 0.00761265489124256 0.009439316168591404 
6 6 6 | -0.20461165238454715 0.00947673394081113 0.012183219181964251 0.005222453137541411 0.08469937347112576 -0.13753137274724744 0.020844566643156273 0.12907706590961454 0.0855189376075365 
7 7 7 | 0.1392496923503137 0.03538405509943562 0.03025291663867174 0.030543150985766158 -0.009251528682830782 0.0077604445399636025 -0.00940493103660759 -0.006858686764331864 -0.006916283460022686 
8 8 8 | 0.1389127870158563 0.03466520340126963 0.035090319376864416 -0.02405332017588004 -0.005820044107659628 0.006868388506546317 0.010429465760438402 -0.013413908864732092 0.005532684804939539 
9 9 9 | 0.13654869555609228 0.003942223174810731 -0.006350585860115805 0.05108283922712993 0.006967793364341349 0.017843830543041693 0.005351857717506109 0.00565778914472289 0.002716758848766576 
10 10 10 | 0.13704866117379944 -5.9428921837759726e-05 0.006501098250012347 -0.05526064690888817 0.004006945322809877 0.017894154719335587 0.001719517915598896 0.004660531042471449 0.0009209833636940537 
11 11 11 | 0.14789941862139033 0.02010653533815935 -0.0027709485348533136 0.041097973931855165 0.007347142246831704 0.005050983780374686 -0.007063469288823036 0.01528622049094351 -0.0008705767210325778 
12 12 12 | 0.1501865781566084 0.018459652688807452 -0.03439194039298133 -0.029221285433590354 0.006053642651453377 -0.0008853752907061413 -0.007757156743603621 -0.008693288922307406 -0.011511912479956499 
13 13 13 | 0.1438958565735392 -0.033910636522618005 -0.02583052510407053 -0.02926963156768057 -0.006885579083120456 0.00704002630464074 -0.00934582033672973 -0.010929518781731585 -0.013782984414628531 
14 14 14 | 0.15367353745209433 -0.04443805058046947 0.018349545208447414 -0.004474157036690574 -0.012769449115715509 0.002306566110230448 -0.001486091771028983 0.0031897914665700243 -0.007862383984317942 
15 15 15 | -0.1316023453750672 -0.0027439273820939404 0.0604431915745069 0.05810039749491526 -0.06054862852750726 0.018945642901821474 -0.005530815188342078 -0.00472155276487533 -0.08399310792960701 
16 16 16 | -0.4402117594698911 -0.0724270253339582 -0.015739836799323968 -0.025376576219821527 -0.01095966106639921 -0.07518172331855952 -0.07188046420608776 0.0027368977622654615 -0.060388335606521064 
17 17 17 | -0.43415857642418754 0.07838643418072497 -0.023039734117810698 -0.008649442796389519 -0.028337665850787265 0.08579394840818151 0.06995625855164954 -0.011530237359956227 -0.04213780594506639 
18 18 18 | 0.10997762347595375 0.003096206844074366 0.017898603570341502 -0.05016447488251446 0.016883398892130915 -0.0009481321671013646 0.0039257899260286624 0.012044958407789385 0.004753749677810514 
19 19 19 | 0.10589866124006375 -0.006690853606528779 -0.047892590088730834 0.019321439127904644 0.01853876873932155 -0.0043213025473583105 0.0014098847521567125 -0.011769644345950991 0.009511230363792492 
20 20 20 | 0.1335447667322629 -0.012513953163484522 -0.013941014379214295 0.04321482017524853 0.014344667718516202 0.005945591233152714 0.0023769854193532248 0.013608188325325276 -0.0005811526332547524 
21 21 21 | 0.1343343867357356 0.012159582040017861 0.04312814572516471 -0.011366686230303184 0.01382517387634905 -0.0043701070667481745 -0.005776682530893614 -0.01249517998948614 0.0004874864920122375 
22 22 22 | 0.13247837327149015 -0.02477817840213295 -0.024452799141811497 -0.03456327244327372 -0.009773367308694476 -0.009113445173124077 -0.012106439956229556 0.0023441558416715746 0.0027419366011538298 
23 23 23 | 0.13827769686395586 -0.005724189952751785 0.04427161096540155 -0.017036628415323454 0.01167170048787815 -0.0007878107806912066 0.00809300897414732 -0.012584596303215807 0.0012421117658284388 
24 24 24 | 0.12400755493471505 0.03093655119445064 -0.031603857112297365 -0.017768975260810567 -0.007555284357737817 0.012851320362697248 0.011102832694882762 0.0001550424564064059 7.042781191640587e-05 
25 25 25 | 0.12949393019795408 -0.0015083488817037684 -0.01585543420126496 0.04442465321432332 0.011039233443151157 -0.00896858344290361 0.0029677102110476734 0.013047693031701908 0.00044203724883779254 
