number of atoms: 26
number of fields: 9
Multipoles
---
0 0 0 | -0.44116245382883523 -0.024016046170237476 0.0839924550504688 -0.03184002824990654 0.044655018003673407 0.007239252689770304 0.030565029112660708 -0.11414084362999351 0.021607629852234935 
1 1 1 | -0.06684243634943066 -0.005484609439248704 -0.03663521341748117 -0.005760147408697272 0.1673556495456633 1.1586498321915713e-06 -0.12317272769814724 0.05333118468877431 -0.07698810800610452 
2 2 2 | 0.006225706461449931 -0.0061238327181912 -0.09191785768702636 -0.023985776926312822 0.1495746558897507 0.02937128650739039 -0.09285692586857267 -0.009445484606340763 0.00808564491920475 
3 3 3 | 0.2627774495486088 0.016666160628045667 0.026660494978205607 0.0635797364303877 0.1335939746841064 0.057313857601368 -0.06019705973543004 -0.08331057724223197 0.08605259379585406 
4 4 4 | -0.1581344705325476 -0.026241391617098493 0.11758427314348335 -0.03327558717301652 0.060755884562138374 -0.023556090306247134 -0.05241076457569183 0.04296971405037259 -0.11205800403447588 
5 5 5 | -0.1332474684716365 -0.015511712202412535 0.021917482718305865 0.01090912723753934 0.1644068065480359 0.05206836579113797 -0.1021077586091458 0.02908965685630169 -0.007765669588778193 
6 6 6 | -0.1797883812957739 -0.010216966072471323 0.015453578628728126 0.04693616513210168 0.1762026783542356 0.08609270260129534 -0.08529277231022493 -0.022692517358905994 0.06266807654254737 
7 7 7 | -0.12469162258826039 0.00362221548282803 -0.025370185902785624 0.03193541053536916 0.15166670831694493 -0.0032581338525425486 -0.06562957324661511 -0.0565908387172612 -0.09276492087151116 
8 8 8 | -0.32934122478371286 -0.008731489070562109 -0.009738333376159545 -0.013689005430319123 0.11498923781422182 0.01665721758543199 -0.10453611049125824 0.06284326770659555 0.008426240208303053 
9 9 9 | -0.4227437517764452 -0.00013365253064797364 -0.0752716833769571 -0.01088335504248255 0.01175404522328937 -0.01907257273615266 0.0049522889548977485 -0.02876317002262658 -0.05557248592146096 
10 10 10 | 0.18371727194997123 -0.00034909563329136244 -0.058308302052358325 -0.012200981932863087 -0.006295781042221635 -0.002085647246166664 0.010458699578336506 -0.012135023717481513 -0.0002763072800017869 
11 11 11 | 0.19301807602115773 -0.01877863729897022 -0.031072616320579526 -0.04708306627846429 -0.008120205359616129 -0.0018696518792677276 0.00510294081578469 0.012246352608228143 -0.010937256732529514 
12 12 12 | 0.12572080104388306 -0.01808497292325454 0.025792674279594825 -0.04387886794938663 -0.01323810566190814 0.005098291263964715 0.006662449905118318 0.004581936147165139 0.019378508760634953 
13 13 13 | 0.12799220662480715 0.022981018896177315 0.011079090310515015 0.037882866285280266 -4.922838706451863e-05 -0.0008312052032489013 -0.01051922380037149 0.019740192444046758 0.00352697582771136 
14 14 14 | 0.1551650627686385 0.025533012872737296 -0.006622098846903813 -0.042989365619836316 -0.0028910870525976867 0.007724480954908293 0.006942758340442276 -0.0006603767108312027 -0.014263984840013467 
15 15 15 | 0.1377219161613652 0.017443644606404067 -0.013427512624420048 0.05489274656299543 -0.023942145952939597 -0.00595396394573092 0.007804704002586559 0.018706691699064176 -0.004365144257648703 
16 16 16 | 0.3370865863221666 0.0014503398966065231 0.033591595291728636 0.014664478637353354 -0.02090913757445617 -0.006313245297975124 0.017848325629542725 -0.009836570871019572 -0.010321130933560782 
17 17 17 | 0.13758908812996684 -0.003485979705935855 0.04617125758107554 -0.0021540338481902586 -0.00911838114300383 -0.0030031241377040576 0.01417694709601303 -0.017581887450448447 -0.008498526991960343 
18 18 18 | 0.15135844528305997 -0.04874411097734348 -0.01205590333898214 -0.00482567476431052 -0.002382474664028897 -0.016763547952076546 0.006715836019773624 -0.002654447720437466 -0.0014940279139773048 
19 19 19 | -0.7748793608321503 0.025517025939376346 -0.014741631879472673 -0.010491339482810289 -0.13548595645188324 -0.00822701845715167 0.14206003417628985 0.057819761530544356 0.1781379708138076 
20 20 20 | 0.9871173191275453 0.04608018262641348 0.021358540329973072 -0.028600568589825556 -0.09409721813612149 0.03833105821275541 0.05363474865542149 0.05066453111660576 0.1538554724352807 
21 21 21 | -0.8286425153606523 0.05667331683584661 0.015019701752085491 -0.0006101316475980759 -0.03640949046630038 0.05565644926505687 0.07457753287995043 0.04026354329315342 0.16802295012634236 
22 22 22 | -0.8378475004172028 0.023046920419528043 0.04065522338477909 -0.031777570399858644 -0.11725251451776167 0.061546059516032085 0.02648507808084343 0.05718600439063862 0.0875457887132172 
23 23 23 | 0.16190909938031162 -0.018698590368666914 0.004453455251269792 -0.03242159957569543 -0.020687599095141077 -0.0010151649227866375 -0.015943931370356206 0.005090479569946505 0.001273024983581315 
24 24 24 | 0.1687755876596041 0.004697674149417948 0.03102373707942388 0.02081346988195861 0.006439397636653249 0.009542353824189944 0.013425773263295616 0.010056153245546118 -0.016315501290119994 
25 25 25 | 0.15911636050438882 0.013231419979138173 -0.030788507977042974 0.009592323339521357 0.012296622045706293 0.000519496216403139 0.0006398226293389273 -0.01012346856494456 0.02068150834292505 
