number of atoms: 19
number of fields: 9
Multipoles
---
0 0 0 | -0.13256018255361735 -0.06799365035687743 -0.05104818914572814 -0.03317650763166223 -0.042169486073274774 0.008349076393730974 -0.0760750198298823 -0.04689388258462908 -0.06436723321198032 
1 1 1 | -0.4351538155903656 0.07211084383500312 -0.03883941143110513 0.02241635024772945 -0.10232246917282264 0.02535839055453095 -0.03597532066059985 0.021551504684901596 0.011629534231912134 
2 2 2 | -0.4375544747712752 -0.030409395175818258 0.06927478858882002 0.022909383214423987 0.05781531407231434 -0.016921305949661868 -0.023118179035391328 -0.09275444172713648 -0.054698279398691256 
3 3 3 | 0.10148573312262044 0.03256214559911957 0.024544749152916687 -0.03645012656484924 -0.0011268296400417756 -0.017988666145742373 0.0015538451670875759 0.005248662660278313 0.001964203942676116 
4 4 4 | 0.10025543390661995 -0.0015162638983336545 -0.004209884951625245 0.05252401836466925 0.007192220124646168 -0.015349862180937382 -0.006120814607201986 0.020975518760792084 -0.0037590267135699075 
5 5 5 | 0.13614839063828676 -0.002582165450593173 -0.028750483069550997 -0.03645263033545649 0.010117800643177475 -0.011840266528868104 -0.004361538640893607 0.008481617473885941 -0.010327945486739562 
6 6 6 | 0.1342287948799522 -0.009845751280632222 0.006057604435147226 -0.045489481578223336 -0.002342722625868276 -0.00521922405213907 -0.009950648702139542 0.013570413803295132 -0.004434536784335671 
7 7 7 | 0.12866014795963954 0.0464517129707684 0.0014705641911159251 0.012114767139060205 -0.013963243331659754 0.007975912762823167 8.075940641353772e-05 0.0023434449335860558 0.006998619867329971 
8 8 8 | 0.13395376816893478 -0.028494068246907468 -0.021166344128767788 0.030690058470053974 -0.0017672295266953717 -0.015072645884284534 -7.14491519264254e-05 -0.0008844538331618512 0.012931857456851313 
9 9 9 | 0.13414697365244954 -0.019076613300826557 -0.013891506136028733 0.04340511185556788 -0.002971950740359385 -0.008213717411781507 0.015489640692078527 0.0022156537807090718 -0.00276406318243115 
10 10 10 | 0.13065288549416232 0.013449261441493773 0.04661388935430009 -0.010416234398727445 0.01243573345523416 0.004464209337268741 0.003964271017718469 -0.009058224564581305 0.003551498529263104 
11 11 11 | -0.3850973878549535 0.01789602619799174 -0.059273491712465154 -0.08431157986699789 0.06948910340751521 0.023947398037923763 0.008139262213751148 0.021823358518552664 -0.12831182973392005 
12 12 12 | -0.3808791795052313 -0.016618002949744956 0.059165855492184 0.0805332728046675 0.054746780019617844 0.009594361506789429 0.03457505790650779 0.04425200731339861 -0.08902419876105276 
13 13 13 | 0.13488162424437966 -0.051276600249217236 -0.008356949138075243 0.0013694249113906367 -0.008002357576821037 0.004644629051465146 -0.002184678014760548 -0.006379522308102162 0.0035167631110689353 
14 14 14 | 0.12812490689480227 0.02792531924174965 -0.030210161796413823 0.029268022495079222 -0.0005189278388585285 -0.0015267070049117943 -0.013116945131668266 0.006436971410047545 0.00735590006154488 
15 15 15 | 0.1271445169858615 0.020378051480843862 0.04107644193507919 -0.019886182838387122 -0.00020464635711517527 -0.005857543248851565 -0.004414898137139796 -0.015218021667003184 0.004555521321302749 
16 16 16 | 0.12807086911436583 0.04964281855606108 0.007994650638520315 0.003771675486839142 -0.013430200501802839 0.0036036377311303935 0.010337627799241692 -0.0005284122596818362 0.008172889909065936 
17 17 17 | 0.12808359226558164 -0.0316346921325495 0.027587506484562166 -0.028928439820084938 -0.0015228459951180122 -0.00369652609048356 -0.010459411589085442 0.00901617330199255 0.011662971369513683 
18 18 18 | 0.12361166899492892 -0.014422517643805477 -0.04290069317579985 0.021279092703613833 -0.0008167379659921893 -0.007328763944475038 -0.0032475151015000764 -0.015722979398652907 0.006647287270168209 
