number of atoms: 19
number of fields: 9
Multipoles
---
0 0 0 | -0.43648927378605684 0.07245346746452132 -0.0036512747342683036 0.05828580092850081 -0.022624427896090038 -0.009607556731292488 -0.010200847752839344 -0.027227674583903506 -0.0637320783104168 
1 1 1 | -0.40435844413258515 -0.10585987586837198 0.029281194697337944 -0.03554207301962325 -0.057154584159684996 0.06628825323438683 -0.11282165679122289 0.031596469472455126 -0.011066755576626256 
2 2 2 | 0.8739672782420795 -0.005159355565425234 -0.03261678541080044 -0.06893745386644258 -0.06497828042812633 -0.05356652070987489 0.028989753089483594 -0.005053649094520724 -0.2093532000591472 
3 3 3 | -0.6682524946393826 -0.08317999948109608 0.02776023050255118 -0.03231552202206166 0.007249230393785014 -0.051757234595431384 0.003175055201101817 0.031427311036553204 -0.19819448993576153 
4 4 4 | -0.951868633097682 -0.021323323718360775 0.050543519843734286 -0.01324605104939122 -0.0005940154410383584 0.04618504448877559 0.038188969420429146 -0.031064973812099633 0.03566971976030123 
5 5 5 | 0.1571396055360954 -0.03081426119662197 0.0018128369904656099 0.0304063997275085 -0.0015442090786768501 -4.2540539492418454e-05 0.025059617301696858 -0.0003408584741363091 0.00012456456243178793 
6 6 6 | 0.22231345416940984 0.005000520251876493 0.045412640826117366 -0.024722391969209702 0.007302058662550338 -0.00015178035653010997 0.009362751819162282 0.0013371548286914335 0.003706856845020246 
7 7 7 | 0.10362440387975114 0.021065053116348948 0.013952673114955768 -0.03959962354714786 -0.0031686932113720915 0.0008203716638752277 0.02298074960638039 0.004082942610824502 -0.007561973447252008 
8 8 8 | 0.4055916284068868 -0.012345382339829134 -0.01457307325761275 -0.015999954165813696 0.01405760758545689 -0.002336205437823871 -0.009275920973042296 -0.0014907767437374784 0.001907602865070438 
9 9 9 | 0.4057249962418856 0.020649714018606675 0.013275394556339633 0.004774701123109029 -0.005590465292809324 -0.0047643123810235215 -0.007117857008693088 -0.002143437342872681 0.017822143022292514 
10 10 10 | 0.12403827381858235 -0.015603106793322817 -0.04755366752395134 0.009971907617431998 0.01704495429220157 0.008098871483294728 0.002509905617667625 -0.0038421481220935762 0.007967936217678788 
11 11 11 | 0.13689981670220708 0.0004486070164421589 0.04740681774283243 0.019324975394339094 0.008910556222496802 -0.01095356980684061 -0.005303139116877298 0.008157472571624262 -0.012644536535219934 
12 12 12 | -0.7906983027770345 -0.021102493860865077 -0.005162362679918782 0.004908710573884065 -0.14759914921673442 -0.09778277884491787 -0.05740163770681815 -0.08181199989350972 -0.1604004174605794 
13 13 13 | 0.9675550794481929 -0.048517351287927515 -0.02469841919874033 -0.019190023669148255 -0.10256682659176507 0.008557762566682366 -0.041464912963569085 -0.09534475776556761 -0.11927545637299725 
14 14 14 | -0.826992233059153 -0.05398685659456225 -0.004920207379317833 -0.007146048550087501 -0.02444984332281993 -0.009977217988353288 -0.04746852220517703 -0.07798968543992452 -0.10543800954251321 
15 15 15 | -0.8173317409791885 -0.049393544604006655 -0.06196916711595257 -0.009531435980326514 -0.15295065595376425 0.036792041370673025 -0.026331094794326177 0.03751375502923229 -0.13203342458099837 
16 16 16 | 0.17339394614966586 0.0013937385677012862 0.014176585928466056 -0.03353183477418586 0.0007483062936279498 -0.01604624423220558 0.015908974937392035 -0.0031072357338064777 0.015364131482492157 
17 17 17 | 0.15627657796993522 0.01272968432665643 -0.03402537970844009 0.004870285493644901 -0.015771357111938954 0.017358646436805594 -0.010553419011994825 -0.005358192795685785 0.0015404228080586637 
18 18 18 | 0.1682676751634773 -0.021238586214034606 0.01599476680776038 0.025487908060448705 0.011448109086485664 -0.00018700940540486977 0.0009616018271217146 0.0006653174909295354 -0.023747995903017835 
