number of atoms: 23
number of fields: 9
Multipoles
---
0 0 0 | -0.3697158404414438 0.08893969837186963 0.03496447283260351 -0.01656655590403582 -0.10624007322239078 -0.04433087796106196 0.03615338330247094 0.0007171165700638925 -0.009106557290429742 
1 1 1 | -0.3959544262639696 -0.09254543607654135 -0.032605308521718425 0.012481885510101496 -0.08404049859357111 -0.08655546121663292 0.03226450110727019 -0.011730023454775631 0.023443376787681675 
2 2 2 | 0.1157787568476828 -0.021033115980315733 0.03508866396301259 -0.028866744322824225 -0.003209798961067303 0.0167506809463509 -0.01111809138649601 0.002477343822591575 -0.001699667082363191 
3 3 3 | 0.14164551213234666 0.004649896848188219 -0.04905464266265415 -0.016378506303732547 0.010719415426173712 0.0037574955768566918 -0.005847438235477023 -0.00016487950043354686 -0.00507098531655694 
4 4 4 | 0.12129113359416444 0.004309901460413133 0.0036172323326855798 0.049295070965833514 0.010454719512440145 0.009039522129187958 0.009859012099636594 0.010087811480882806 -0.0009997672874689281 
5 5 5 | 0.12586606394097366 0.019022495654807032 -0.03959179845746397 0.023608455137921827 -0.0040555627020767366 0.015495518464324447 -0.012394694491239469 0.0019010647859815178 0.0012905413019889298 
6 6 6 | 0.13376077656279162 -0.013522823906451481 0.04105031005912567 0.028200843196236215 0.012867446137844133 -0.0043826435803320535 -0.006692646949199452 -0.00930091340204331 -0.004280517339877029 
7 7 7 | 0.1299634912306662 -0.002362565161231199 -0.013814618940428706 -0.048920354077427126 0.011145442097922821 0.005141528769188912 0.009032518817959698 0.010356529823964762 0.005593077975818408 
8 8 8 | -0.4744039797672137 0.008078819726594503 0.056372078037944445 0.032972833623871656 0.08235021591813053 0.02960390585385964 -0.006202033473464945 -0.020157206616065793 -0.06488627109313465 
9 9 9 | -0.15618631771544145 0.005187965435487615 -0.02459613010056455 -0.020153527709995372 0.17445320894615238 0.0831094506584569 -0.08253994651110103 0.04414131171193647 0.08511805047754971 
10 10 10 | -0.12561939157201696 0.009143549782423611 -0.029437423208416632 0.012411068370489414 0.18263255135627934 0.04888727368701775 -0.05079546329884849 0.06798116288812975 -0.09677485084581892 
11 11 11 | -0.1305533771389955 -0.005267674334848826 -0.00038359588772819903 -0.03238810059354915 0.18528634518531203 0.07380501354215145 -0.034840408288602194 -0.10224543504101742 -0.028145766046803054 
12 12 12 | -0.20819635271797843 0.0036304142613230042 0.006841213903920035 0.014746038865180888 0.1774543780157683 0.06723017453542142 -0.06119021096544734 -0.09676455973850492 0.00019105967419895262 
13 13 13 | -0.2035362407140351 0.00024402453080622994 0.019844743229041718 -4.077271274001823e-05 0.19264245267527047 0.01879542754633346 -0.06518448228204911 0.07565218928806441 -0.06441216173281725 
14 14 14 | 0.14674820329269167 0.0009713638237391634 -0.03015762555169555 -0.02133616454518356 0.22247661125894336 0.06197327615627198 -0.10114541242587434 0.021376401832013 0.06486784332425155 
15 15 15 | 0.13876982173581698 -0.0022094105423590385 0.045289451757747956 0.03142178628064374 -0.011612185744079396 -0.0051824524367286295 0.0064500813890713245 -0.005484597459241111 -0.012792729735854571 
16 16 16 | 0.13700063263070617 -0.01205721309508664 0.049877164742079504 -0.021452960112456072 -0.01076892892602693 0.0004719734473789558 0.0034985940253112963 -0.009061700424546185 0.011780582381959708 
17 17 17 | 0.13713704053810005 0.0070929392992053085 -0.004809359641481236 0.054862031781956526 -0.011987597727262567 -0.005615857306869825 0.00010450074366754357 0.013879095484247702 0.002749868237702869 
18 18 18 | 0.14412597844210073 -0.009305742872100188 0.004385459442224894 -0.05072403671737621 -0.011012976668408475 -0.007495550026807354 -0.000932749325348088 0.016427113959240364 0.0005560764572625549 
19 19 19 | 0.14154431546456547 0.014096025901745073 -0.04468132931702717 0.022343547086768105 -0.011262831945482069 -0.0014501108830567832 0.0031638536302899638 -0.013337175217856812 0.012511079602324659 
20 20 20 | 0.14791834510864843 -0.03616530159712711 0.013091324870813102 -0.027575048934106932 -0.0006986440302061666 -0.0006908286226663398 -0.010624436916055939 0.013548154314629437 0.005413842367997097 
21 21 21 | 0.1477984877135532 -0.018165056038783375 -0.026672146259043517 0.03515793601914013 0.004304997719519376 -0.0011429494004528494 0.00012951723957409052 -0.006455774154307583 0.01633619830138514 
22 22 22 | 0.15313771466274828 0.044613217364438476 -0.005905412118762541 -0.01751276721778136 -0.00542199839672768 0.010451848126850717 0.008511347305258286 0.004891254180061508 0.0026664529233652846 
