number of atoms: 27
number of fields: 9
Multipoles
---
0 0 0 | -0.46806084818040095 0.05743408367256469 0.008751841549579906 -0.039709118484916935 -0.0829187695516621 0.019621258465135936 0.05112469011009764 0.00924841601273827 -0.03700288766768227 
1 1 1 | -0.1501504448882338 0.01742817281450268 -0.0008679048687152073 -0.0147426363446431 -0.13217341334365942 -0.12956497411165172 0.05841770619982676 0.00064322884106681 -0.12710205250996495 
2 2 2 | 0.0727548075912301 -0.04138777445256059 0.013419959504267718 0.014248220336189908 -0.04423253376773791 -0.11585853518006657 0.01256948063768334 0.035617448116650484 -0.20432674499705453 
3 3 3 | -0.29082675502334343 -0.014918634957849302 0.008223078517326628 0.013618334642193005 -0.018484127370569044 -0.029265456644495567 0.07266516504965607 0.05609891668889303 -0.18199565269003795 
4 4 4 | -0.1286246812772136 0.026496438581942117 0.0067176695058105635 -0.01691179827799329 -0.028760162344293804 -0.04022745527989167 0.09863696333135911 0.06416308895500884 -0.15820262189140813 
5 5 5 | 0.4000430404341504 0.12454775723319875 0.011288396310289365 -0.0475611244423018 0.0698684202451401 -0.0628772928181087 -0.03566745191292586 0.030959656220511254 -0.19721721534576905 
6 6 6 | -0.35158481639857175 -0.05843749667311767 -0.008374954519777255 0.008242294754292423 -0.16762285791577297 -0.08900071108575168 0.10139973832396308 0.040957607875257165 -0.10788519318055273 
7 7 7 | -0.5830972441203492 -0.027865743755610933 0.06249700066810918 0.09339818182154905 -0.03659780377910622 -0.011377491270698016 -0.053171760227242224 -0.04990274645560051 0.11938500301610365 
8 8 8 | 0.14776225705588242 -0.0034373397973767035 0.031309373093785446 0.04378828823568569 0.014414465200358361 0.008502712377020038 -0.00023737525868664297 -0.0006316158672929964 -0.0018734217567957683 
9 9 9 | 0.16825606514332436 0.04027902150176908 0.028011412091882532 0.013993933190791898 3.422402759913573e-06 -0.00464673038897274 -0.013702841616782094 -0.005087196974637201 0.011077563538944834 
10 10 10 | 0.14822996641845676 0.018682533713361434 0.00794485446658215 0.04307591329632725 0.01215351624186737 0.00047442122567647126 -0.0026899996883532574 0.004831068528815708 -0.009018837735436224 
11 11 11 | 0.14656254658122414 -0.00833673599197133 -0.04693971886774496 -0.005168754513926619 0.0008199089544307875 -0.013694558062470769 -0.008021460849245982 -0.007599396634920318 -0.0008801557606219774 
12 12 12 | 0.13782412270226296 -0.041668153088757355 -0.028989987151180494 -0.017925740802042078 -9.660857196710063e-05 -0.007744593824461285 -0.014830635994192286 -0.007616621957350643 0.013811282012302873 
13 13 13 | 0.15313954644827021 -0.00973108955606205 -0.032117612516915604 -0.03637352471586521 0.01122942772511992 0.013150234866899795 0.005799089407751438 0.003634167148314861 0.0015722477609025661 
14 14 14 | 0.4414402057002762 0.0012576847951959944 -0.013149789499913833 -0.018321085626211774 0.012930175914037282 0.004775883352964246 -0.00890456723057783 -0.002724843385181088 0.004291419209365115 
15 15 15 | 0.15249124756467702 -0.024208042995193746 0.034155577757359584 -0.023899143153323574 -0.0027969412189688177 0.01024635772299356 -0.010770034350546479 -0.006725497839358342 -0.0015935006911856568 
16 16 16 | -0.14190684728494585 -0.008493767044353643 0.03162415482233159 0.08671391479730027 0.0437387316645529 -0.07086217629321391 0.05810141554625404 -0.0065753055270099435 -0.04374801666120502 
17 17 17 | -0.4374459306624079 0.05397587129895762 0.05184236820978748 -0.03606321547253858 0.0075300784311725134 -0.017743458894026943 0.08816063165081468 0.061825332043345636 0.05614624656885623 
18 18 18 | -0.43909705933820575 -0.0408932167130941 -0.07514194937323228 -0.004061362945426816 0.03744604375002904 -0.039110261779033206 -0.062170991624718314 -0.04741017069965384 -0.08461534420829354 
19 19 19 | 0.10260985804883627 0.042714729219608234 -0.029255061510253907 -0.0023542274201053667 -0.0032054804641366654 0.025180133904349384 0.0025022930674909096 0.0029448845570022044 -0.010805202257513637 
20 20 20 | 0.125845333058767 -0.035304590175986555 0.018379379599650345 -0.04056614565765738 0.003129681523733325 0.009147268837033016 -0.004069101867884079 0.005986257527067945 -0.003451124524807891 
21 21 21 | 0.13120332500648868 -0.009588294774926176 -0.036096350587250005 -0.03143410831810795 0.001626012468647922 -0.008204016233905249 -0.008169772614670641 -0.012267104073511892 -0.006429766158681494 
22 22 22 | 0.13417968135982594 0.025773854999919438 -0.019856859174804255 0.033672674562767055 -0.0017129631524560698 0.003873000492946774 -0.009312113828794693 0.016538755905714422 0.002524583752320464 
23 23 23 | 0.13628964432407598 0.022621769022477534 0.008312763333197797 -0.043858791291266595 -0.006738878455794041 -0.004264545461119418 0.006870702107388691 0.0003394030164647049 0.00906532136199424 
24 24 24 | 0.12650587951730397 -0.03948519098231279 0.021888315889168935 0.009600229095482957 -0.000928335499186589 0.018908651492279716 0.006659653183214213 0.0018403903914667851 -0.0008009261180831702 
25 25 25 | 0.1330440402476033 0.03369722205375713 -0.007892121683720204 0.03255669019271291 0.00879054209408849 0.006880770423603359 -0.01375463555430121 0.009324858299047752 0.0004996831581391183 
26 26 26 | 0.1303479010191415 -0.032878026712352994 0.033269524249925735 0.00311079031795078 -0.0053067688792371925 0.015106050900319435 0.0009720901417732984 -0.002396519450873073 -0.011838567983558498 
