number of atoms: 27
number of fields: 9
Multipoles
---
0 0 0 | -0.37348832609580285 1.0201087106917075e-05 0.048856070462197684 -0.0808380735557755 0.04772570376694339 -0.0016551651877607554 -0.06265140651077385 0.030750404117946436 0.0753306928217575 
1 1 1 | -0.3947679560474331 0.007129008445871433 -0.05611355076128254 0.08754979762136654 0.05397627425914087 -0.011527505406549258 -0.007898142160111239 0.0664707382816068 0.10046844706785756 
2 2 2 | 0.117897727914137 0.0350575716786392 -0.03269134553152117 -0.00910644894704687 -0.009762604577166505 0.008070674683104562 -0.007132308127363136 -0.012338392765779393 -0.0033197746498158953 
3 3 3 | 0.14070162843885203 0.001509174145550536 0.04233026755482418 0.028776617910061135 -0.0043861738974352495 -0.0018739206689127907 -0.006963140618754503 0.0006668990586586598 -0.011395936577996467 
4 4 4 | 0.14631778563952236 -0.04829406807265789 -0.01970079464849602 -0.0011401062771545564 -0.004041564278756272 -0.0026137353450979327 0.0010833674682745988 -0.012456788070788961 -0.005740196439872486 
5 5 5 | 0.12246929556079678 -0.03617025381719224 0.03001065910248758 0.0182195356994596 -0.009320123368989906 0.008108278231840254 -0.007000237999295904 -0.010821641199636982 -0.0004193831752634637 
6 6 6 | 0.1225419681988077 -0.0068083252950569976 -0.038717106226676345 -0.02978443355297273 -0.0021934698289807044 -0.0015055580494718857 -0.003086467750499218 0.004708654220096543 -0.017989941551530227 
7 7 7 | 0.12235017187867625 0.04605976508346762 0.017556280820411507 0.0100497042867119 -0.00871047891704369 -0.011875074867145301 0.01220572811768575 -0.00822284207767775 -0.0005900062605869983 
8 8 8 | -0.4250894912102501 -0.04182195914519143 -0.0585732667642006 -0.053538422262664226 0.026493305360050262 -0.055354180077632216 -0.0487657051551071 -0.007691560808539023 -0.10612932507650318 
9 9 9 | 0.24575143104844877 -0.0032318336340594863 0.04277905778257996 -0.016160707784083485 0.12390273368260216 -0.08208374466785695 -0.14052077013791978 -0.030227864847924456 -0.12717988575380537 
10 10 10 | -0.07316233268625094 0.013385581715634979 -0.00662012520316258 0.0365753704291396 0.14391002062881844 -0.014212807562809182 -0.11740253415045236 -0.01660443536849804 0.12578429168287283 
11 11 11 | -0.014048875174406561 0.038254877403417174 0.03361188840086037 0.0714216129996771 0.11749522215514012 -0.05018278900783055 -0.12347635175957195 -0.024227823395748013 0.0029083792234060072 
12 12 12 | -0.11560100507267368 -0.03984294929906495 -0.07182118957867337 -0.05343728429378267 0.07553458460399706 0.02113033056630619 -0.08037015525400679 0.06312545777282388 0.1224151650489553 
13 13 13 | -0.2286635461575628 0.010145735737460389 -0.03669755596480171 -0.03759426732965208 0.18737250695260696 -0.08902988914583047 -0.1286790184093601 -0.0316030984549826 0.07863409952823742 
14 14 14 | -0.20164960427156053 0.07128594526696487 0.08198640674380023 0.032476537548955485 0.22507116076279524 -0.13990790001732617 -0.12514313101348573 -0.01793391534778752 0.12250103936382248 
15 15 15 | -0.11436183990795001 0.024113960682675736 0.025445498266075277 -0.021344408812676557 0.13936974851585607 -0.09203407370399026 -0.13713535788792616 -0.055585871414498646 0.08166142892665171 
16 16 16 | -0.18963836639128928 -0.010776581276364976 -0.01412851172767182 -0.06903151652566013 0.12044024726107776 -0.10835318951162251 -0.1269978724518828 -0.10918295366702324 -0.030903573075445057 
17 17 17 | -0.3946734934445999 0.031238124072957476 0.021785618952078662 0.04404577347052014 0.05226239086018968 -0.02831071998777425 -0.06860971266057571 0.020064302453676727 0.012428530593894078 
18 18 18 | 0.35402776626143273 -0.017885262629440048 -0.0003127333783407566 -0.03208916343957795 -0.016586784281230768 0.004288209710242008 0.009296139130354104 0.014787002561207567 -0.006242279997823093 
19 19 19 | 0.16209233086886254 -0.02316361028200481 -0.022065063418017287 -0.03662324336411404 -0.012967913973874366 0.007566310228527885 -0.004364028014960009 0.009588680226050724 -0.0057522301789156 
20 20 20 | 0.13829256333619833 -0.022649307031709625 0.05375063430516692 -0.005182694481989574 -0.010743396418046863 0.00962693924717394 0.024912576829870945 0.005581715312999166 0.0173749257620597 
21 21 21 | 0.13951052428709265 -0.0644127325768438 0.020125630189981154 -0.017192127737436072 0.004056018334054725 -0.010539403572144801 0.01334164946747159 -0.03573242946374917 0.02017029170342369 
22 22 22 | 0.1348163550339495 0.01660431116830934 0.014821874321616683 0.04778054803216817 -0.010554669386952981 -0.0015892311006807983 0.0007595241817929929 0.0066685515756466 -0.016610056603420728 
23 23 23 | 0.1437619142336336 0.03752732944007327 0.00742337317723842 -0.03278722169038762 -0.008172375625232936 -0.010049941879167872 0.0042064914680973306 -0.006372577170747503 0.006596766089636609 
24 24 24 | 0.14550014252902888 0.007876041428333643 -0.035977246860909175 0.031423431614990775 0.0024280277723311497 0.007092469550730853 -0.004521340251558431 0.013245841333027704 0.013057648704409957 
25 25 25 | 0.14644115158525983 -0.01797581410078667 -0.01601540028256277 0.04883963717326465 -0.001763333308812501 0.018114142901435072 0.011872081966935316 -0.004213197273168711 0.011379532677087674 
26 26 26 | 0.13997010690932732 -0.04101511083801955 0.027259012452057106 0.003017130180658302 0.004535525244516414 0.01196549174667828 0.00756025477829178 -0.009198343325498872 -0.002081968318404948 
