number of atoms: 24
number of fields: 9
Multipoles
---
0 0 0 | -0.671865734938061 -0.022433259102870036 0.0038733734680370282 -0.018046539544622986 -0.06366457026678833 -0.05602896750697571 0.022873783691875257 0.07733141702154796 -0.013202971298258846 
1 1 1 | 0.8748238667055173 0.05709662661585202 0.01225209275642579 0.0013557532029966864 -0.1129060271360949 -0.09656333893482799 0.030374451624963276 0.1561681366952272 -0.04786299917753972 
2 2 2 | -0.6470112967432353 0.030946162463182686 -0.006916325962444673 -0.08041565389179511 -0.15074787320575497 -0.09633800463531317 -0.010581442594764132 0.10166920650001028 -0.019663728552200856 
3 3 3 | -0.9468583056710447 -0.0024518381960837816 -0.0118144195937632 -0.006002664783523057 0.031361671045335174 0.007139281971372926 -0.03937759374131271 -0.009298578953926662 -0.006232667761976655 
4 4 4 | 0.1714154494350546 -0.015610757002832348 0.03464134547179202 0.0192339961207649 0.005511512938495885 0.007689564875482369 0.009793005619039834 0.003135201109585063 -0.005539442636931421 
5 5 5 | 0.18740766278458743 0.0022638637027113623 -0.04072665651399985 0.018453846253715583 0.007694868684035511 -0.004640382148172737 0.00524339908452824 -0.0012991192173598424 0.003881356797966279 
6 6 6 | 0.4228094174249394 0.024391047562879634 0.003292310373056446 -0.007404365809355033 -0.005396371442137336 0.0011206573856022701 0.0031386058134773476 -0.012438961183101241 0.006148311897035973 
7 7 7 | 0.4077143882079852 -0.013903499300325634 0.0015897175294109678 0.022450438465059494 0.013959197466643807 0.009720890334320593 0.007777450386074115 -0.006935907796037209 0.0054703687179624835 
8 8 8 | 0.204672035430847 -0.016497544832944785 -0.001650585377023541 -0.04041142315590792 0.0039483662560936455 -0.0011294857372856275 -0.009024966413628046 0.005529980910422242 -0.0029788086432033433 
9 9 9 | -0.4745858408140702 0.05362565786411833 0.03828898564557964 0.016439066155992558 -0.08355373800407051 -0.05292157625857358 -0.04221105918893498 -0.044730367843651586 0.010419174275218058 
10 10 10 | -0.12607708198731693 -0.0073765946612536016 -0.03621420280952387 0.01671775367780545 -0.1817536257864022 -0.042330329564862185 -0.10363522975781227 -0.06830816527894462 0.10629303876248442 
11 11 11 | -0.20825296643636104 0.01747692050313038 -0.001205744248549466 -0.004704741696179613 -0.03361804690572811 -0.0955658193625009 -0.022872188063360877 -0.13642884106543415 0.1278906663682221 
12 12 12 | -0.16875438767507855 -0.02965424350129887 -0.01546377148549905 -0.004252844726121139 -0.024665002503875117 0.054289330565935656 -0.09353842018020411 -0.1322204591824774 0.14235380869837527 
13 13 13 | 0.14533292196223346 -0.030791151871846504 -0.01829820236306647 -0.0027986862554937476 -0.05451170223773857 0.028229887920881797 -0.10348772498581958 -0.16510972847865482 0.15896488705626316 
14 14 14 | -0.12809761248187712 -0.02853455626538882 0.013938048562887217 -0.013095412494863878 -0.05218529602618494 -0.11951676759619387 -0.026860348098961796 -0.1488749158814395 0.1027395773776923 
15 15 15 | -0.21003831184522337 0.011861258480727502 0.015424812583308642 -0.008789775163821026 -0.16028780156860545 -0.002897862206516282 -0.0956722151898799 -0.08365797663898081 0.08631191475350912 
16 16 16 | 0.16854392810985552 0.003158730793680477 0.05646740295761664 -0.02172220119248637 0.009963035673414028 0.00019798278584910533 0.0058116501079239205 0.004685695971569406 -0.003710476474381768 
17 17 17 | 0.14580656977339268 -0.04036945305474741 0.025063943486311187 -0.020106790257466988 -0.0013151125221028694 0.014625494138922014 -0.0029906327018850713 0.014619491774848418 -0.005088964339861395 
18 18 18 | 0.13768950124917523 0.04811102118289282 0.025266475740823763 -0.0007247665430437401 -0.0021540324664260737 -0.009808058093693414 0.0060756900625704114 0.010042274663785133 -0.013370433725075155 
19 19 19 | 0.1332868388276045 0.04456959692628818 -0.027958190192029986 0.015268454159620363 0.001407721012825447 0.013974053003766121 -0.0020205384479980385 0.012781590057307963 -0.005879575463745025 
20 20 20 | 0.14443755767363697 0.014631097186132043 -0.037748694100551934 0.021047296652118606 0.012967611112852875 0.006389858600465619 -0.0007411878075820592 -0.008120047950203923 0.011054720656874397 
21 21 21 | 0.15016510674773553 0.004284281995086735 -0.0022845203982549867 -0.048923080667136506 0.0037140283731792374 0.0032597883252879324 -0.014385670198458114 0.007481048997844 -0.0059267914968236315 
22 22 22 | 0.13742378485746531 0.0012942216421532972 -0.04899913104751092 0.01449701070598481 0.018671601134430758 -0.005123840820979794 0.010422219358724925 0.00023545685242983057 -0.0015965908967126197 
23 23 23 | 0.14856790448723767 -0.03318740722721177 0.025045554046066044 0.02270373955137934 -0.0043756442877316845 0.014144631305459149 0.00489595195252992 0.004457733397433358 -0.0001837055891889487 
