number of atoms: 24
number of fields: 9
Multipoles
---
0 0 0 | -0.38245780315330347 0.05278565108662397 0.03915186464540995 0.07916424875873997 -0.011788472778388431 -0.023277831479169238 -0.09933660704892318 0.05687030015844592 -0.026332594172147658 
1 1 1 | -0.382593815613129 -0.06301989910135197 -0.01456897777312829 -0.08622761089040637 0.01725908342321009 -0.010260404386336729 -0.11684929951594852 0.04739510056083919 -0.057236534483807604 
2 2 2 | 0.1220474862167007 0.026450831333667817 0.0246895253349832 -0.03363077276109644 0.006837991872837288 0.006159344183646952 0.010215647693446584 0.004861399276625478 0.01280596974704193 
3 3 3 | 0.147431114645305 0.01310717533006987 -0.05203426333399553 0.003940876299445347 -0.001999159738526159 -0.0020853527906229143 0.007125116117392636 -0.00540027412363269 0.0005250330990626778 
4 4 4 | 0.12504262952275613 -0.04328222810553282 0.016408228592604067 0.01965594530385342 -0.01457140039950309 0.004778392775567037 0.002031596120792895 -0.008437033995842193 0.007051283811212548 
5 5 5 | 0.11039305838411839 0.03989279023717931 -0.006958855314164086 -0.028848875500741493 -0.01845496978291142 0.006856992750038513 0.002269113112347229 -0.007363985662207013 0.0058418110918780535 
6 6 6 | 0.12774088635387426 -0.0229532759492127 -0.037810351933138184 0.027607443311330762 0.0073350299639391965 0.008244201311033041 0.005766338320212859 0.004635165558418935 0.013440114172550371 
7 7 7 | 0.12950699231710916 -0.0201120616708959 0.04570351638544661 0.006292883268706093 0.00669321206363098 0.0004291395866499287 0.008950081211171199 -0.012180560704955695 -0.005287654084497773 
8 8 8 | -0.4658874949487899 0.024931232390847716 0.022214859833782952 0.06133110947104026 0.056931431114644736 -0.05054397863210834 -0.021620800233771584 0.045273852552661364 -0.04732625509514404 
9 9 9 | -0.3410187621476437 0.004803732794445497 0.014998581738363376 -0.05795688427699632 0.11223444265997501 -0.14704182445654282 -0.018495391915341813 0.17063174724717475 0.008301017390642342 
10 10 10 | -0.1351968277886746 0.010671664086760534 0.006872995424705998 0.028433294485774478 0.09203284320360317 -0.1707966530919714 -0.03744586252436121 0.04358039535902134 -0.04456105858567198 
11 11 11 | 0.42074051477362584 0.011038307420547788 0.0159595831727174 0.13269717156642763 0.018086963622303266 -0.19812726334571665 0.019076517688934775 -0.09612322233819089 0.04413425596911514 
12 12 12 | 0.07268015947304107 -0.007563158818296329 -0.01712072657580798 -0.04146864530332128 0.1005736107248881 -0.2215565554100116 0.025297666045669787 0.010399541024526476 0.038126298865316 
13 13 13 | -0.2908036876700928 -0.009096595379233971 -0.018030545535961222 -0.009748643755837507 0.07904826492654517 -0.17368125643093 -0.028433517402328547 0.01266635282388339 -0.034943194025191575 
14 14 14 | -0.1500648645953646 0.012516746751376649 0.005067907473099938 0.015745011616036746 0.1182787218309103 -0.13183218569304309 0.02270575574989145 0.10836464405450986 0.0431358563761885 
15 15 15 | -0.6033198997064559 -0.06387649118423804 -0.08084158093493578 -0.04662633892661547 -0.022590278849403983 0.10228248760905637 0.03376476024946237 0.05889625224460428 0.06509340444938543 
16 16 16 | 0.14791045906399258 0.025744852884373826 0.0407045170451457 -0.006517936916516592 -0.006213726580289887 -0.0005582660641113022 -0.01057677634870892 -0.006464106181942781 -0.013203662772363576 
17 17 17 | 0.13568423238004124 0.019629662511817213 0.029721292422359418 -0.03894045693191615 -0.005192463769053162 0.012348256360060176 0.008702773661859165 0.0012151061088355305 0.014345240053324663 
18 18 18 | 0.4496483571122145 0.011791631476787263 0.017765288441065268 0.005604372175840028 -0.0095051086921731 0.003972045946758518 0.0018388860938110393 -0.011444330674601925 0.0043819560969213436 
19 19 19 | 0.16930940548095252 -0.02097066155752604 -0.024308015555424424 0.0379817523123999 -0.00416931973042176 0.011640566125009483 0.00757829039665459 0.00042431591910572375 0.012076349301931726 
20 20 20 | 0.14895787435531627 0.013560909634795271 0.038033836004428466 -0.022956682122407805 0.002187173505117214 -0.005559229043746638 0.008890525338219647 -0.0038383043078793772 0.014580452339573339 
21 21 21 | 0.14847930796790154 -0.048291829343480155 0.0007021468164865782 0.010332608543859905 -0.011561272023415352 -0.007568914331251811 -0.007684098830651163 -0.006021564685870148 -0.00037430304472041046 
22 22 22 | 0.1431623134220602 -0.028997922242653976 -0.04294914916244415 -0.010620269209915358 -0.011853478522169603 0.0022250273385463915 -0.004493586937548102 -0.017708767017197584 -0.004413807086595935 
23 23 23 | 0.15037700279405564 0.026078339320010642 -0.041621262980415484 -0.002331945688550754 0.0010294458754922609 0.0027257188829406904 0.007284203817766461 -0.010660322330693575 -0.00898605590611697 
