number of atoms: 16
number of fields: 9
Multipoles
---
0 0 0 | -0.3732556132215086 0.0028888802551630356 0.0932641519793697 -0.04312002144560614 0.0823330563952045 -0.01820906011749801 0.0036291415913501527 -0.05627571045298652 0.10932005439085975 
1 1 1 | -0.3741777944918079 -0.004757920089418966 -0.08617900840530889 0.05297745707208865 0.06937764917765812 -0.0037361004408148356 0.006203399514832782 -0.07642974518293438 0.09127027490244542 
2 2 2 | 0.12189302162153737 -0.0005540934838498798 0.021731605405628983 0.04494113897705529 0.0005312788652181025 -0.000507298755858286 -0.0009791606492836882 0.019280991792419207 0.00026021486358169643 
3 3 3 | 0.12051790574263443 -0.04420010941304218 -0.010589180297099984 -0.021070640886187667 -0.00807931795778068 -0.01481474920207263 0.0020367039645996245 -0.001919472669600125 -0.010062451483488036 
4 4 4 | 0.13268129844053855 0.042234952856294215 -0.01935237949409243 -0.02014780027292259 -0.00714828230160112 0.003128474957282842 4.178829764515111e-05 0.002993799456470035 -0.013209191851413246 
5 5 5 | 0.12268297722122312 -0.004298290364229551 -0.024062539998965893 -0.043557824672989784 0.0010491068748560322 0.00011193902883105977 -0.0007912883534518801 0.020431263426578864 -0.0016929722876457924 
6 6 6 | 0.1241318995712164 0.04712521171030888 0.007736373553487745 0.018173517595855976 -0.008007979153534186 -0.015332108734369618 0.00214722899224894 -0.0021362067047362926 -0.009920707349399094 
7 7 7 | 0.12628347622198755 -0.043202014319148344 0.016087067391068428 0.019116553417745555 -0.006843033759143616 0.012992419726823504 -0.0003742104653836527 -0.0014326530758763407 -0.012442524350825473 
8 8 8 | -0.3815488098300346 0.09732428085547677 -0.017200612151888284 -0.010735661074210224 -0.10154554034452375 -0.00243647747148743 0.018816014504633948 0.00048466289158445494 0.0056346624467656595 
9 9 9 | -0.3853938349920023 -0.10098237512961439 0.009585010658744604 0.0064427163896544435 -0.09867971478935432 0.03651272435301358 0.014928002655813793 -0.010811570842539224 -0.0003632905508597694 
10 10 10 | 0.12622012338402389 -0.01047807846944334 -0.04718803942204067 0.014797104262947983 0.006890997940114351 -0.015130399139231402 0.0020153454234575355 -0.0025885129795560316 0.0028716013724489576 
11 11 11 | 0.12965661308878684 0.003131153386863509 0.03516016656130818 0.036330061820440504 0.013298362556012817 0.0017855370278358116 0.009083673531664227 0.0015153814654721904 -0.007824968426864974 
12 12 12 | 0.12918520046529358 -0.00853215353395518 0.01545474211660425 -0.04766393791574615 0.008481579684839428 -0.0018498883933922871 -0.0129838438814698 0.0022860779619840624 0.004609845237806184 
13 13 13 | 0.1305643829360209 0.0033673333899382424 -0.020716717959782572 0.04656653818536894 0.00856689838421005 0.004129528905184178 -0.013909320280093451 0.0009937791209527773 0.005674918837481554 
14 14 14 | 0.12688799053325894 -0.00018753602321344335 -0.02701566917027117 -0.04314544488863567 0.013622437441207174 0.005082729322841413 0.007908344191581592 0.001118366188989262 -0.006633493050778419 
15 15 15 | 0.12235052039082273 0.01206308483234616 0.04872446640827991 -0.0048984531939338495 0.008354341650078022 -0.015013888176445058 0.00012715356463516604 -0.0048296013556727024 0.0030029572459047485 
