number of atoms: 20
number of fields: 9
Multipoles
---
0 0 0 | -0.21715431211034808 0.03308158666962491 -0.015948093211504935 -0.08365053084422193 -0.06319842418677275 0.005795345938114238 -0.005960484447882716 0.11043049702511268 -0.009784958074412972 
1 1 1 | -0.4039680019716938 0.04633592228664635 0.025320226990108653 0.08083991392914237 0.064034061822534 -0.008296929458018045 -0.04851669212255168 0.0799592619147164 -0.01605045787242879 
2 2 2 | -0.4162310553084847 -0.0009794642840126706 0.07401471546362036 0.018844498475364613 0.09494957517199396 0.046861634692610794 0.012852222478940767 -0.0818560986992836 -0.055758546296258066 
3 3 3 | -0.18602742381825266 -0.004412522608812942 -0.08899670381178103 -0.03163217735903476 0.4938232472866694 -0.3639916897020086 0.21770505262287093 0.5052355856047672 0.33719872418609226 
4 4 4 | 0.17135821751507874 -0.01283228601909525 0.05474008994307661 0.007482088428038913 0.0036050230723371065 0.004963190114538604 0.015241302277016646 -0.00041799502810884685 0.00035035234378637356 
5 5 5 | 0.13516016526644514 -0.017166346382507944 -0.04246639978491272 0.02455335449952561 -0.0014357610912715344 -0.01414585384332166 0.020881012282471696 -0.011087327881139744 0.0056291555048337445 
6 6 6 | 0.12812620725916601 -0.04032993821267168 -0.026242018188715303 0.013942528832138885 -0.01234916483180782 -0.0064182815066727815 -0.0010184673964112338 -0.009463263572610717 -0.0012782651120537734 
7 7 7 | 0.14591982428155537 0.041636394732127616 -0.025031426541929042 -0.012212572325980576 0.0050786297146686666 0.0035098890644968722 0.013030423905162687 -0.006242832192322124 -0.007975192996972674 
8 8 8 | 0.15065526572951882 -0.004618720454244806 0.007834996761733633 -0.05013252604024942 0.0009817119125241638 0.0009586921617549393 -0.007354150114736551 0.011085268993822454 -0.012846068405896013 
9 9 9 | 0.18019965943621152 0.04817816641998717 -0.006595395211849756 0.015525766648813265 -0.007450549257489442 0.014433745322079963 0.0020928295138487405 0.0023451018057921162 0.006878344719373314 
10 10 10 | 0.15856074870560155 -0.03612849335526345 -0.01730111884046529 0.030043482090587343 -0.004481304451206508 -0.014470080819638756 0.0005507582084985487 -0.008353259718225599 0.009630559733266542 
11 11 11 | 0.1381240783721972 -0.0038954355684779384 0.045556717692123334 -0.02047324369752268 -0.00039080279445253847 0.005951036689363094 0.006036066135607997 -0.0075289343291006 0.013141224039825641 
12 12 12 | -0.3680543509944858 0.031109340894335206 0.028459940897356373 -0.0896450354579452 0.05331316830233213 -0.02640290157184645 0.02799859536926082 0.11548371240091648 0.026403454398137585 
13 13 13 | -0.4038062002073186 -0.01837135998958476 -0.011564650969792286 0.10178574420185396 0.0525303121131539 -0.06608066160189682 0.0529286101641968 0.06660789988106325 0.06140639526215393 
14 14 14 | 0.11968972194682437 -0.02229538428174574 0.04326425750605676 0.012606403297239964 -0.0036900869670995896 0.006580404139139989 0.0030756213756718384 -0.0015384113540483284 -0.017761032693467214 
15 15 15 | 0.11823158591706528 -0.030227159156295053 -0.037184140920722426 -0.009197410554463999 -0.005860897422143105 -0.009040586906016466 -0.0018261407435966786 -0.007303913718949305 -0.007662954529968689 
16 16 16 | 0.13382172889782162 0.04868047446034828 -0.012835291492774447 0.012734847668712272 -0.00021849930519284748 0.0033373618033440025 -0.017168798673814017 0.0011782891034327406 -0.0005859004035234635 
17 17 17 | 0.12232438761178765 -0.047223083750986786 0.008513579385344906 -0.013552306859672939 -0.0013696010654721232 0.006637297147000336 -0.016854093212828596 -0.0034165738410185964 0.0003261038132981444 
18 18 18 | 0.15712655214518234 0.022614174609956957 -0.050669324083646515 -0.00937021747459169 -0.008288913873392267 -0.0027195540807965976 0.0042294111419702955 0.005069950835432593 -0.00610061795012529 
19 19 19 | 0.13403542419550019 0.03007311494089018 0.03780179603857653 0.01015454378078876 -0.004822346566462111 -0.007015189038575398 -0.0006877544446031954 -0.01555105241296564 -0.0010288974946918213 
