number of atoms: 29
number of fields: 9
Multipoles
---
0 0 0 | -0.19060709804564446 0.11428741018018707 -0.0751752424102429 -0.0772927509046817 0.0852101647850058 -0.06203492350886672 -0.07375221033910022 0.07230303952764515 0.07603773542271955 
1 1 1 | 0.9556337817327956 -1.212035514601415e-05 -0.01836348346897953 0.02033525855618167 0.02529262126741083 0.09117180889365298 0.015293594524713308 0.07364780409542544 0.046383352173994155 
2 2 2 | -0.5885485397032211 -0.13062097600455155 0.07944461944296913 0.03333842886191615 -0.011045976546882963 0.03245855097483606 0.0002516526820065178 -0.0006608078106072852 -0.003205435716281319 
3 3 3 | -0.906871714274093 -0.01476709356938648 -0.019444487984455996 -0.0009416117391963953 0.01622274308941294 -0.029039884811120756 0.019987723044672643 -0.02588765645601896 0.00315754900478265 
4 4 4 | -0.916196173745754 0.01953899387298549 -0.021214164996897808 -0.004176098610719951 0.0019870769039787824 -0.027208346615644405 -0.03409770164494225 -0.02291617257570421 0.01391405737709331 
5 5 5 | 0.39710205122516506 0.0034531054027464353 0.0080408414958797 -0.03481532769861394 0.0036240099992877585 -0.0189647492194168 0.0024555258672600247 -0.000719405085220015 -0.007814984910955215 
6 6 6 | 0.44403589413215916 -0.021776691994401246 0.014571211681215196 0.010531506929449284 -0.00812231927778268 -0.006433286335621204 0.0005102440132818667 -0.012364513284865434 -0.0064139494612706835 
7 7 7 | 0.43787386836806985 0.016458047850244184 -0.014877995121124409 0.017828866002549855 -0.00048614391108072624 -0.008492929297354389 -0.008851770462473516 -0.011387073793208234 0.0020863818452967206 
8 8 8 | 0.44338862956886815 0.008906097123834788 6.090255597569709e-06 -0.027090885690302074 0.004450255552069163 -0.015020987431122328 -0.001963288034389258 0.0001337869703522026 -0.0019333100304317994 
9 9 9 | 0.4470802954853057 0.015668340630469853 -0.018115727830015582 0.014820914196066353 0.0010112383003529246 -0.010235106650585057 -0.010859433505426001 -0.007318174595430714 0.0021948896098202106 
10 10 10 | 0.1268251358200897 0.024424518545082385 0.04825596741301649 0.033158979008509434 0.02056963760840134 -0.010809783081954452 -0.008618315865450239 0.008072936349866769 0.01112258285747738 
11 11 11 | 0.14406867506339283 -0.04463886437100804 -0.04139864514872988 0.01955808593914589 0.00947403851233903 -0.01416442699465972 -0.011468173708651531 0.01253577832083359 0.011600065088247916 
12 12 12 | 0.17580776852754332 -0.036288009915196144 0.030815387363407727 -0.04282065199162205 0.007950440380486035 -0.017202404669344716 -0.01002914025959278 -0.000586696186550484 0.006063527558094002 
13 13 13 | -0.466460632484071 0.044284962989285394 -0.03259121876794487 0.022507061867738522 -0.07104707596112161 0.03815147327545272 -0.0076059699323061504 0.0346415170282705 -0.018882332834907978 
14 14 14 | 0.3814923143235145 0.10583192702877753 -0.07836968290445068 0.035797436269760494 0.11235359784992716 0.03563373369782183 -0.0001615501207670323 0.14100276198134287 -0.140219788658678 
15 15 15 | -0.38231357134853905 -0.08295717975768267 -0.029506616937796524 0.02741572812178911 -0.1339373427820418 0.166889620600953 -0.07974222964170871 0.04506025603942749 -0.08124745238515653 
16 16 16 | -0.28686028425034316 -0.030859934252058536 -0.034554479372771854 -0.006033916987369944 -0.04202031947855305 0.08979550376200231 -0.0893241274812043 0.14449140285756573 -0.07501011344549922 
17 17 17 | -0.12430392686731029 0.005399290182196359 -0.0475041201966864 0.02379884160803484 -0.03593036538310736 0.0872022763311924 -0.09976065808419571 0.12541054457140832 -0.09885018133232149 
18 18 18 | -0.13029630840673612 0.0021721806350953683 -0.035895242494977976 0.0189677600202079 -0.09369072260289264 0.1712720089772616 -0.02518600401546733 0.09524946355767504 -0.10100876661466174 
19 19 19 | 0.08961321879649642 -0.04380736055537744 -0.008508988540001443 -0.008789877900683285 -0.0246480554304355 0.13633955187791336 -0.02192283848205039 0.15471122154654585 -0.1669726101718138 
20 20 20 | -0.5874326413327253 -0.060803704706129676 -0.01879048600503427 -0.09742989240491458 -0.015731810780115766 0.03376987601213605 0.06552115482124106 -0.09528649822658639 0.031170280890463597 
21 21 21 | 0.15408540156634243 -0.0073586803625445936 0.01074210136146245 0.04922370726863344 0.00479599649957614 -0.014186852464939103 -0.012950357763947404 -0.0011695089388254884 0.007150935175585334 
22 22 22 | 0.4380522555093046 0.004510285102666106 0.0023198446686244763 0.02179435363045356 0.010279979163914143 -0.007938755069948891 0.004090382616619761 -0.0013782126464258878 0.001495356913023477 
23 23 23 | 0.17005510427281179 0.02776961853829318 -0.030545278279745708 -0.030307659288941084 -0.000725120732309852 -0.00281893275411228 0.015669315728012452 -0.010628153089721473 0.0030177018420124474 
24 24 24 | 0.15269613618734568 -0.03803244093987184 0.025461773157377784 0.03201124659685703 0.0047966212027394685 -0.0045138246472154085 0.01629349412257875 -0.012706515557568574 0.0006280083263018405 
25 25 25 | 0.1510406508578278 -0.013037154043620377 -0.016545925837412198 -0.05066279132007304 0.009445388083042393 -0.012836095136685493 -0.005301924449948199 0.001463777098888582 0.006335210069889854 
26 26 26 | 0.15345928501723283 0.0026838454552174777 -0.013652531925356058 -0.04434759016052199 0.011513246309174982 -0.004459163838237758 0.004024514987608727 0.009798547480544395 -0.007662175709177512 
27 27 27 | 0.1479604180182319 0.006631753258268721 0.047565610489612144 0.004963995424367753 0.008199347809861505 0.005472622350781501 0.00787385141563612 -0.009121223375891871 -0.0015161810055755933 
28 28 28 | 0.16729905368076592 -0.03473967821482726 -0.025182697188226133 0.024925989318457756 -0.0027239917181161584 -0.006084272366879306 0.011507387009539814 -0.0012004814173499476 -0.004918063259969728 
