number of atoms: 17
number of fields: 9
Multipoles
---
0 0 0 | -0.3711607408498505 -0.02215877938413457 -0.053308194618120905 -0.07202521046261996 0.014630558146994271 -0.029560387552276055 -0.0461042248613026 0.054979286462843995 -0.05594392761295517 
1 1 1 | -0.39005999520313583 0.022101737407964662 0.0488503809466484 0.08309043793990617 0.04634757284670588 -0.03201820278465606 -0.03697790370299953 0.017410764194471646 -0.0947916383897282 
2 2 2 | 0.12828281816029352 0.04488811231682736 -0.02247550044556789 0.007421227679895803 -0.012446021144238251 0.00012987433236473722 -0.006570792420640723 0.0018869843087013878 0.0110159991673164 
3 3 3 | 0.1228967393459438 -0.003603636609592305 0.04403914536495363 -0.020611776976381706 -0.005221935367190705 0.00028304624622923753 0.003972774723362735 -0.013522152676357821 0.015252455374842043 
4 4 4 | 0.13209798888900603 -0.03886913518589988 -0.01267659284127577 0.03047156364789938 -0.0031876444687182703 0.005118221335783744 0.009776661981573974 0.006746390771809627 0.01201714854995152 
5 5 5 | 0.12472924648140371 0.042046499944732946 0.014987150364423918 -0.023343705378894516 -0.0012345983331754937 0.0065061827766815265 0.015972888082992694 0.007912321639552482 0.005320645645270356 
6 6 6 | 0.13422527248326344 0.001618339955439825 -0.044226902620930764 0.02506105249357654 3.836047070958188e-05 -0.0020802676941293965 0.005459419950177398 -0.01571624204403697 0.005566944500357215 
7 7 7 | 0.12230542241904141 -0.03931522905967179 0.028241408255662466 -0.011883420215790672 -0.013702051665486515 0.0036804267281943213 -0.007939994186806775 0.0015825501642919798 0.010962362775488755 
8 8 8 | -0.6815434174043764 0.014804713478721657 0.016588542185699117 -0.00616961096883666 -0.0049501369970820315 -0.034059231718341215 0.007796329617699428 -0.012727654162642245 0.07436107113379282 
9 9 9 | 0.8710520867661371 -0.034492141548376876 -0.04198695242304104 0.016134772947271253 -0.01430038885622256 -0.15602282158308758 -0.04968086750027465 0.07957675614120152 0.12526260230945005 
10 10 10 | -0.6441114144659537 0.02160289585317862 -0.014305457350623283 0.08609807477926008 -0.05621416837884945 -0.15373886892158437 0.005939202005709244 0.026129213071109766 0.08595357828996429 
11 11 11 | -0.9328775838728438 0.012561564326833008 -0.016079457797623695 -0.0055648320226220046 -0.038144459690369885 0.0026255467919570584 -0.00955914429471838 0.01369046565907979 -0.015487702918297012 
12 12 12 | 0.16182244732279571 0.001808754572462026 -0.0093911581929222 -0.03943662607720337 0.00935192366747918 0.00821243521312335 -0.004314942812633797 0.011115458598042806 -0.0021014374203076336 
13 13 13 | 0.20301567118887698 0.03733194074127445 -0.013553153774082892 0.01957043309254898 -0.009851719241156253 -0.0002047254851200374 -0.005809531130364894 8.37617762765908e-05 -0.0026726055270682655 
14 14 14 | 0.4148874734778416 -0.01306439521487784 -0.01607299123546061 0.015449867530058841 0.0012394258045427358 0.0011806403194860556 0.012859765398740834 -0.008278070619821899 -0.0015882377412536845 
15 15 15 | 0.406523741739506 -0.0023599040899835175 0.012501170934128298 -0.02345147567568589 0.008003334824700338 0.016619252723386324 0.004439948389476296 0.0014676530956231968 -0.003618585511447984 
16 16 16 | 0.19626357708818065 -0.010978149677004336 0.03906283640272213 0.01674815688165278 0.0043938168543730454 0.002971898036094939 -0.005648193980976734 -0.010273623725424817 -0.001033432566115579 
