number of atoms: 26
number of fields: 9
Multipoles
---
0 0 0 | -0.4771508256785113 0.04114041254639861 0.03398273798697341 0.03473386875792945 -0.042047989248721045 -0.02515047643710227 -0.05954234681036978 0.04240232912253064 -0.06452264117308854 
1 1 1 | -0.13166259409511394 0.013018514221382687 -0.019181773329165454 -0.02508731432979121 -0.19560820278920443 -0.04506906862817211 -0.055963536625932 0.07512400098619097 -0.11135077443924091 
2 2 2 | -0.15301390300694795 -0.022477419845058053 -0.013278359519717151 -0.019156435977462236 -0.11140308841368837 0.05352886234535647 0.09808673115463609 0.06956019558845128 -0.16072612889128204 
3 3 3 | -0.20146456543444025 0.01932868913920647 0.004970103530374896 -0.002728187522599033 -0.008683817442677794 -0.01278555143316261 0.0020547365609829 0.0824615399376782 -0.2248285871922038 
4 4 4 | 0.1506573086241696 -0.025293780780859247 -0.016052499669452797 -0.02550372327498368 -0.14291692729432234 0.03448254763858824 0.06554081611463984 0.0802080278219296 -0.19606240357431937 
5 5 5 | -0.1294691802223058 -0.0339546101729773 2.4949175966480757e-05 0.0023193107438110186 -0.01468115321466119 -0.027465411931012568 -0.03362593596435614 0.08804672194175292 -0.20684550988682332 
6 6 6 | -0.20344002687647755 0.004133490187877606 0.016516284674947094 0.015708988193429106 -0.18182676930255315 -0.029710766284628043 -0.02330184893870416 0.03518203729245131 -0.12621814195638478 
7 7 7 | 0.1406152834970812 -0.017107086378624813 0.03082968087374062 0.044685951455276866 0.012238658321068324 0.0026988843921990618 0.0038485696797412425 0.00422727992629707 0.010017543725686768 
8 8 8 | 0.13648689423866234 0.036332128823791845 0.02284250447084593 0.03373172700020028 0.009037702511913954 -0.007097282112232582 -0.012274778698472731 -0.00537788543395912 0.009337448636511168 
9 9 9 | 0.13756447874260824 -0.05002575151388191 0.005045899372208343 0.009479613330479465 -0.008078449027104943 0.001698977559701658 0.005016605682279395 -0.010374255199298141 0.016245769202967032 
10 10 10 | 0.1372836930068131 0.0547341629890077 -0.00405519494012527 -0.00941651164978038 -0.004708418642742341 0.0037033294222263776 0.004883741260678532 -0.0066225709030152255 0.01633383356097129 
11 11 11 | 0.15251885780810515 -0.028679123869646078 -0.012459768207377037 0.035956568437243375 -0.01056592547587958 -0.0006182689769509927 0.012303299727926629 -0.0011927771576998737 0.003882380158740425 
12 12 12 | 0.14710018291810933 0.030330938270375404 -0.03466865321510296 -0.011185243562568318 0.007949300536403596 0.008758408930359755 0.008993845563564059 -0.002069471946390403 -0.010678484887717662 
13 13 13 | 0.1389928361735585 0.018520874736613287 -0.025895263592884996 -0.0411547396492241 0.0198156430324973 0.003660722426733658 0.0066135065451643615 -0.0021815746513590977 0.001509662350340487 
14 14 14 | 0.1554700401152449 -0.010738056753975326 0.033171844072609584 -0.032992399655642685 0.0015734770888906797 0.010748539885926396 -0.0026754469133668064 0.006537434818811316 0.008562829433407254 
15 15 15 | -0.1522466272414995 0.011536352711298143 0.03288216965767536 0.06362178791329318 0.015022729026109629 -0.025357122171278168 -0.01719234639279207 0.100053616952041 -0.07916616274146358 
16 16 16 | -0.4437655507653737 0.04948373343496974 -0.0018166237590651665 -0.05798430548490531 -0.019918832523538522 0.02576040473502237 0.08626061805657269 0.05457945596391168 -0.03582301541498444 
17 17 17 | -0.4429190706311408 -0.06952135292396838 -0.017309850086617534 -0.03493367461700277 -0.04931301122658083 -0.057323614841920445 -0.0663389885357066 0.00999673223696577 -0.023460386643651597 
18 18 18 | 0.10693853915883766 -0.01028428089049686 0.03996955640546655 -0.033494630962435254 0.01904182177161968 0.002539423162029036 -0.008349761392890592 0.008755445035531122 0.009106498398993376 
19 19 19 | 0.11634473677731727 0.005158048120446174 -0.054844960986255104 0.0013691112107881726 0.01064206596035875 0.0006800483397187268 -0.005847038073102361 -0.004959517178700736 -0.002671741480156599 
20 20 20 | 0.14084981663732554 -0.0033569117390940444 0.04591549284036396 -0.010330168248392757 0.005159270116086934 0.00884169725741448 -0.007222426097649136 -0.012963053276691028 -0.005884657444133406 
21 21 21 | 0.1306271726765239 -0.028664159687637834 -0.033951374330573506 -0.020309637063500356 -0.01262534476791851 -0.010832628796131864 -0.0025092083271616586 -0.007187590880800754 0.004265091187285332 
22 22 22 | 0.13869610384156683 -0.006565737313704149 0.04513927186805895 -0.016219213695447064 0.010320393163171954 -0.006619132697898381 0.006589999709125583 -0.011714860377372334 -0.002246336698761979 
23 23 23 | 0.13413037788149185 0.028331500174979797 -0.031304518274249175 -0.026899549054367408 -0.00968526511156351 0.007132777175329041 0.009204866205178837 -0.0032293132256323203 0.003271997501141771 
24 24 24 | 0.13435689358578384 0.039710545728779224 -0.012452874135157688 0.02453983062725392 0.005661292864493503 -0.004168533410511062 -0.012627106407035323 0.014359722880908263 0.00714000319444244 
25 25 25 | 0.13376191715457897 -0.02184640318952857 -0.012978044413788182 0.03935983437718376 0.011227066745635634 0.0047968123006271735 0.0037630384373220937 0.014672380012005819 0.004722814020754583 
