number of atoms: 23
number of fields: 9
Multipoles
---
0 0 0 | 0.34275411659843247 -0.03104172357266754 0.04432565450539989 0.11861031534097201 -0.04727380189271366 -0.0466124226838164 -0.02147248605808891 -0.10246888780346344 0.030221868696477645 
1 1 1 | -0.5286859033388716 0.021071242875112004 0.0333486733774719 0.024938169436674915 -0.0997598371334919 -0.01822149813827939 0.04948207558928241 -0.04247789958730605 0.005908187840074579 
2 2 2 | -0.6070834974835844 -0.026695265960537527 -0.0168339742108892 0.0008830898495852834 0.08773812380069626 0.04489401171675624 -0.02391512907450284 -0.01721876976410511 0.0031914548120208497 
3 3 3 | -0.6403969967694056 -0.09041800490243342 -0.07528396079496162 -0.054857104444705505 0.0005404141141995652 0.21371700637617 0.0507729993818334 -0.01726572986263885 0.03956036347521954 
4 4 4 | 0.04755727267737997 0.04744675199734959 -0.03854899467450346 -0.015041967694126628 -0.004743767207553668 0.02211548169704334 0.011653446716501073 -0.010787292272646085 -0.008986476330023863 
5 5 5 | 0.15043153248212804 -0.0005658279225895476 -0.007087599505510728 -0.044267823290602866 0.00839806016229221 0.005340522356216663 -0.006589729733053835 0.011015597377855955 -0.004403619607487795 
6 6 6 | 0.16915406707937808 -0.029947737832753948 0.02322017989954721 0.01726129356812705 -0.0036082710779964736 0.01324468743108158 -0.0013752187477803668 -0.0017904124631137077 -0.012720712748640782 
7 7 7 | 0.15383082982346896 0.04298746129209902 0.011214030296455518 -0.0002226097780675671 0.0010124399551882737 -0.012862541701443792 0.00327110998549334 -0.00029619491385829877 -0.009645121257689335 
8 8 8 | 0.16731191925897837 -0.011948282926309573 -0.018059864626714814 -0.03527805681404804 0.0013601669273119374 0.001642419883949845 -0.005834891405750092 0.01285288470144191 -0.0095472721522726 
9 9 9 | 0.4288709897225057 0.013916739815660571 0.01549270033310837 -0.00015800777232514166 -0.007563520302867477 0.005465059373140331 -0.0014010871268052378 -0.015931352762987953 -0.0002743550766590836 
10 10 10 | 0.16528140759213927 -0.023917469976830346 0.03409175324060026 0.01788584360127441 -0.004191699676091742 0.014946792119208498 0.006267449559554114 0.0017246693908405486 -0.0041580363888927335 
11 11 11 | 0.1549150863953277 0.01421677745296912 -0.03754675942521045 0.024150716095712847 0.010884166111907219 -0.0007416012551683593 0.005783129090896093 -0.005284981700622522 0.011455018438610963 
12 12 12 | -0.15463215681139086 0.054112954065166335 -0.03190343895864753 0.04418750178734441 -0.010871474159130876 0.12661190422020385 -0.0504240265400197 0.048169358443938916 0.03970380959978749 
13 13 13 | -0.45025424708303863 0.009591968361919638 -0.003540559397104346 -0.07419586692910886 0.003814835407649872 0.03440704381398452 -0.012041348227954437 0.1040422547203817 0.0033342435383773837 
14 14 14 | -0.4325949495241126 -0.06223068666816443 0.04050503449603286 0.013132063509464552 -0.04476364376757526 0.09433180500870128 0.015669874876540153 -0.006681240212221313 -0.01760333610445839 
15 15 15 | 0.10480812481039281 0.022458420451480558 0.04611495973182988 -0.011735934309432426 0.007030667275455492 7.944656914099932e-06 -0.005124859466583459 -0.014280054036260079 0.01876391837098764 
16 16 16 | 0.11070541720620541 -0.04085867522501543 -0.03262568794484008 -0.01049383343080939 -0.0024395267699142023 -0.014982267713780745 -0.010164159060219535 -0.0055179064863932455 0.0047306931680113065 
17 17 17 | 0.11915919839983025 -0.011628898831940059 0.04608187424906982 -4.6550786129598965e-05 -0.00515478866295781 0.01082349248441331 0.009075497142435671 -0.008049047300810155 -0.010911614616834653 
18 18 18 | 0.14681757853844513 -0.024658458352040592 -0.04174004475266532 0.0076221094817018505 -0.003368598060877352 -0.0023136582694826824 0.0063198456643696705 -0.006680984165749877 0.010757285821821606 
19 19 19 | 0.13328260993398588 0.0018008195222191355 0.014343456856141265 -0.0466190197447914 0.006595260655351255 -0.00642593578766524 0.01016249980518193 0.010662870943665342 -0.0026158231657682903 
20 20 20 | 0.13802722393685563 -0.02294608484257759 -0.03994914510119452 0.011673745372731414 0.013581310017669698 -0.005417804491742608 -0.005598302174705882 -0.010785258616218672 0.005506578380511072 
21 21 21 | 0.14391802124944286 0.045011977986011475 -0.007676089845974975 -0.01003273909013101 -0.017417123622694635 0.0030480996281188185 -0.011124087945210972 -0.0008608676749982404 -0.001681980155856768 
22 22 22 | 0.13472426215198663 0.016461295964280403 0.026272476312602863 0.03722282377563286 -0.008778281049135 -0.007899504396580121 -0.013760725280567297 0.012331735628208456 -0.00020342768790460264 
