number of atoms: 19
number of fields: 9
Multipoles
---
0 0 0 | -0.5001607555702297 -0.0674570802960982 -0.018765998548978553 0.03558650612856805 0.05872350642161013 -0.12763976371296143 0.03163020931964086 0.0015123748177575734 0.03164387753052792 
1 1 1 | 0.2995210047201162 -0.03538161411550356 0.10032337084907739 -0.01434620591797792 -0.025606003053666074 -0.01676736835480026 0.08945206542804242 -0.11959578802443091 0.07655596985739423 
2 2 2 | 0.1487322289163142 0.07502584488420183 0.010955772631507165 -0.030202285523435745 -0.05962413889930753 -0.08517223747941585 0.0886938395210542 -0.03462262878692783 0.07579175869553519 
3 3 3 | -0.3003639603928425 -0.10474472173236804 -0.0762080158106893 0.05706303056436887 0.08610116681489902 0.09629569293952177 -0.037369113158674395 -0.13192790181581432 0.02575098836175887 
4 4 4 | -0.37064547952973204 0.03681277728201672 -0.02245539800661805 -0.013683822735189817 -0.029457115521232174 0.08681691539777252 0.04965465677434665 -0.14744320821942655 0.03738887577741911 
5 5 5 | -0.35213765318180634 0.07127356546538852 0.04857498786016912 -0.03911846125250725 0.003206849202872281 0.004709086069169122 0.02508884333928876 -0.05785767804795717 0.030006765352819684 
6 6 6 | 0.12494961947601202 -0.06923819134341891 0.02207758643249233 0.0200701055120441 -0.0005208234191662986 -0.013586087749606594 -0.010109955273752436 0.02953616818842037 -0.010309850779337873 
7 7 7 | 0.16233096525296797 -0.030391837006708045 0.0067016157074135645 -0.037830259521359336 0.014056567532452165 0.0027795068604561978 0.0006586708758066746 0.011590340789164398 0.007690890119531692 
8 8 8 | 0.12261768983227128 0.03330137776052772 -0.028352050440140407 0.004337500078755632 -0.01439306599223173 0.01824060688139462 0.00019799616380206626 0.003961850020558085 -0.006789117389259512 
9 9 9 | 0.322715167656914 -0.011272294147139367 -0.03189579640390221 0.011760516930200865 0.02284008507745701 -0.009744593422653276 -0.01689839315283742 0.005600163703893919 -0.0001948211602838403 
10 10 10 | 0.14601929640490474 0.05054172670617231 -0.019657852098975317 -0.013557937749246539 0.01242975929047571 0.016868660661538026 -0.020105001085199407 0.010279458761609253 -0.014563859377935378 
11 11 11 | 0.17943641728914872 -0.00963439287979797 0.040055701128329284 0.027029448147962022 0.007174717997856722 -0.002625994150015351 -0.008571654652264943 -0.0062122691584510295 -0.008787166796829476 
12 12 12 | -0.7591073023467034 -0.024722404954277143 -0.001334769233195777 -0.033040734688252055 0.05562353891977377 0.06713180689201254 -0.2276056085391052 0.1847208393465147 -0.018969831760808072 
13 13 13 | 0.9416606612160239 -0.03094382598911878 0.002872849635199846 -0.03604240183697147 0.05321989066354492 0.10498418843409886 -0.11602739979626674 0.06413723777909706 -0.0744061498375255 
14 14 14 | -0.7839498159759817 0.01701962855248298 -0.08479823579288805 -0.013193188759350985 -0.011090644994943846 -0.02827284625298701 -0.14255307889669067 0.15715638686552716 -0.01729104101738129 
15 15 15 | -0.8580436795051387 -0.027964042644063283 0.011606251425898793 -0.021716160232865683 0.0544288131533807 0.051005793236477755 -0.06928257799791554 0.038122367334902124 -0.1041889956021584 
16 16 16 | 0.1585885853789003 0.027229627538644743 -0.013982790611594516 -0.02532980908552531 -0.02258572227979298 0.015887497745621492 -0.009916948354643861 0.0022738970426429087 0.0040604711868719254 
17 17 17 | 0.16580186907400485 -0.02748736090547303 -0.022514702929655815 0.011504124722620608 0.011360947056893566 -0.0036118125987721936 0.00974537222786336 0.014447048269578629 0.020315001197591998 
18 18 18 | 0.15042189128032957 0.000168713744091582 0.03574331201890882 -0.002909417964780054 0.01417461532116586 -0.002794918515004695 -0.0063830132753013085 -0.012311944206946363 -0.021955949635343 
