number of atoms: 24
number of fields: 9
Multipoles
---
0 0 0 | -0.39251808069906424 -0.00984710466402983 0.050864348239724584 0.08673044548700722 0.04393721610717028 -0.04015651545260548 -0.004953106440280362 0.05112003286462757 -0.09148905377822945 
1 1 1 | -0.391709859152912 -0.016910496670611813 -0.04969803426663526 -0.08604412304946732 0.06420468983186131 0.008626299481189686 0.007675156004847993 0.06485343495362336 -0.08199858139947946 
2 2 2 | 0.1350538731317864 -0.046713267721483466 -0.01528338132520847 0.009058924280945181 -0.01006379159739874 -0.008981168970247394 -0.007996534736588371 -0.007738989775239624 0.003003039331254164 
3 3 3 | 0.11941772782601634 0.0035503616334407843 0.04066869476388562 -0.02715403050388719 -0.002762688310711544 -0.0019058907244913488 0.005803768380473237 0.006108030987300531 0.018677430237828932 
4 4 4 | 0.13731474937558208 0.041560039308391084 -0.028395494275692844 0.01510304247473404 -0.0020139164998532067 0.005956686586214161 0.00719769208687594 -0.011370228210724845 0.001051983377886581 
5 5 5 | 0.12519558528664654 0.048421817951675473 0.011512601109176264 -0.00837531849943346 -0.006450938672749767 -0.007467873977094815 -0.008815660135367444 -0.005576230051845763 0.00508571597082804 
6 6 6 | 0.13495735087103422 -0.010230543896482622 -0.043003260904719634 0.02612297965803856 -0.0020071322937391203 0.001141408134238756 0.00475739050069721 0.006689476172015091 0.01574418545712926 
7 7 7 | 0.13065016912366745 -0.031540226641903535 0.036674653440116736 -0.015915126043118594 -0.004554283450975377 0.010089185990133542 0.008544792630802498 -0.012951099338734878 0.00038427062399985106 
8 8 8 | -0.4602062613658253 -0.027176548094838365 0.00882616367441398 -0.06525583824588879 0.02826492950624829 0.032512412355461914 -0.016660579973579167 0.07916678266054086 0.06891683020373572 
9 9 9 | -0.3575640932142239 -0.007913947760471425 -0.01476912941546502 0.05320988429757915 0.022430779858892053 0.08979849042188182 0.03880987658519206 0.20460994895975676 0.09064288570744801 
10 10 10 | -0.13384365961143008 -0.006138602586074599 0.0010679090275495674 -0.030088110837257417 -0.08001868302620067 0.1358913502436618 -0.04433896514117657 0.11208158236625607 0.05678586238539849 
11 11 11 | 0.40650769748999327 -0.013543013930138318 0.029855326505450155 -0.12982041732597252 -0.17615931114966246 0.1239893944347892 0.055291919770775945 0.012228098154186344 0.002822465521550647 
12 12 12 | 0.0862730322411398 0.01077507611480206 -0.015097188615490186 0.03639686433334159 -0.13648169875560023 0.13955300625494144 0.07254121902800521 0.14145956835705534 0.04157956913167842 
13 13 13 | -0.2893139861007894 0.015210754913373497 -0.010173776748947554 0.014121801198827567 -0.09361189345744789 0.12386400467658455 -0.029733252116389282 0.09608877773077247 0.06721179988878265 
14 14 14 | -0.1543879979838021 -0.010998457212122309 0.0027010414825776965 -0.020610958897927103 -0.02978070571533532 0.07467748691425637 0.05544113137472328 0.1839752370782965 0.053338927046366384 
15 15 15 | -0.5956315793459019 0.09133047093925689 -0.05369012515569593 0.043918805224648284 0.07111712835038791 -0.09786020763276436 0.054178329636130215 -0.014415959456363524 -0.03751591511650445 
16 16 16 | 0.16337432711920485 -0.04776264737141573 0.017319042144973467 0.0048525012940750754 0.004547774332442865 0.0002972932136742248 -0.013123164376030944 -0.00967628640671429 -0.0005794492946059417 
17 17 17 | 0.13851860234983038 -0.034824512584746954 0.0007566546212373296 0.04140929880192614 0.005405790158835822 -0.007489669510463341 0.013886794150783402 -0.006994540955312835 -0.012527996231101426 
18 18 18 | 0.4456847723886104 -0.01928821958303723 0.01026441796265367 -0.006550222650322897 -0.004732850801196558 -0.004992313123383884 0.0008572950535174536 -0.014473190606466776 -0.006794025583719232 
19 19 19 | 0.17080005381651553 0.03333481920722532 -0.0036531894584853654 -0.03831399860560727 0.005792129416155264 -0.00967538370772286 0.012220300589119399 -0.004768650266306088 -0.007405805426728802 
20 20 20 | 0.1459213373544661 -0.02160567530713169 0.03711091784430899 0.021600495986697284 -0.0002666207843661117 0.00207624075786587 0.013355560061602222 0.0036633330094418843 -0.010439707725355057 
21 21 21 | 0.14184952768655912 0.0450845710936996 0.010819112841174481 -0.009176083972421267 -0.017840364093057184 0.002706564415600026 -0.003028970909280865 -0.004119434108447112 -0.0026583287565286923 
22 22 22 | 0.14370265209826572 0.048831360964493226 -0.020615528125262444 0.006659036477234126 -0.006785834873306619 -0.0005996277494046955 -0.010967423460322062 -0.015631670769706296 -0.005233145889794629 
23 23 23 | 0.1479347091701425 -0.009649408662181991 -0.04683074764058131 0.005802113997222937 0.000887905111916336 -0.001831254714951444 0.007979960953521962 -0.011792605330094146 0.008750309063856395 
