number of atoms: 19
number of fields: 9
Multipoles
---
0 0 0 | -0.5201751589059667 0.0003857006021989593 0.05774248521199374 0.0473716471599062 0.0020002070033611086 -0.09444919995704867 -0.0447213690090546 0.10372993283297594 -0.00839916535572631 
1 1 1 | 0.32448929644134594 -0.09417985466936689 0.04454143326347448 -0.046791419981204736 -0.0032125571543942626 0.07043720672218275 -0.08907652782881928 0.0725776895829217 -0.1005828998362712 
2 2 2 | 0.13468936471943493 0.02815538132137371 -0.054430122572657565 -0.055446723504702554 0.06141722066774765 0.01306303261526464 -0.04587271448979698 0.06904952724948997 -0.10375542027528775 
3 3 3 | -0.2980658686920501 0.020157289407978802 0.06500554121917744 0.12341668670675958 -0.10615171116493564 0.06720991803819437 -0.11961420894661912 0.0025812919430989504 0.06881287600607387 
4 4 4 | -0.3936878679736502 0.045345047377785525 -0.044410831421011925 -0.02482906971607195 -0.1064166613321502 0.17800067966740982 -0.07707542215443773 -0.02326316157316019 -0.03634955859838189 
5 5 5 | -0.3527414089025367 -0.012452623658668767 -0.042492925017787585 -0.08170014904801576 -0.016837062731296676 0.024423596122521752 -0.04597430694601705 0.02147984504427195 -0.027111722106782882 
6 6 6 | 0.11861364024716747 -0.0448276676736979 0.049037527874829005 0.032460979925640454 0.014720654745468862 -0.0247357307331913 0.022967510849348286 -0.0077695299869326735 0.006177589323574535 
7 7 7 | 0.20557665227793653 -0.050309581029030874 0.004816940145801898 0.007283497011466708 -0.012263757837722582 -0.004909331373553957 -0.0076414533490935955 -0.0032178370983798887 0.004507379116764847 
8 8 8 | 0.11763313342188897 0.02100801610665703 -0.03610281718200127 0.007317066401311099 -0.002323018514489771 0.0165679773351781 0.011962358789998389 -0.016195426629033213 0.0002966569887796078 
9 9 9 | 0.32333971742924494 0.019936959750803684 0.0009825204810861785 0.0299908226796058 -0.0011623206778450452 -0.02269520387481228 -0.005906083613261207 0.0019368547559479668 0.01903237617065983 
10 10 10 | 0.14864205433763067 0.03380772541029887 -0.03964500480387177 -0.021228155673615474 -0.012496410475169991 -0.00571046804964248 0.00890873159854281 -0.015615235475792947 0.02457041657696212 
11 11 11 | 0.1626788503145985 0.005114884870097647 0.03362773890306702 -0.031028901238202632 -0.0008074803196646235 -0.00030596058534688834 0.007808836960517846 0.009689563568619948 0.015180465754944038 
12 12 12 | -0.777112766441034 0.040739839353246377 -0.026172587571601014 -0.006617350848623985 -0.045667664619590834 0.10471941402756114 0.133703285106892 0.1664360162183239 -0.1647508555043386 
13 13 13 | 0.9610509771645885 0.017870286456522617 -0.015025844979483846 -0.042454147757152075 -0.08132137316872373 0.05644334642368653 0.016989253558463705 0.12319269869674068 -0.09259134219029967 
14 14 14 | -0.7674611107950025 0.0835527129388607 -0.025874207084746213 0.021280917165218634 0.04347612186051929 -0.06239663920037531 0.08591038753450193 0.09264773238878943 -0.054504123269444024 
15 15 15 | -0.8699883633458221 0.008367571304662086 -0.0046551064434861966 -0.04060519522309246 -0.10799763608315818 0.03795083916693503 0.020143070499324078 0.054544485356338955 -0.03313936666137991 
16 16 16 | 0.15796376135040635 -0.02345069774101819 -0.026198636359681348 -0.011920478782103021 -0.02312673274985993 -0.014421352918625502 0.00893929495830864 -0.0005796858957339427 0.0008188208943014825 
17 17 17 | 0.1616549097107699 0.002038790202840506 0.030886618470961653 -0.020876229281941494 0.007914768486641688 0.019133768614882585 0.0005306127827633531 -0.02139008215907594 -0.003625574611318237 
18 18 18 | 0.16108829983089723 0.029167735435716793 -0.007969011623250586 0.02152728543178472 0.01212714242220119 0.0007967955947782674 -0.011114754161079505 0.023148871856279233 -0.004212215098072423 
