number of atoms: 24
number of fields: 9
Multipoles
---
0 0 0 | -0.46172291919337205 -0.05471267460557826 -0.028866408013062488 0.033382972234996075 -0.06485375275122585 -0.0569807642523135 0.06596243709509791 -0.03665465325025258 -0.0031006796414003173 
1 1 1 | 0.3997469237114917 -0.10235745353798606 -0.06925352836471944 0.04871283784023484 0.038163365621755714 0.09794574061961665 0.0749790924165037 -0.11963823341441494 -0.1334116799846988 
2 2 2 | -0.34475844118891974 0.035984676141857165 0.03847944085182767 -0.009105676115268165 -0.05303382680776582 -0.12522806240990772 0.13354365373570923 -0.13171504072314721 -0.00957862112275366 
3 3 3 | -0.2877037454438467 0.02109406753813898 -0.004188702163115867 -0.010535773218540347 -0.04909110545057726 0.023700653021851818 0.15401832911132635 -0.0795417871551012 -0.07381965416643872 
4 4 4 | -0.13671804819160016 -0.02069292046878352 -0.014394246219049958 0.013929813400023283 -0.04952420558113228 0.01027780159229731 0.1734423626401733 -0.07152593110693965 -0.056992770132197224 
5 5 5 | -0.15650923456128396 -0.018094328430858557 -0.00590301199802249 0.014390792521243966 -0.00852628419099201 -0.09578234472138358 0.13572319885476622 -0.13644834132801875 -0.02865238461572521 
6 6 6 | 0.08453655308798957 0.03675929206419537 0.013146310627536378 -0.014851136147412574 0.01735984286120389 0.0008145722268002491 0.150591385036116 -0.17194404030244512 -0.10503230673030788 
7 7 7 | -0.5975630667962761 0.09356181781399495 -0.05034584302056681 -0.044328332592956786 0.03287442533949014 -0.07585962934699607 -0.09514034333929546 0.00992448424383138 0.04451546202021383 
8 8 8 | 0.44876961838409324 -0.012902386213239766 0.01568857565226403 0.008597602187609467 0.002025038916420361 0.00626713150945093 -0.005687013643739367 0.008139427691935026 -0.0022803966742397353 
9 9 9 | 0.1538859663220179 -0.021708876937498296 0.038454491905225215 0.02211394137680334 -0.003514444429701021 0.011312593188284922 -0.0019597732811174637 0.012991140296987723 -0.0017248083036869083 
10 10 10 | 0.16886376893120048 -0.01164898356819139 -0.049024286765051626 -0.004732639275116276 0.009348164643181077 -0.0050259639146793345 -0.015334774190251426 -0.0021251714803947634 0.0041926473861174625 
11 11 11 | 0.13880006008590184 0.012505702923992251 0.05176395512468758 0.006168142135327247 0.01364258047172904 -0.004814358134952348 -0.01749546964206507 -0.0023793922034922917 0.004849229823135073 
12 12 12 | 0.14165970674713024 0.03169895431851352 -0.034403253428632305 -0.02538391883800332 0.0007020528838346817 0.01620459851113976 -0.0027774757399546984 0.013077278439206785 -0.0026425875017992155 
13 13 13 | 0.144802494459073 -0.022093457925611838 0.03848398143792705 -0.01880315257101216 0.01247682001865758 -0.0007727350245116114 -0.003246564712388311 -0.010985695830292979 0.0055621699605010195 
14 14 14 | 0.1448372066006547 0.002941892872863643 -0.03280259008151604 -0.033380836869803164 0.005793718616480589 0.012016577132927211 0.004625621803194077 -0.000398570782471562 -0.012595387496533574 
15 15 15 | 0.1486841253523289 0.030162570732995882 0.001155822284735487 0.03799158160924106 -0.006389971910133652 -0.0005997938965169066 -0.013912370713653118 -0.0031240656328971115 -0.005724697722053077 
16 16 16 | -0.4072045060486129 -0.008545253404411942 -0.024439579544606765 0.13050731199929055 0.09250642899395639 0.0031059671594578057 0.04792880585093702 0.18289899201129206 0.07006625120102662 
17 17 17 | -0.3582963445493075 0.01780647096100638 0.0200669931504791 -0.10590443874389731 0.050697484100521974 -0.003951750033905256 0.013195148436558753 0.09040841678763056 0.04305702152906109 
18 18 18 | 0.13060298520339142 -0.003371573476513836 -0.05706002633305375 -0.004377463154173737 -0.0032566838262440946 0.00024902744111858353 0.0002303768009175451 0.0003782121643712744 -0.006488071460075527 
19 19 19 | 0.132215433549023 -0.04634368583057987 0.023864852156159487 0.0017536521898261117 -0.0034552804312986676 0.008956982228239738 -0.010504111780521878 -0.0030861193882157968 0.0033516746110425007 
20 20 20 | 0.12895880296799334 0.04238434558638818 0.030526137586407022 0.013987670829597251 -0.003471994938221682 -0.007063017665620734 0.006703310429941644 -0.005693499153828378 0.003855659677977073 
21 21 21 | 0.12545392284542178 -0.026104364535383826 0.044436715850994596 0.007420915852011989 -0.0036156531661752944 0.004699097123417627 0.005852768911745534 -0.004471126035150399 -0.01575951390727425 
22 22 22 | 0.12825321964577108 0.050886663147110135 -0.0017423518861366498 0.011733401090938317 -0.00645854425798706 0.0028886527785986697 -0.014981369682360192 -0.005958385119660502 -0.0015516758818428808 
23 23 23 | 0.12826962495467542 -0.02686239466349061 -0.04409507755394104 -0.00948307091225664 -0.004734468203573006 -0.006033572777592459 0.004886494960015143 -0.014260371775863673 0.005500616392785726 
