number of atoms: 27
number of fields: 9
Multipoles
---
0 0 0 | -0.38065274800820514 0.023947881790968833 0.06624489077785442 -0.07084196389449704 0.00973915551044838 -0.046886651015374314 0.033652188081416665 -0.028256843050123392 0.08462538396220273 
1 1 1 | -0.3865977281799946 -0.032239123075162204 -0.07160112489356583 0.06855604800123052 0.044106524185564426 -0.04018664809984163 0.041645017997761595 0.012170565234128357 0.09758710207336 
2 2 2 | 0.11834394280796767 0.004886368757452259 -0.03973350737542674 -0.029962133108314266 0.00011649423123281362 4.40267237160754e-05 -0.008238521389620604 -0.015346102826587342 -0.009938394399990755 
3 3 3 | 0.14897076885529748 0.033741655021311455 0.010717001734099181 0.04056812848781779 -0.0058050122828299305 0.007904866794297609 -0.006263965664455901 -0.004201557003767493 -0.005275486632127188 
4 4 4 | 0.12315240547527795 -0.04151098974104464 0.021594468323178385 0.015132538243518508 -0.01575298285023306 0.0010447540846192048 0.002990550403811926 0.0017571222564799602 -0.01158005764491539 
5 5 5 | 0.1263539538161248 -0.005418868777666309 0.03674740208206824 0.034463890954524554 0.003061891905589971 0.0006857020724240171 -0.00517541152718818 -0.01576593406587262 -0.008947307301345445 
6 6 6 | 0.12492837342695795 -0.038174308979823865 -0.012192306483759323 -0.031092831635867433 0.0017729548271725733 0.008388289039134604 -0.013137939274772442 0.009942093360842145 -0.003868123059468948 
7 7 7 | 0.12540222936094492 0.04585925200116372 -0.019952466043545166 -0.004303859229921593 -0.013616918306275842 0.0018301446896376542 0.007047443583807029 0.0031364148423093283 -0.010248760351262853 
8 8 8 | -0.4247891185746786 0.08739522460784162 0.0027200815698158543 -0.024004840237730224 -0.11160603031761344 -0.01178362814433533 0.02939686358248476 -0.007292896376970341 0.013361660824117074 
9 9 9 | -0.04638188668626064 -0.036743764693069496 0.010638663828235367 0.0034095308478719498 -0.0481672334302908 0.08568116306409142 0.02319073153354392 -0.1420856852667162 0.14956555239727862 
10 10 10 | -0.012243944624436232 -0.09347952529961391 0.017889397567754525 0.0053352694119570545 -0.10482357570028616 0.022161130314650657 0.04894499690877939 -0.10166264072494964 0.11146312960716839 
11 11 11 | 0.2564106224593079 0.035150853372133896 -0.06265472650727386 0.025838602605721198 -0.11315359359138803 -0.07550817241058327 0.0859327505043252 -0.06253613400868957 0.10171596334999312 
12 12 12 | -0.10226388784065854 0.11095204461541783 0.03216299822232509 -0.034417934891066794 -0.016457758186650434 0.11914850308471059 -0.02341498948400045 -0.081113127928802 0.06980435222289867 
13 13 13 | -0.19038673668504202 0.027102445455419105 -0.025770690278931196 0.005194492927739271 -0.13266208925380987 -0.06605925243322967 0.10254233946261018 -0.08893495158998937 0.08536368607820354 
14 14 14 | -0.12365801126835496 -0.020649193846402646 -0.025581599997796953 0.019058644444880323 -0.12022508202256806 0.09714783068036817 0.011459955038377132 -0.11254820490235053 0.07229911107330435 
15 15 15 | -0.16075977439994826 0.021203480189924826 -0.019797805736030447 0.00357200358742762 -0.021045559116276223 0.04796457961811873 0.029563821093254866 -0.12491028280124397 0.12873219479212786 
16 16 16 | -0.29005591990516244 -0.006387741474254215 0.016673465059501336 0.0022335212217384983 -0.012666415479495421 0.003051982321151571 0.021807733743513278 -0.12932551631282968 0.13717564081059383 
17 17 17 | -0.42408243667491075 -0.06983947811945576 0.009812685053780567 0.00758675022193957 -0.047887156700950735 0.051024786844842324 -0.009989266997346563 -0.0044940465127589245 -0.003028440362395185 
18 18 18 | 0.14171993517360038 -0.02627986869821048 0.045032415127893716 -0.014606240272442731 0.01432415741133723 0.009773197172387702 -0.009493654602079253 0.003320117362703467 -0.006728122011526825 
19 19 19 | 0.1369185911087536 0.027934926926630247 0.04198743467815735 -0.023834499187517785 0.013892806431277186 -0.014874689393486728 0.0004220597890094773 0.007118613896816294 -0.00526698798989401 
20 20 20 | 0.1414774787519787 -0.05337967356438357 0.0034964674226757083 0.00753299766311929 -0.0075226835948379546 -0.0024868605906913925 0.000270381340395283 0.015939571358784016 -0.015754460154274487 
21 21 21 | 0.1552386089184562 0.04939836350596104 0.001227965568058447 -0.008974985560403726 -0.008039423283379428 0.003530482743635254 -0.002559787320366018 0.012004883670446389 -0.013841432262766067 
22 22 22 | 0.14652657959564597 -0.014794262204115925 0.004793961411113706 -0.04763951275550846 -0.0028073433898854346 0.0045888621335505465 -0.016869467498173765 0.0015677932102312836 -0.004270718979588323 
23 23 23 | 0.13974535776811736 0.0022211873627835084 0.04249329552531284 0.02732758729683457 0.002042753518030625 0.017736990386996363 0.006817588705072256 0.00042214874713120744 -0.008923642798006871 
24 24 24 | 0.15036702835008187 -0.007925819788652255 -0.05706679887119123 0.02459267068223867 0.02175701512492808 0.0034473135559477007 -0.010202206753951896 0.009056366544269242 -0.0103360373288895 
25 25 25 | 0.3562504352196161 0.034858349454550144 -0.014194133865338764 0.0002988451740162676 0.0008914108838284944 0.005500836647572835 -0.007187954880210119 0.016795327977396163 -0.019964003309419776 
26 26 26 | 0.14789882302750323 -0.0010646115216737903 -0.03986254366886721 0.027035709141114982 0.014820837409991319 0.0005925942723843174 -0.0029813988806177984 -0.0072145776168649044 0.006312963504887209 
