number of atoms: 18
number of fields: 9
Multipoles
---
0 0 0 | -0.10658990988363204 -0.03815466103959763 -0.00538449135188159 -0.09191704820648162 -0.005030703541974986 0.07011068119304338 -0.10205472546141957 0.09902859591639102 -0.06733692138319818 
1 1 1 | -0.460624936071099 0.07998039503334241 -0.032380674058811315 0.03258374962861322 -0.022219511859017528 0.07095970238562882 -0.049995075732468856 0.07551463618656332 0.07335081521714572 
2 2 2 | -0.4641710858544448 -0.04438777027901886 0.06245843069249196 0.05972647882475641 0.08051636456273861 0.02200585766869518 0.07761430580926296 0.0505908143620232 -0.07319786733418639 
3 3 3 | 0.11516823392723952 0.03253177086884164 0.04716093211220291 -0.010025108642171064 -0.0005315998697681975 -0.018552124658876977 -0.016598019152334182 0.009584287919082371 -0.005406607682252667 
4 4 4 | 0.05983107527122078 -0.0248620277653226 -0.03447404143883736 0.027218014995965763 0.016466793210490892 -0.01639817125297376 -0.002358994500467108 0.01869888829401039 0.022726100815757586 
5 5 5 | 0.09619166231994225 -0.01683210169854125 -0.03506035377389427 -0.013140289315147826 -0.0013774467424824358 -0.0298250351270967 -0.00046438841894218643 -0.0005003813762216313 -0.009491020918845698 
6 6 6 | 0.19686589082231865 0.028289453289505804 0.02591627561613953 -0.03613942954305075 0.01215446018874101 -0.0013253036901881214 0.0005603709491698314 0.012037927299627478 0.007463675273712051 
7 7 7 | 0.11120678726632116 -0.039903834116679575 -0.01610960064453213 -0.005376748555930306 -0.001274471985831351 -0.021728311252831284 -0.014710554731491717 -0.008874845359886066 -0.00267541857569641 
8 8 8 | 0.18239287314991803 0.007267052624959891 0.042538559016823047 -0.031069375371112148 2.995199732217616e-05 -0.006242067364990379 0.003533612332439325 0.006795278982096151 0.007867806651986118 
9 9 9 | 0.12533952776155244 -0.008988664392215177 0.03470045771250858 0.028334299935175444 0.004814063706480396 0.002670512877860598 0.020675909966451037 0.0008714277228931682 -0.01028257493068052 
10 10 10 | 0.10649255273945868 0.03500278050516667 -0.011420833770542718 0.025277538316617436 -0.009768744692450794 0.015386327867269777 -0.006526550816515023 -0.009094352115901266 0.013027881477273287 
11 11 11 | -0.7796752922360781 -0.01983193447036864 0.01074863783697591 -0.01000368892754555 -0.1482694099430221 0.003843403654785586 -0.13936966120367675 0.04351462653325688 -0.16364578984030392 
12 12 12 | 0.9873624962571146 -0.04938807559354999 -0.01844091520609879 -0.024479098295116866 -0.08638257055815483 0.05961560551670216 -0.07723518996276069 0.013368866821840181 -0.15025878755832786 
13 13 13 | -0.8270433667057961 -0.06160257556252269 -0.009390665337196506 0.0009818586555402865 -0.010234580096506749 0.052586523059715735 -0.07966670951282195 0.013849713989019774 -0.15831708645414116 
14 14 14 | -0.8333578434281304 -0.030610993611119897 -0.049609924940784755 -0.014349575630307046 -0.11124463120836901 0.0785448748215623 -0.04368831907240984 0.06621969088865746 -0.11447549967516477 
15 15 15 | 0.1652033993594898 0.017013206739704977 -0.0027076441543563393 -0.032866848217322005 -0.018744239689498093 -0.0013584554510842077 0.017094111338540177 0.00450836825723825 -0.0010571809527479613 
16 16 16 | 0.16336069074574888 -0.004084957511086452 -0.03095693530188444 0.018219721867189287 0.0057292778765873145 0.010340633296793345 -0.012812169870743271 0.005788888749627708 0.02018494540092075 
17 17 17 | 0.1603452532140598 -0.016077607082034692 0.03009024342469366 0.01134724716313027 0.011096869846239856 -0.0014735755005662594 -0.002996965853670801 -0.009279310167999554 -0.023229528501190207 
