number of atoms: 19
number of fields: 9
Multipoles
---
0 0 0 | -0.12530132693825102 -0.030258164574720053 0.006076010335359376 -0.07861585378532981 0.018534988791681188 0.09621115316343617 -0.012700679511185135 0.025802509774485973 -0.01670218365696727 
1 1 1 | -0.4394618916126998 0.058700974238341336 -0.05277193062373387 0.009754223603955038 -0.016716314471223098 0.06828044757967563 -0.06947866172352472 -0.007663825105723913 0.05604978337058806 
2 2 2 | -0.4461375916171688 -0.039613456765101016 0.04656028106108176 0.04697360995940652 0.05367739177816998 0.01104639788611853 0.029395912214987784 0.048765627764602006 -0.07836213481682817 
3 3 3 | 0.10268729641948515 0.04089159889773127 0.031274460840842 0.010591011538456175 -0.00582593688514642 -0.02065516801909038 -0.010098340147263872 -0.0019229074166449225 -0.0033041730002694677 
4 4 4 | 0.10554659640611352 -0.024656194594344073 -0.03612014325680551 0.030066397192765954 0.0034469546877048296 -0.013448290504432553 0.006411142255500755 0.004601745209348647 0.015701761856443192 
5 5 5 | 0.13225254268286246 -0.0285152537312512 -0.0341668150314146 -0.015664303773792604 -0.005066509277425674 -0.014114523768000072 -0.009034686183813284 0.007965504992274561 -0.008377317493115101 
6 6 6 | 0.13289048296300043 0.018879664270115556 0.03625651226435563 -0.02318319185880528 0.0002671362501889406 -0.007948547843060745 0.005017149418788529 0.006655555239581311 0.016620584979297474 
7 7 7 | 0.13567670757701034 0.02695291533039542 0.025440463725641873 -0.02997435066019197 0.011039797552911845 -0.011174140249603233 0.005097322075064148 0.004159661268679238 0.008469090795529998 
8 8 8 | 0.13265267110815537 -0.013457395101683076 0.017195612508357487 0.04344396298764767 0.003336722957238778 -0.0003957993683898239 0.01116551521571928 0.000713979278652933 -0.012643827610521834 
9 9 9 | 0.1362344897548452 0.032375270463474715 -0.023970369797315445 0.02794803049202702 -0.004293167631707951 0.009221469278635031 -0.004254841885436715 -0.00952742540765723 0.008539311453821176 
10 10 10 | 0.13763120362997905 -0.04222369041909072 -0.013926902823180447 -0.016060191544865723 -0.002655534748561007 -0.011555724766655106 -0.015250876968503017 -0.00048209346109216744 -0.0006458584650294661 
11 11 11 | -0.3841888324204916 0.051630070243237486 0.08841012382584815 0.00797370219787632 0.01796109872251985 -0.10394444635409972 -0.00911125591823428 -0.0688115983619327 0.010340143019861385 
12 12 12 | -0.38543318370050894 -0.05759016567454046 -0.08220349338327393 -0.0003564053282598853 0.020419260086457534 -0.09763916774481661 -0.004744491947917354 -0.0625480813848095 -0.017270629809214403 
13 13 13 | 0.12361733181280998 -0.04404361622990264 0.02336681119539744 -0.006590974230084292 -0.014739203175688888 0.0020008229389392716 -0.0017132028025376785 0.011194825820571429 -0.001174445873423821 
14 14 14 | 0.12666355506969518 0.02517950555541198 -0.01791364050821917 -0.04032265087836737 0.004513900550997644 0.011960972667419712 -0.0022762012789307564 0.002215973180447342 -0.008484946045529539 
15 15 15 | 0.12730050299123719 0.01391412080405548 -0.01344172348289134 0.045860286577239374 0.005416902949255403 0.008706583458455023 0.0032649766983881725 0.0066407619728279825 0.013292800454359793 
16 16 16 | 0.12824258920582776 -0.015913019183633168 0.014312436543201652 -0.04476053059553063 0.007314256461019383 0.006520483447544893 0.002837113600190971 0.008798730346755353 0.009315805975543831 
17 17 17 | 0.12999978519879152 -0.024598426338329572 0.015332855495361068 0.04171920678917802 0.0062001255370223805 0.011191665626896082 -0.0012922854717000818 0.004038143934862156 -0.013168727246287617 
18 18 18 | 0.12725295771365042 0.042337480368312995 -0.029101996382286627 0.004355039019678248 -0.01718166034957398 0.00196780755996013 -0.0021160121825169096 0.009164817260775488 -0.0008736270840226021 
