number of atoms: 16
number of fields: 9
Multipoles
---
0 0 0 | -0.38770234174358453 -0.08011440483405939 -0.044542132488935314 0.04230471189102053 -0.03592470028307559 -0.08568012951603161 0.06331862505330248 -0.019315847281053566 0.04785016861137261 
1 1 1 | -0.39514190022137363 0.07435861873737433 0.05098261561074718 -0.041719003284787726 -0.04714481738218036 -0.06369445255236678 0.06901651016779943 -0.0017268111879477483 0.037548230075214274 
2 2 2 | 0.12804830578954263 0.02709019042299073 -0.002033540066047714 0.042708694680094715 -0.004449725493276116 -0.0003849756431907068 -0.014061912331198717 -0.0016233525468378053 -0.007874531502763352 
3 3 3 | 0.13262002305342613 0.009055563482736105 -0.035108446434632595 -0.035683600992131935 0.009273698520505441 0.008544289802479893 0.0009395323775718758 0.007219695940131288 -0.004373363563020156 
4 4 4 | 0.12540699921543563 -0.026879307764546587 0.04096151006784309 -0.011143731728361285 0.01398440226636 0.0038527408080121835 -0.005787941619262147 -0.007393653014529031 0.005612738966821232 
5 5 5 | 0.13226916761087526 -0.026149050942852248 0.0017809800301257022 -0.04300559568407999 -0.006274816410617318 0.0012606132202472988 -0.015211358229832663 0.00017132600380509127 -0.007330624742143716 
6 6 6 | 0.13363169008049713 -0.005541183598413113 0.038622193942558905 0.033241232639713236 0.0043041651601873785 0.011552987917758523 0.005553944924447979 0.009293254586418713 -0.0073440187160625095 
7 7 7 | 0.1293898323413566 0.03090874178691599 -0.04011930167927838 0.006539195186354111 0.012470733315823017 0.0058516880271116895 -0.004999163730672841 -0.008294915360340292 0.006653880607356485 
8 8 8 | -0.3874481059071835 0.07167490131709454 -0.04921820986615077 0.05952849386523602 -0.009319048359903081 0.05091047276375252 -0.0964342753267439 0.02185574868842126 0.054411702336361153 
9 9 9 | -0.3723799916733528 -0.07423013400847321 0.039891896284136995 -0.06296989598985378 -0.01999721831859747 0.05632221339877732 -0.07733558317262222 0.002285989901814997 0.04048723374346063 
10 10 10 | 0.13256871003945836 -0.04162682274612272 -0.021579731753451643 0.021150656657023148 -0.005056421553730458 -0.012144503159589173 0.0028190147710113987 0.00028689827946177556 -0.005401531617671195 
11 11 11 | 0.13175193502539806 0.010104233097343327 0.047493572167072014 0.015349889110320447 0.008575583793382214 -0.0022358166780304767 0.008910887957862051 -0.009194054512966222 -0.003343501826096094 
12 12 12 | 0.12742616736189505 0.01895849321903162 -0.016391566781129803 -0.04464309769689896 0.008871891020246811 -0.007405958020286077 0.0029398791991284475 0.010938499202057354 -0.003053342634911311 
13 13 13 | 0.12193919866623992 -0.018718467361668517 0.014967263313277078 0.04487339616249407 0.009945432501623967 -0.009324500613762918 0.004255446149540064 0.010596784709747875 -0.005052769656558022 
14 14 14 | 0.12461573788491587 0.03974828294269754 0.023901208460495885 -0.020914493579905328 -0.011786861755334518 -0.008495078617121062 0.0065398091984726365 -0.001308544347838212 -0.008371332871544571 
15 15 15 | 0.12161760640859476 -0.003473134707463618 -0.04986113653560818 -0.008938503541361078 0.007965631427841735 -0.0019501109407218348 0.010578473671661945 -0.011277900593341468 -0.003559590691298389 
