number of atoms: 20
number of fields: 9
Multipoles
---
0 0 0 | -0.4245770414304433 -0.042269770967705664 -0.10626393653009837 -0.027153189037023327 -0.02227665053361346 0.007549943716355719 -0.0898516642220234 -0.12397330593091253 -0.011247305051358751 
1 1 1 | -0.3905457849049796 0.027949980887840353 0.10068658527463792 0.009814644138233422 0.02706737778158586 -0.018783612585782337 -0.01950171981216665 -0.03597760947497436 -0.006776149238195726 
2 2 2 | 0.8358361968475316 0.06923903629256623 0.0007764087972195076 0.01685640919071373 -0.10101735412746828 -0.03882858508313023 -0.13129055382757 -0.03936391161535719 0.15647853180672108 
3 3 3 | -0.6297154718911013 0.012531474164194955 -0.06612055291195267 0.0412089290667523 -0.1080128390176207 -0.05215772460882358 -0.10000796798137097 -0.020445251751830675 0.06850934181674989 
4 4 4 | -0.9484024526131121 0.007359705596619793 -0.00883348339790961 0.010491575818089075 -0.003984370644800261 -0.026191701566845402 0.009041593675488117 0.011008592539291272 -0.017270823020450323 
5 5 5 | 0.13002530195873896 -0.0033038290683285254 0.005822189378698121 -0.045503731672017905 0.010648679373455696 0.012565467725591544 0.0039024869916134872 0.005139520255952359 0.020931046926605686 
6 6 6 | 0.17489831509935339 -0.03511254832152103 0.007050342604566023 0.03644379481965292 -0.005303898844839651 0.010691704924106756 0.004001120199189407 -0.001327054008415724 -0.001143769875592343 
7 7 7 | 0.15596653644751768 0.014976669633579945 -0.015227187714253335 0.04815509987326359 -0.00395418658321891 0.001978556960925895 -0.003533301374525117 0.009429791113968498 0.01154245217756543 
8 8 8 | 0.4233692539620185 0.022514668763757437 -0.001928710158148122 0.011616456176035574 -0.005822969254033368 0.003850804650796783 -0.0010890291330627158 0.006870966174083677 -0.011877509951752609 
9 9 9 | 0.4041451675862401 -0.012857906995877709 0.016411621218706637 -0.016181650873016287 0.010526811030100183 0.013333735165106655 0.0036325325865541064 0.006197422914071358 -0.0049298964695338844 
10 10 10 | 0.1365372477406036 0.034190836212156565 -0.00984251445664361 -0.03496312179149655 -0.00028698292858678106 0.013039177242977349 0.004311815817525383 0.012872389965041899 -0.006907893341732274 
11 11 11 | 0.12827330313609742 -0.04916217790839348 0.003856587766967954 -0.008107851401429333 -0.013711027247803311 -0.0020329154349915694 -0.0041550542495232936 0.011500503453622498 0.002218400992071729 
12 12 12 | -0.38560155438936405 -0.05133013539655045 0.02412604705577225 0.0928205460177333 0.04083851678224307 0.044208169121273906 0.08523964691856692 0.0887690346818507 -0.03174902341023072 
13 13 13 | -0.37992033106307765 0.045505717822259074 -0.031942219246021475 -0.08617687509465516 0.015464079967630898 0.023373072877954617 0.08558030725954066 0.06587406260740938 -0.04167747661107261 
14 14 14 | 0.1234265936696497 -0.04459119537458758 -0.015064170619317288 -0.021581462670321922 0.00410911172183567 -0.006473127130659242 -0.014596578807509954 0.001904738973499363 0.0009407970392068883 
15 15 15 | 0.11931260356318407 0.020538723783330503 0.047062863836624204 -0.0028478614640918727 0.0011829399245634248 -0.009643350653839446 -0.0006454892964687087 -0.002433692414902492 0.013997746075121848 
16 16 16 | 0.143539169684333 0.0325639752515052 -0.03399553211124377 0.021826724536860735 -0.004191052745242107 0.006287818970193593 -0.0065325585892066496 -0.011895935021680196 0.0031854036748484283 
17 17 17 | 0.1281111404607168 0.04503282361892163 0.00982625272823222 0.02236585423049517 0.005559853945946834 -0.0058967591969146 -0.0168443217898295 0.0028216635551109683 -0.0030880549520717264 
18 18 18 | 0.1293262166557636 -0.02129003310922246 -0.046143170419811086 0.007062466786218962 -0.004664890351324999 -0.010904652759515035 0.0005876124214318065 -0.003065628917604029 0.01354306293923211 
19 19 19 | 0.12451443874068546 -0.022974246957025525 0.039637524932501625 -0.02182309839124862 -0.005877115020671383 0.009236786640488921 -0.006197707377706378 -0.013899687156143065 0.001096292211754175 
