number of atoms: 31
number of fields: 9
Multipoles
---
0 0 0 | -0.41733152116145344 0.02122123827646332 -0.03972408024329098 -0.07936718402167862 0.04874750744172543 -0.0049261863313687995 0.007865693268528942 0.013579907942251362 -0.09391310344255942 
1 1 1 | 0.2506998619580729 0.016515428482645308 -0.06772532980379499 0.03192524840358832 0.1591427533413101 0.03334440271635291 -0.00756922057212211 0.0968633714374053 -0.06455747876506614 
2 2 2 | -0.04638246032053317 -0.014066197276058838 0.02972604981541699 0.014875424801931141 0.18592527304837855 0.11643391011864146 -0.009818699488000076 -0.0343084761008156 0.06804729233503319 
3 3 3 | -0.0314015824969438 -0.019316088754078493 0.08374412048990834 0.05264261614235212 0.163169461046046 0.07680899414003396 0.00816234762506433 0.016955686959180018 -0.017504538782624507 
4 4 4 | -0.0876794680044286 0.01787625608426572 -0.05781086506489065 -0.10124711010334952 0.08627692517640799 0.06957182514542716 -0.00011658114617019025 -0.10739807878610114 0.060360290634231525 
5 5 5 | -0.2587157091160188 -0.0010142675353141052 0.013225906954260706 -0.004664976953732831 0.20472182691576185 0.03935643125578128 -0.0400876440390176 0.040243900314928506 0.07217330048707447 
6 6 6 | -0.17078049709212806 -0.03056568317191285 -0.005626605671596505 0.04323379555359493 0.14535986560655417 0.07412052680921412 0.0176672379896655 -0.08697884912949205 -0.02949160669088684 
7 7 7 | -0.15257110869981005 0.0007201054944405725 -0.027819922735489236 0.00351504082335762 0.1564375459347815 0.09421471775489537 -0.0035003777618272842 0.0009705623623966148 0.07631523777088754 
8 8 8 | -0.1984613810645186 -0.010653761172420955 -0.04640665340619848 0.0013272308790456514 0.1450022345942302 0.05710711936973579 0.023050072490640876 0.09474661632134472 -0.07243218397863321 
9 9 9 | -0.42139506807919425 -0.010729139693317012 0.05683231577164536 0.0373640212983867 0.024710099057082834 0.013615664016074046 0.004369547023580262 -0.06143829435404097 -0.02967230963401695 
10 10 10 | 0.3656309407166396 0.010193222985002342 -0.034378561289033785 -0.012102127910926625 -0.019935049125406064 -0.007858517505635614 0.003406712389821449 -0.010935663138712057 -0.008717234743016986 
11 11 11 | 0.15735845413110316 0.010042778021837518 -0.03724102474762154 -0.03444146900389217 -0.00775957865968836 -0.0070269720846115125 0.004886345720945065 -0.006252977167762816 -0.012561099013412255 
12 12 12 | 0.15362946069686756 0.009820179945107808 -0.030653889644892223 0.054533494977446785 -0.020932554024998867 -0.008213018429803333 -0.002286740128525185 -0.006313308835371787 0.014207128021344063 
13 13 13 | 0.1326308121769637 -0.012599491814769735 0.005957469371298482 -0.05274376460728781 -0.015842386166563156 -0.012282031272567781 0.0019493010352777981 0.016025129651909772 0.005230547477119329 
14 14 14 | 0.14054616084846228 -0.010748723750832334 0.0412493907195396 0.03278261360872544 -0.012113502460847398 -0.0063242793103313885 0.008495532410974664 -0.0006326051852313474 -0.01628510467862167 
15 15 15 | 0.14079327643159378 -0.02212720487158042 -0.03810693199477516 0.023386490573780998 0.0022407157475995056 -0.00423379382831134 0.0033616013455373107 0.006150480343738238 0.01471064240550966 
16 16 16 | 0.14831098540849763 -0.035373483267238354 0.028079270675476206 -0.021309263852727873 -0.0012004287485287018 0.00957761904682307 0.00045527188143964516 -0.01484047430764166 0.0053677390718918925 
17 17 17 | 0.14412361758695202 -0.016449570300179593 0.04770951554724755 -0.018747445548677355 -0.015049163956558816 -0.0034595415301944916 -0.0012908190999977173 -0.0113103400235917 0.013029523772966844 
18 18 18 | 0.14595020732219133 0.04773625884481303 0.011934339132725711 0.013150043300602514 -0.0021070441735619506 -0.009087775513008963 -0.011437794077965786 -0.003727622045507088 0.0003616261987051948 
19 19 19 | -0.42277656657893825 0.06890604134462427 0.0713954409914904 0.028389045010788264 0.03598761697019584 -0.05407123634997535 0.040966925145561245 -0.054482020541839066 -0.037605845302542566 
20 20 20 | -0.3829098599114644 -0.06316111901723993 -0.08300811038769453 0.015530416016372593 -0.04930512963267906 -0.06492503248036996 -0.0359733827535789 -0.04502985242139847 0.002649866790282713 
21 21 21 | 0.8322171648469947 0.019509703619548107 -0.04381647298803731 -0.05532556497235486 0.11097003118657975 0.1713666960577628 -0.07551605592144883 0.015107449232065525 -0.09488611680676107 
22 22 22 | -0.6518353305815072 0.058845334326187444 -0.04612137810087121 0.024272927610717376 0.09621766400625921 0.09372978727735264 -0.03580592488621582 0.03246847781855042 -0.12393080213480098 
23 23 23 | -0.9391772158406964 -0.001721899015118728 -0.011116435676731446 0.009231115853723874 0.05151049389555864 -0.017502553228580704 0.010614020388350989 0.02931301910060806 0.008158817003138176 
24 24 24 | 0.17797723012557998 0.0021611123122944284 -0.01399717241875113 0.046033067666351034 0.005407914018903196 0.006743849082840566 -0.0021205716389752385 0.009255613088828494 0.006549712647451653 
25 25 25 | 0.16622320457504958 -0.038529374557912256 0.026745926220509607 -0.008075697364556638 0.0016742003299907583 0.013601460921006317 -0.008732053925009949 0.0009569706558832587 0.006917234963948035 
26 26 26 | 0.13245930059927857 -0.028502688717256308 0.03435273335634876 0.022955861494912664 0.011519122426745921 0.010069709762130936 -0.0032380513947471335 -0.0036530629896743454 -0.009434454096331098 
27 27 27 | 0.12330275424483894 0.0004370424962749489 0.0006000138855811837 -0.04919663972354908 0.008465442165791483 0.0062762125143056334 0.007213998078657876 0.01166383978541861 0.009724426760162238 
28 28 28 | 0.4150976581396705 0.007189328419057997 -0.020877639109107258 -0.01278828146742736 -2.7328815678329743e-05 -0.0082894501422043 0.01204991757549892 -0.00452693987022772 -0.005519761069851914 
29 29 29 | 0.4082312742501132 -0.016075232644357115 0.020720697680372647 -0.000567790263032904 -0.006986106897273617 8.059179886405142e-05 0.006806134724858508 -0.007825143783034972 0.011316961663779141 
30 30 30 | 0.1432697450060645 0.03969625206006992 -0.023029112633859525 0.022661671637570012 -0.004957211916604014 0.012083659473789022 -0.0068297565877046915 0.00641456009232293 -0.003159277371062448 
